driver,driver_number,team,position,q1,q2,q3
RUS,63,Mercedes,1.0,0 days 00:01:33.186000,0 days 00:01:32.779000,0 days 00:01:32.312000
SAI,55,Ferrari,2.0,0 days 00:01:33.484000,0 days 00:01:32.711000,0 days 00:01:32.410000
GAS,10,Alpine,3.0,0 days 00:01:33.691000,0 days 00:01:32.879000,0 days 00:01:32.664000
LEC,16,Ferrari,4.0,0 days 00:01:33.446000,0 days 00:01:33.016000,0 days 00:01:32.783000
VER,1,Red Bull Racing,5.0,0 days 00:01:33.299000,0 days 00:01:33.085000,0 days 00:01:32.797000
NOR,4,McLaren,6.0,0 days 00:01:33.592000,0 days 00:01:33.099000,0 days 00:01:33.008000
TSU,22,RB,7.0,0 days 00:01:33.789000,0 days 00:01:33.089000,0 days 00:01:33.029000
PIA,81,McLaren,8.0,0 days 00:01:33.450000,0 days 00:01:33.024000,0 days 00:01:33.033000
HUL,27,Haas F1 Team,9.0,0 days 00:01:33.920000,0 days 00:01:33.114000,0 days 00:01:33.062000
HAM,44,Mercedes,10.0,0 days 00:01:33.225000,0 days 00:01:32.567000,0 days 00:01:48.106000
OCO,31,Alpine,11.0,0 days 00:01:33.968000,0 days 00:01:33.221000,
MAG,20,Haas F1 Team,12.0,0 days 00:01:33.991000,0 days 00:01:33.297000,
ZHO,24,Kick Sauber,13.0,0 days 00:01:34.079000,0 days 00:01:33.566000,
COL,43,Williams,14.0,0 days 00:01:33.746000,0 days 00:01:33.749000,
LAW,30,RB,15.0,0 days 00:01:34.087000,0 days 00:01:34.257000,
PER,11,Red Bull Racing,16.0,0 days 00:01:34.155000,,
ALO,14,Aston Martin,17.0,0 days 00:01:34.258000,,
ALB,23,Williams,18.0,0 days 00:01:34.425000,,
BOT,77,Kick Sauber,19.0,0 days 00:01:34.430000,,
STR,18,Aston Martin,20.0,0 days 00:01:34.484000,,
