driver,team,position,status,dnf_flag
RUS,Mercedes,1.0,finished,0
HAM,Mercedes,2.0,finished,0
SAI,Ferrari,3.0,finished,0
LEC,Ferrari,4.0,finished,0
VER,Red Bull Racing,5.0,finished,0
NOR,McLaren,6.0,finished,0
PIA,McLaren,7.0,finished,0
HUL,Haas F1 Team,8.0,finished,0
TSU,RB,9.0,finished,0
PER,Red Bull Racing,10.0,finished,0
ALO,Aston Martin,11.0,finished,0
MAG,Haas F1 Team,12.0,finished,0
ZHO,Kick Sauber,13.0,finished,0
COL,Williams,14.0,finished,0
STR,Aston Martin,15.0,finished,0
LAW,RB,16.0,finished,0
OCO,Alpine,17.0,lapped,0
BOT,Kick Sauber,18.0,lapped,0
ALB,Williams,,retired,1
GAS,Alpine,,retired,1
