driver,driver_number,team,position,q1,q2,q3
SAI,55,Ferrari,1.0,0 days 00:01:16.778000,0 days 00:01:16.515000,0 days 00:01:15.946000
VER,1,Red Bull Racing,2.0,0 days 00:01:16.803000,0 days 00:01:16.514000,0 days 00:01:16.171000
NOR,4,McLaren,3.0,0 days 00:01:16.505000,0 days 00:01:16.301000,0 days 00:01:16.260000
LEC,16,Ferrari,4.0,0 days 00:01:16.972000,0 days 00:01:16.641000,0 days 00:01:16.265000
RUS,63,Mercedes,5.0,0 days 00:01:17.194000,0 days 00:01:16.937000,0 days 00:01:16.356000
HAM,44,Mercedes,6.0,0 days 00:01:17.306000,0 days 00:01:16.973000,0 days 00:01:16.651000
MAG,20,Haas F1 Team,7.0,0 days 00:01:17.125000,0 days 00:01:17.003000,0 days 00:01:16.886000
GAS,10,Alpine,8.0,0 days 00:01:17.149000,0 days 00:01:17.048000,0 days 00:01:16.892000
ALB,23,Williams,9.0,0 days 00:01:17.189000,0 days 00:01:16.988000,0 days 00:01:17.065000
HUL,27,Haas F1 Team,10.0,0 days 00:01:17.186000,0 days 00:01:16.995000,0 days 00:01:17.365000
TSU,22,RB,11.0,0 days 00:01:17.182000,0 days 00:01:17.129000,
LAW,30,RB,12.0,0 days 00:01:17.380000,0 days 00:01:17.162000,
ALO,14,Aston Martin,13.0,0 days 00:01:17.307000,0 days 00:01:17.168000,
STR,18,Aston Martin,14.0,0 days 00:01:17.407000,0 days 00:01:17.294000,
BOT,77,Kick Sauber,15.0,0 days 00:01:17.393000,0 days 00:01:17.817000,
COL,43,Williams,16.0,0 days 00:01:17.558000,,
PIA,81,McLaren,17.0,0 days 00:01:17.597000,,
PER,11,Red Bull Racing,18.0,0 days 00:01:17.611000,,
OCO,31,Alpine,19.0,0 days 00:01:17.617000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:18.072000,,
