driver,team,position,status,dnf_flag
SAI,Ferrari,1.0,finished,0
NOR,McLaren,2.0,finished,0
LEC,Ferrari,3.0,finished,0
HAM,Mercedes,4.0,finished,0
RUS,Mercedes,5.0,finished,0
VER,Red Bull Racing,6.0,finished,0
MAG,Haas F1 Team,7.0,finished,0
PIA,McLaren,8.0,finished,0
HUL,Haas F1 Team,9.0,lapped,0
GAS,Alpine,10.0,lapped,0
STR,Aston Martin,11.0,lapped,0
COL,Williams,12.0,lapped,0
OCO,Alpine,13.0,lapped,0
BOT,Kick Sauber,14.0,lapped,0
ZHO,Kick Sauber,15.0,lapped,0
LAW,RB,16.0,lapped,0
PER,Red Bull Racing,17.0,lapped,0
ALO,Aston Martin,,retired,1
ALB,Williams,,retired,1
TSU,RB,,retired,1
