driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
LEC,Ferrari,3.0,finished,0
PER,Red Bull Racing,4.0,finished,0
SAI,Ferrari,5.0,finished,0
HAM,Mercedes,6.0,finished,0
TSU,RB,7.0,finished,0
RUS,Mercedes,8.0,finished,0
ALO,Aston Martin,9.0,finished,0
OCO,Alpine,10.0,finished,0
HUL,Haas F1 Team,11.0,finished,0
GAS,Alpine,12.0,finished,0
PIA,McLaren,13.0,finished,0
ZHO,Kick Sauber,14.0,finished,0
RIC,RB,15.0,finished,0
BOT,Kick Sauber,16.0,finished,0
STR,Aston Martin,17.0,finished,0
ALB,Williams,18.0,finished,0
MAG,Haas F1 Team,19.0,finished,0
SAR,Williams,,retired,1
