driver,team,position,status,dnf_flag
LEC,Ferrari,1.0,finished,0
PIA,McLaren,2.0,finished,0
SAI,Ferrari,3.0,finished,0
NOR,McLaren,4.0,finished,0
RUS,Mercedes,5.0,finished,0
VER,Red Bull Racing,6.0,finished,0
HAM,Mercedes,7.0,finished,0
TSU,RB,8.0,lapped,0
ALB,Williams,9.0,lapped,0
GAS,Alpine,10.0,lapped,0
ALO,Aston Martin,11.0,lapped,0
RIC,RB,12.0,lapped,0
BOT,Kick Sauber,13.0,lapped,0
STR,Aston Martin,14.0,lapped,0
SAR,Williams,15.0,lapped,0
ZHO,Kick Sauber,16.0,lapped,0
OCO,Alpine,,retired,1
PER,Red Bull Racing,,retired,1
HUL,Haas F1 Team,,retired,1
MAG,Haas F1 Team,,retired,1
