driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:14.447000,1.0,MEDIUM,2.0
VER,0 days 00:02:06.710000,1.0,MEDIUM,3.0
VER,0 days 00:02:23.064000,2.0,MEDIUM,4.0
VER,0 days 00:01:14.696000,2.0,MEDIUM,5.0
VER,0 days 00:01:36.846000,2.0,MEDIUM,6.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:13.504000,3.0,SOFT,2.0
VER,0 days 00:01:49.870000,3.0,SOFT,3.0
VER,,4.0,MEDIUM,7.0
VER,0 days 00:01:19.434000,4.0,MEDIUM,8.0
VER,0 days 00:01:19.421000,4.0,MEDIUM,9.0
VER,0 days 00:01:19.719000,4.0,MEDIUM,10.0
VER,0 days 00:01:19.511000,4.0,MEDIUM,11.0
VER,0 days 00:01:19.614000,4.0,MEDIUM,12.0
VER,0 days 00:01:20.102000,4.0,MEDIUM,13.0
VER,0 days 00:01:20.233000,4.0,MEDIUM,14.0
VER,0 days 00:01:25.010000,4.0,MEDIUM,15.0
VER,0 days 00:01:21.700000,4.0,MEDIUM,16.0
VER,0 days 00:01:20.311000,4.0,MEDIUM,17.0
VER,0 days 00:01:26.142000,4.0,MEDIUM,18.0
VER,0 days 00:01:44.475000,5.0,SOFT,4.0
VER,0 days 00:01:19.167000,5.0,SOFT,5.0
VER,0 days 00:01:19.193000,5.0,SOFT,6.0
VER,0 days 00:01:19.663000,5.0,SOFT,7.0
VER,0 days 00:01:19.344000,5.0,SOFT,8.0
VER,0 days 00:01:21.075000,5.0,SOFT,9.0
VER,0 days 00:02:08.211000,5.0,SOFT,10.0
VER,0 days 00:01:51.773000,5.0,SOFT,11.0
SAR,,1.0,HARD,1.0
SAR,0 days 00:01:42.508000,1.0,HARD,2.0
SAR,0 days 00:01:48.094000,1.0,HARD,3.0
SAR,0 days 00:01:17.339000,1.0,HARD,4.0
SAR,0 days 00:01:53.369000,1.0,HARD,5.0
SAR,0 days 00:01:16.748000,1.0,HARD,6.0
SAR,0 days 00:01:40.926000,1.0,HARD,7.0
SAR,,2.0,SOFT,1.0
SAR,0 days 00:01:15.070000,2.0,SOFT,2.0
SAR,0 days 00:01:56.670000,2.0,SOFT,3.0
SAR,0 days 00:02:02.843000,3.0,SOFT,4.0
SAR,0 days 00:01:15.475000,3.0,SOFT,5.0
SAR,0 days 00:01:43.637000,3.0,SOFT,6.0
SAR,,4.0,SOFT,7.0
SAR,0 days 00:01:24.399000,4.0,SOFT,8.0
SAR,0 days 00:01:44.345000,5.0,HARD,8.0
SAR,0 days 00:01:20.628000,5.0,HARD,9.0
SAR,0 days 00:01:20.634000,5.0,HARD,10.0
SAR,0 days 00:01:20.953000,5.0,HARD,11.0
SAR,0 days 00:01:21.204000,5.0,HARD,12.0
SAR,0 days 00:01:21.203000,5.0,HARD,13.0
SAR,0 days 00:01:21.288000,5.0,HARD,14.0
