driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
NOR,McLaren,2.0,finished,0
HAM,Mercedes,3.0,finished,0
RUS,Mercedes,4.0,finished,0
LEC,Ferrari,5.0,finished,0
SAI,Ferrari,6.0,finished,0
PIA,McLaren,7.0,finished,0
PER,Red Bull Racing,8.0,finished,0
GAS,Alpine,9.0,finished,0
OCO,Alpine,10.0,finished,0
HUL,Haas F1 Team,11.0,finished,0
ALO,Aston Martin,12.0,lapped,0
ZHO,Kick Sauber,13.0,lapped,0
STR,Aston Martin,14.0,lapped,0
RIC,RB,15.0,lapped,0
BOT,Kick Sauber,16.0,lapped,0
MAG,Haas F1 Team,17.0,lapped,0
ALB,Williams,18.0,lapped,0
TSU,RB,19.0,lapped,0
SAR,Williams,20.0,lapped,0
