driver,team,position,status,grid_position,points,dnf_flag
VER,Red Bull Racing,1.0,finished,17.0,26.0,0
OCO,Alpine,2.0,finished,4.0,18.0,0
GAS,Alpine,3.0,finished,13.0,15.0,0
RUS,Mercedes,4.0,finished,2.0,12.0,0
LEC,Ferrari,5.0,finished,6.0,10.0,0
NOR,McLaren,6.0,finished,1.0,8.0,0
TSU,RB,7.0,finished,3.0,6.0,0
PIA,McLaren,8.0,finished,8.0,4.0,0
LAW,RB,9.0,finished,5.0,2.0,0
HAM,Mercedes,10.0,finished,14.0,1.0,0
PER,Red Bull Racing,11.0,finished,12.0,0.0,0
BEA,Haas F1 Team,12.0,finished,15.0,0.0,0
BOT,Kick Sauber,13.0,finished,11.0,0.0,0
ALO,Aston Martin,14.0,finished,9.0,0.0,0
ZHO,Kick Sauber,15.0,finished,19.0,0.0,0
SAI,Ferrari,,retired,20.0,0.0,1
COL,Williams,,retired,16.0,0.0,1
ALB,Williams,,did not start,7.0,0.0,1
STR,Aston Martin,,did not start,10.0,0.0,1
HUL,Haas F1 Team,,disqualified,18.0,0.0,1
