driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:04.672000,0 days 00:01:04.410000,0 days 00:01:03.971000
LEC,16,Ferrari,2.0,0 days 00:01:05.197000,0 days 00:01:04.734000,0 days 00:01:04.492000
PIA,81,McLaren,3.0,0 days 00:01:04.966000,0 days 00:01:04.556000,0 days 00:01:04.554000
HAM,44,Ferrari,4.0,0 days 00:01:05.115000,0 days 00:01:04.896000,0 days 00:01:04.582000
RUS,63,Mercedes,5.0,0 days 00:01:05.189000,0 days 00:01:04.860000,0 days 00:01:04.763000
LAW,30,Racing Bulls,6.0,0 days 00:01:05.017000,0 days 00:01:05.041000,0 days 00:01:04.926000
VER,1,Red Bull Racing,7.0,0 days 00:01:05.106000,0 days 00:01:04.836000,0 days 00:01:04.929000
BOR,5,Kick Sauber,8.0,0 days 00:01:05.123000,0 days 00:01:04.846000,0 days 00:01:05.132000
ANT,12,Mercedes,9.0,0 days 00:01:05.178000,0 days 00:01:05.052000,0 days 00:01:05.276000
GAS,10,Alpine,10.0,0 days 00:01:05.054000,0 days 00:01:04.846000,0 days 00:01:05.649000
ALO,14,Aston Martin,11.0,0 days 00:01:05.197000,0 days 00:01:05.128000,
ALB,23,Williams,12.0,0 days 00:01:05.143000,0 days 00:01:05.205000,
HAD,6,Racing Bulls,13.0,0 days 00:01:05.063000,0 days 00:01:05.226000,
COL,43,Alpine,14.0,0 days 00:01:05.278000,0 days 00:01:05.288000,
BEA,87,Haas F1 Team,15.0,0 days 00:01:05.218000,0 days 00:01:05.312000,
STR,18,Aston Martin,16.0,0 days 00:01:05.329000,,
OCO,31,Haas F1 Team,17.0,0 days 00:01:05.364000,,
TSU,22,Red Bull Racing,18.0,0 days 00:01:05.369000,,
SAI,55,Williams,19.0,0 days 00:01:05.582000,,
HUL,27,Kick Sauber,20.0,0 days 00:01:05.606000,,
