driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
RUS,Mercedes,2.0,finished,0
SAI,Williams,3.0,finished,0
ANT,Mercedes,4.0,finished,0
LAW,Racing Bulls,5.0,finished,0
TSU,Red Bull Racing,6.0,finished,0
NOR,McLaren,7.0,finished,0
HAM,Ferrari,8.0,finished,0
LEC,Ferrari,9.0,finished,0
HAD,Racing Bulls,10.0,finished,0
BOR,Kick Sauber,11.0,finished,0
BEA,Haas F1 Team,12.0,finished,0
ALB,Williams,13.0,finished,0
OCO,Haas F1 Team,14.0,finished,0
ALO,Aston Martin,15.0,finished,0
HUL,Kick Sauber,16.0,finished,0
STR,Aston Martin,17.0,finished,0
GAS,Alpine,18.0,lapped,0
COL,Alpine,19.0,lapped,0
PIA,McLaren,,retired,1
