driver,team,position,status,dnf_flag
PIA,McLaren,1.0,finished,0
RUS,Mercedes,2.0,finished,0
NOR,McLaren,3.0,finished,0
LEC,Ferrari,4.0,finished,0
HAM,Ferrari,5.0,finished,0
VER,Red Bull Racing,6.0,finished,0
GAS,Alpine,7.0,finished,0
OCO,Haas F1 Team,8.0,finished,0
TSU,Red Bull Racing,9.0,finished,0
BEA,Haas F1 Team,10.0,finished,0
ANT,Mercedes,11.0,finished,0
ALB,Williams,12.0,finished,0
HAD,Racing Bulls,13.0,finished,0
DOO,Alpine,14.0,finished,0
ALO,Aston Martin,15.0,finished,0
LAW,Racing Bulls,16.0,finished,0
STR,Aston Martin,17.0,finished,0
BOR,Kick Sauber,18.0,finished,0
SAI,Williams,,retired,1
HUL,Kick Sauber,,disqualified,1
