driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:09.656000,0 days 00:01:09.616000,0 days 00:01:09.511000
ANT,12,Mercedes,2.0,0 days 00:01:10.192000,0 days 00:01:09.774000,0 days 00:01:09.685000
LEC,16,Ferrari,3.0,0 days 00:01:09.934000,0 days 00:01:09.801000,0 days 00:01:09.805000
PIA,81,McLaren,4.0,0 days 00:01:09.928000,0 days 00:01:09.835000,0 days 00:01:09.886000
HAD,6,Racing Bulls,5.0,0 days 00:01:10.083000,0 days 00:01:09.970000,0 days 00:01:09.931000
RUS,63,Mercedes,6.0,0 days 00:01:09.935000,0 days 00:01:09.880000,0 days 00:01:09.942000
LAW,30,Racing Bulls,7.0,0 days 00:01:10.108000,0 days 00:01:09.950000,0 days 00:01:09.962000
BEA,87,Haas F1 Team,8.0,0 days 00:01:09.891000,0 days 00:01:09.755000,0 days 00:01:09.977000
GAS,10,Alpine,9.0,0 days 00:01:09.885000,0 days 00:01:09.857000,0 days 00:01:10.002000
HUL,27,Kick Sauber,10.0,0 days 00:01:10.337000,0 days 00:01:09.985000,0 days 00:01:10.039000
ALO,14,Aston Martin,11.0,0 days 00:01:10.181000,0 days 00:01:10.001000,
ALB,23,Williams,12.0,0 days 00:01:10.115000,0 days 00:01:10.053000,
HAM,44,Ferrari,13.0,0 days 00:01:10.016000,0 days 00:01:10.100000,
STR,18,Aston Martin,14.0,0 days 00:01:10.041000,0 days 00:01:10.161000,
SAI,55,Williams,15.0,0 days 00:01:10.184000,0 days 00:01:10.472000,
VER,1,Red Bull Racing,16.0,0 days 00:01:10.403000,,
OCO,31,Haas F1 Team,17.0,0 days 00:01:10.438000,,
COL,43,Alpine,18.0,0 days 00:01:10.632000,,
TSU,22,Red Bull Racing,19.0,0 days 00:01:10.711000,,
BOR,5,Kick Sauber,,,,
