driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:27.339000,1.0,MEDIUM,2.0
VER,,1.0,MEDIUM,3.0
VER,,2.0,MEDIUM,4.0
VER,0 days 00:01:27.384000,2.0,MEDIUM,5.0
VER,0 days 00:01:46.928000,2.0,MEDIUM,6.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:26.611000,3.0,SOFT,2.0
VER,0 days 00:02:22.285000,3.0,SOFT,3.0
VER,,4.0,SOFT,4.0
VER,0 days 00:01:26.314000,4.0,SOFT,5.0
VER,0 days 00:01:36.254000,4.0,SOFT,6.0
VER,,5.0,MEDIUM,7.0
VER,0 days 00:01:31.499000,5.0,MEDIUM,8.0
VER,0 days 00:01:32.016000,5.0,MEDIUM,9.0
VER,0 days 00:01:32.161000,5.0,MEDIUM,10.0
VER,0 days 00:01:32.506000,5.0,MEDIUM,11.0
VER,0 days 00:01:38.633000,5.0,MEDIUM,12.0
VER,0 days 00:01:31.945000,5.0,MEDIUM,13.0
VER,0 days 00:01:32.391000,5.0,MEDIUM,14.0
VER,0 days 00:01:31.615000,5.0,MEDIUM,15.0
VER,0 days 00:02:14.681000,5.0,MEDIUM,16.0
VER,0 days 00:02:02.637000,5.0,MEDIUM,17.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:27.503000,1.0,MEDIUM,2.0
NOR,,1.0,MEDIUM,3.0
NOR,0 days 00:02:11.035000,1.0,MEDIUM,4.0
NOR,0 days 00:01:27.239000,1.0,MEDIUM,5.0
NOR,0 days 00:02:00.613000,1.0,MEDIUM,6.0
NOR,,2.0,MEDIUM,7.0
NOR,0 days 00:01:27.032000,2.0,MEDIUM,8.0
NOR,0 days 00:01:38.913000,2.0,MEDIUM,9.0
NOR,0 days 00:02:16.251000,3.0,SOFT,1.0
NOR,0 days 00:01:25.816000,3.0,SOFT,2.0
NOR,0 days 00:02:21.344000,3.0,SOFT,3.0
NOR,0 days 00:02:13.780000,3.0,SOFT,4.0
NOR,0 days 00:01:26.704000,3.0,SOFT,5.0
NOR,0 days 00:01:50.920000,3.0,SOFT,6.0
NOR,,4.0,MEDIUM,10.0
