driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:25.886000,0 days 00:01:25.316000,0 days 00:01:24.892000
PIA,81,McLaren,2.0,0 days 00:01:25.963000,0 days 00:01:25.316000,0 days 00:01:24.995000
NOR,4,McLaren,3.0,0 days 00:01:26.123000,0 days 00:01:25.231000,0 days 00:01:25.010000
RUS,63,Mercedes,4.0,0 days 00:01:26.236000,0 days 00:01:25.637000,0 days 00:01:25.029000
HAM,44,Ferrari,5.0,0 days 00:01:26.296000,0 days 00:01:25.084000,0 days 00:01:25.095000
LEC,16,Ferrari,6.0,0 days 00:01:26.186000,0 days 00:01:25.133000,0 days 00:01:25.121000
ANT,12,Mercedes,7.0,0 days 00:01:26.265000,0 days 00:01:25.620000,0 days 00:01:25.374000
BEA,87,Haas F1 Team,8.0,0 days 00:01:26.005000,0 days 00:01:25.534000,0 days 00:01:25.471000
ALO,14,Aston Martin,9.0,0 days 00:01:26.108000,0 days 00:01:25.593000,0 days 00:01:25.621000
GAS,10,Alpine,10.0,0 days 00:01:26.328000,0 days 00:01:25.711000,0 days 00:01:25.785000
SAI,55,Williams,11.0,0 days 00:01:26.175000,0 days 00:01:25.746000,
TSU,22,Red Bull Racing,12.0,0 days 00:01:26.275000,0 days 00:01:25.826000,
HAD,6,Racing Bulls,13.0,0 days 00:01:26.177000,0 days 00:01:25.864000,
ALB,23,Williams,14.0,0 days 00:01:26.093000,0 days 00:01:25.889000,
OCO,31,Haas F1 Team,15.0,0 days 00:01:26.136000,0 days 00:01:25.950000,
LAW,30,Racing Bulls,16.0,0 days 00:01:26.440000,,
BOR,5,Kick Sauber,17.0,0 days 00:01:26.446000,,
STR,18,Aston Martin,18.0,0 days 00:01:26.504000,,
HUL,27,Kick Sauber,19.0,0 days 00:01:26.574000,,
COL,43,Alpine,20.0,0 days 00:01:27.060000,,
