driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:16.419000,1.0,MEDIUM,2.0
VER,,1.0,MEDIUM,3.0
VER,0 days 00:02:03.614000,1.0,MEDIUM,4.0
VER,0 days 00:01:16.306000,1.0,MEDIUM,5.0
VER,0 days 00:01:41.694000,1.0,MEDIUM,6.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:15.735000,2.0,SOFT,2.0
VER,,2.0,SOFT,3.0
VER,0 days 00:02:09.765000,2.0,SOFT,4.0
VER,0 days 00:01:33.815000,2.0,SOFT,5.0
VER,,3.0,MEDIUM,7.0
VER,0 days 00:01:20.595000,3.0,MEDIUM,8.0
VER,0 days 00:01:20.288000,3.0,MEDIUM,9.0
VER,0 days 00:01:22.761000,3.0,MEDIUM,10.0
VER,0 days 00:01:20.247000,3.0,MEDIUM,11.0
VER,0 days 00:01:24.072000,3.0,MEDIUM,12.0
VER,0 days 00:01:20.244000,3.0,MEDIUM,13.0
VER,0 days 00:01:20.972000,3.0,MEDIUM,14.0
VER,0 days 00:01:21.705000,3.0,MEDIUM,15.0
VER,0 days 00:01:20.595000,3.0,MEDIUM,16.0
VER,0 days 00:01:20.658000,3.0,MEDIUM,17.0
VER,,3.0,MEDIUM,18.0
VER,,4.0,SOFT,6.0
VER,0 days 00:01:58.234000,4.0,SOFT,7.0
VER,,4.0,SOFT,8.0
GAS,,1.0,MEDIUM,1.0
GAS,0 days 00:01:16.978000,1.0,MEDIUM,2.0
GAS,0 days 00:02:09.948000,1.0,MEDIUM,3.0
GAS,,2.0,MEDIUM,4.0
GAS,0 days 00:01:16.306000,2.0,MEDIUM,5.0
GAS,0 days 00:02:14.231000,2.0,MEDIUM,6.0
GAS,,3.0,MEDIUM,7.0
GAS,0 days 00:01:16.152000,3.0,MEDIUM,8.0
GAS,0 days 00:01:54.622000,3.0,MEDIUM,9.0
GAS,,4.0,SOFT,1.0
GAS,0 days 00:01:15.569000,4.0,SOFT,2.0
GAS,0 days 00:02:07.961000,4.0,SOFT,3.0
GAS,,5.0,MEDIUM,10.0
GAS,0 days 00:01:20.904000,5.0,MEDIUM,11.0
GAS,0 days 00:01:20.599000,5.0,MEDIUM,12.0
GAS,0 days 00:01:20.672000,5.0,MEDIUM,13.0
GAS,0 days 00:01:25.565000,5.0,MEDIUM,14.0
GAS,0 days 00:01:20.480000,5.0,MEDIUM,15.0
GAS,0 days 00:01:20.257000,5.0,MEDIUM,16.0
GAS,0 days 00:01:20.596000,5.0,MEDIUM,17.0
GAS,0 days 00:01:20.828000,5.0,MEDIUM,18.0
GAS,0 days 00:01:21.480000,5.0,MEDIUM,19.0
GAS,0 days 00:01:21.634000,5.0,MEDIUM,20.0
GAS,0 days 00:01:21.714000,5.0,MEDIUM,21.0
GAS,0 days 00:01:21.916000,5.0,MEDIUM,22.0
GAS,,5.0,MEDIUM,23.0
GAS,,6.0,MEDIUM,23.0
GAS,0 days 00:01:44.815000,6.0,MEDIUM,24.0
