driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:17.920000,1.0,MEDIUM,2.0
VER,0 days 00:02:11.881000,1.0,MEDIUM,3.0
VER,0 days 00:02:22.812000,2.0,MEDIUM,4.0
VER,0 days 00:01:17.615000,2.0,MEDIUM,5.0
VER,0 days 00:01:31.430000,2.0,MEDIUM,6.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:16.791000,3.0,SOFT,2.0
VER,0 days 00:01:43.440000,3.0,SOFT,3.0
VER,,4.0,MEDIUM,7.0
VER,0 days 00:01:22.419000,4.0,MEDIUM,8.0
VER,0 days 00:01:22.003000,4.0,MEDIUM,9.0
VER,0 days 00:01:26.776000,4.0,MEDIUM,10.0
VER,0 days 00:01:24.504000,4.0,MEDIUM,11.0
VER,0 days 00:01:27.199000,4.0,MEDIUM,12.0
VER,0 days 00:01:22.605000,4.0,MEDIUM,13.0
VER,0 days 00:01:22.720000,4.0,MEDIUM,14.0
VER,0 days 00:01:22.395000,4.0,MEDIUM,15.0
VER,0 days 00:01:22.646000,4.0,MEDIUM,16.0
VER,0 days 00:01:24.602000,4.0,MEDIUM,17.0
VER,0 days 00:01:23.408000,4.0,MEDIUM,18.0
VER,0 days 00:01:23.221000,4.0,MEDIUM,19.0
VER,0 days 00:01:22.664000,4.0,MEDIUM,20.0
VER,0 days 00:02:26.715000,4.0,MEDIUM,21.0
VER,0 days 00:01:49.160000,4.0,MEDIUM,22.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:16.916000,1.0,MEDIUM,2.0
NOR,0 days 00:02:17.032000,1.0,MEDIUM,3.0
NOR,0 days 00:02:08.424000,1.0,MEDIUM,4.0
NOR,0 days 00:01:52.501000,1.0,MEDIUM,5.0
NOR,0 days 00:01:16.525000,1.0,MEDIUM,6.0
NOR,0 days 00:01:36.641000,1.0,MEDIUM,7.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:50.591000,2.0,SOFT,2.0
NOR,0 days 00:01:15.624000,2.0,SOFT,3.0
NOR,0 days 00:02:05.409000,2.0,SOFT,4.0
NOR,,3.0,SOFT,5.0
NOR,0 days 00:01:27.447000,3.0,SOFT,6.0
NOR,0 days 00:01:37.201000,3.0,SOFT,7.0
NOR,,4.0,MEDIUM,8.0
NOR,0 days 00:01:21.312000,4.0,MEDIUM,9.0
NOR,0 days 00:01:21.226000,4.0,MEDIUM,10.0
NOR,0 days 00:01:22.274000,4.0,MEDIUM,11.0
NOR,0 days 00:01:23.400000,4.0,MEDIUM,12.0
NOR,0 days 00:01:22.659000,4.0,MEDIUM,13.0
NOR,0 days 00:01:21.578000,4.0,MEDIUM,14.0
NOR,0 days 00:01:22.477000,4.0,MEDIUM,15.0
