driver,driver_number,team,position,q1,q2,q3
LEC,16,Ferrari,1.0,0 days 00:01:15.582000,0 days 00:01:15.455000,0 days 00:01:15.372000
PIA,81,McLaren,2.0,0 days 00:01:15.211000,0 days 00:01:14.941000,0 days 00:01:15.398000
NOR,4,McLaren,3.0,0 days 00:01:15.523000,0 days 00:01:14.890000,0 days 00:01:15.413000
RUS,63,Mercedes,4.0,0 days 00:01:15.627000,0 days 00:01:15.201000,0 days 00:01:15.425000
ALO,14,Aston Martin,5.0,0 days 00:01:15.281000,0 days 00:01:15.395000,0 days 00:01:15.481000
STR,18,Aston Martin,6.0,0 days 00:01:15.673000,0 days 00:01:15.129000,0 days 00:01:15.498000
BOR,5,Kick Sauber,7.0,0 days 00:01:15.586000,0 days 00:01:15.687000,0 days 00:01:15.725000
VER,1,Red Bull Racing,8.0,0 days 00:01:15.736000,0 days 00:01:15.547000,0 days 00:01:15.728000
LAW,30,Racing Bulls,9.0,0 days 00:01:15.849000,0 days 00:01:15.630000,0 days 00:01:15.821000
HAD,6,Racing Bulls,10.0,0 days 00:01:15.516000,0 days 00:01:15.469000,0 days 00:01:15.915000
BEA,87,Haas F1 Team,11.0,0 days 00:01:15.750000,0 days 00:01:15.694000,
HAM,44,Ferrari,12.0,0 days 00:01:15.733000,0 days 00:01:15.702000,
SAI,55,Williams,13.0,0 days 00:01:15.652000,0 days 00:01:15.781000,
COL,43,Alpine,14.0,0 days 00:01:15.875000,0 days 00:01:16.159000,
ANT,12,Mercedes,15.0,0 days 00:01:15.782000,0 days 00:01:16.386000,
TSU,22,Red Bull Racing,16.0,0 days 00:01:15.899000,,
GAS,10,Alpine,17.0,0 days 00:01:15.966000,,
OCO,31,Haas F1 Team,18.0,0 days 00:01:16.023000,,
HUL,27,Kick Sauber,19.0,0 days 00:01:16.081000,,
ALB,23,Williams,20.0,0 days 00:01:16.223000,,
