driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
PIA,McLaren,2.0,finished,0
RUS,Mercedes,3.0,finished,0
LEC,Ferrari,4.0,finished,0
ALO,Aston Martin,5.0,finished,0
BOR,Kick Sauber,6.0,finished,0
STR,Aston Martin,7.0,finished,0
LAW,Racing Bulls,8.0,finished,0
VER,Red Bull Racing,9.0,finished,0
ANT,Mercedes,10.0,lapped,0
HAD,Racing Bulls,11.0,lapped,0
HAM,Ferrari,12.0,lapped,0
HUL,Kick Sauber,13.0,lapped,0
SAI,Williams,14.0,lapped,0
ALB,Williams,15.0,lapped,0
OCO,Haas F1 Team,16.0,lapped,0
TSU,Red Bull Racing,17.0,lapped,0
COL,Alpine,18.0,lapped,0
GAS,Alpine,19.0,lapped,0
BEA,Haas F1 Team,,retired,1
