driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,,1.0,MEDIUM,2.0
VER,,2.0,SOFT,1.0
VER,,3.0,SOFT,2.0
VER,0 days 00:01:28.670000,3.0,SOFT,3.0
VER,,3.0,SOFT,4.0
VER,,4.0,MEDIUM,3.0
VER,0 days 00:01:34.377000,4.0,MEDIUM,4.0
VER,,4.0,MEDIUM,5.0
NOR,,1.0,MEDIUM,1.0
NOR,,1.0,MEDIUM,2.0
NOR,,2.0,MEDIUM,3.0
NOR,0 days 00:01:36.044000,2.0,MEDIUM,4.0
NOR,,3.0,SOFT,1.0
NOR,,4.0,SOFT,2.0
NOR,0 days 00:01:28.163000,4.0,SOFT,3.0
NOR,,4.0,SOFT,4.0
NOR,,5.0,SOFT,5.0
NOR,0 days 00:01:28.231000,5.0,SOFT,6.0
NOR,0 days 00:01:43.430000,5.0,SOFT,7.0
NOR,,5.0,SOFT,8.0
BOR,,1.0,MEDIUM,1.0
BOR,0 days 00:01:31.200000,1.0,MEDIUM,2.0
BOR,0 days 00:02:21.650000,1.0,MEDIUM,3.0
BOR,,1.0,MEDIUM,4.0
BOR,,2.0,SOFT,1.0
BOR,,2.0,SOFT,2.0
BOR,,3.0,SOFT,3.0
BOR,0 days 00:01:29.335000,3.0,SOFT,4.0
BOR,,3.0,SOFT,5.0
BOR,,4.0,MEDIUM,5.0
BOR,0 days 00:01:33.517000,4.0,MEDIUM,6.0
BOR,0 days 00:01:33.104000,4.0,MEDIUM,7.0
HAD,,1.0,MEDIUM,1.0
HAD,0 days 00:01:30.308000,1.0,MEDIUM,2.0
HAD,0 days 00:02:18.365000,1.0,MEDIUM,3.0
HAD,,1.0,MEDIUM,4.0
HAD,,2.0,MEDIUM,4.0
HAD,,3.0,SOFT,1.0
HAD,0 days 00:01:28.518000,3.0,SOFT,2.0
HAD,,3.0,SOFT,3.0
HAD,,4.0,MEDIUM,5.0
HAD,0 days 00:01:33.717000,4.0,MEDIUM,6.0
HAD,0 days 00:01:33.759000,4.0,MEDIUM,7.0
HAD,,4.0,MEDIUM,8.0
DOO,,1.0,HARD,1.0
DOO,0 days 00:01:31.659000,1.0,HARD,2.0
DOO,0 days 00:02:28.251000,1.0,HARD,3.0
GAS,,1.0,HARD,1.0
GAS,0 days 00:01:31.419000,1.0,HARD,2.0
GAS,0 days 00:02:16.544000,1.0,HARD,3.0
GAS,,1.0,HARD,4.0
GAS,,2.0,SOFT,1.0
GAS,,2.0,SOFT,2.0
GAS,,3.0,SOFT,3.0
GAS,0 days 00:01:28.757000,3.0,SOFT,4.0
GAS,,3.0,SOFT,5.0
GAS,,4.0,SOFT,6.0
GAS,0 days 00:01:29.182000,4.0,SOFT,7.0
GAS,0 days 00:02:14.993000,4.0,SOFT,8.0
GAS,,4.0,SOFT,9.0
ANT,,1.0,HARD,1.0
ANT,0 days 00:01:31.059000,1.0,HARD,2.0
ANT,,1.0,HARD,3.0
ANT,,2.0,HARD,4.0
