driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:19.567000,1.0,MEDIUM,2.0
VER,0 days 00:02:03.161000,1.0,MEDIUM,3.0
VER,0 days 00:02:02.077000,2.0,MEDIUM,4.0
VER,0 days 00:01:19.044000,2.0,MEDIUM,5.0
VER,0 days 00:02:05.570000,2.0,MEDIUM,6.0
VER,0 days 00:01:59.571000,2.0,MEDIUM,7.0
VER,0 days 00:01:18.727000,2.0,MEDIUM,8.0
VER,0 days 00:01:37.980000,2.0,MEDIUM,9.0
VER,,3.0,MEDIUM,10.0
VER,0 days 00:01:18.753000,3.0,MEDIUM,11.0
VER,0 days 00:01:30.163000,3.0,MEDIUM,12.0
VER,0 days 00:02:24.007000,4.0,SOFT,1.0
VER,0 days 00:01:17.392000,4.0,SOFT,2.0
VER,0 days 00:01:31.882000,4.0,SOFT,3.0
VER,,5.0,MEDIUM,13.0
VER,0 days 00:01:22.614000,5.0,MEDIUM,14.0
VER,0 days 00:01:22.772000,5.0,MEDIUM,15.0
VER,0 days 00:01:22.649000,5.0,MEDIUM,16.0
VER,0 days 00:01:22.677000,5.0,MEDIUM,17.0
VER,0 days 00:01:22.561000,5.0,MEDIUM,18.0
VER,0 days 00:01:23.665000,5.0,MEDIUM,19.0
VER,0 days 00:01:22.709000,5.0,MEDIUM,20.0
VER,0 days 00:01:22.972000,5.0,MEDIUM,21.0
VER,0 days 00:01:22.656000,5.0,MEDIUM,22.0
VER,0 days 00:01:22.939000,5.0,MEDIUM,23.0
VER,0 days 00:01:25.749000,5.0,MEDIUM,24.0
VER,0 days 00:01:45.944000,6.0,SOFT,4.0
VER,0 days 00:01:21.158000,6.0,SOFT,5.0
VER,0 days 00:01:21.300000,6.0,SOFT,6.0
VER,0 days 00:01:27.506000,6.0,SOFT,7.0
VER,0 days 00:01:21.195000,6.0,SOFT,8.0
VER,0 days 00:01:50.614000,6.0,SOFT,9.0
VER,0 days 00:02:17.115000,6.0,SOFT,10.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:19.538000,1.0,MEDIUM,2.0
NOR,0 days 00:02:10.665000,1.0,MEDIUM,3.0
NOR,0 days 00:01:18.681000,1.0,MEDIUM,4.0
NOR,0 days 00:02:15.861000,1.0,MEDIUM,5.0
NOR,0 days 00:01:18.720000,1.0,MEDIUM,6.0
NOR,0 days 00:02:14.852000,1.0,MEDIUM,7.0
NOR,0 days 00:01:24.490000,1.0,MEDIUM,8.0
NOR,0 days 00:01:24.662000,1.0,MEDIUM,9.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:18.180000,2.0,SOFT,2.0
NOR,0 days 00:02:05.420000,2.0,SOFT,3.0
NOR,0 days 00:01:49.781000,2.0,SOFT,4.0
NOR,0 days 00:01:17.643000,2.0,SOFT,5.0
NOR,0 days 00:01:33.724000,2.0,SOFT,6.0
NOR,,3.0,SOFT,7.0
NOR,0 days 00:01:21.451000,3.0,SOFT,8.0
NOR,0 days 00:01:21.236000,3.0,SOFT,9.0
NOR,0 days 00:01:21.306000,3.0,SOFT,10.0
NOR,0 days 00:01:21.557000,3.0,SOFT,11.0
NOR,0 days 00:01:21.911000,3.0,SOFT,12.0
NOR,0 days 00:01:22.138000,3.0,SOFT,13.0
NOR,0 days 00:01:22.067000,3.0,SOFT,14.0
NOR,0 days 00:01:22.273000,3.0,SOFT,15.0
NOR,0 days 00:01:22.313000,3.0,SOFT,16.0
NOR,0 days 00:01:25.241000,3.0,SOFT,17.0
NOR,0 days 00:01:40.940000,4.0,MEDIUM,10.0
NOR,0 days 00:01:21.043000,4.0,MEDIUM,11.0
NOR,0 days 00:01:21.034000,4.0,MEDIUM,12.0
NOR,0 days 00:01:52.154000,4.0,MEDIUM,13.0
NOR,0 days 00:02:21.708000,4.0,MEDIUM,14.0
BOR,,1.0,MEDIUM,1.0
BOR,0 days 00:01:19.445000,1.0,MEDIUM,2.0
BOR,0 days 00:02:01.814000,1.0,MEDIUM,3.0
BOR,0 days 00:01:27.966000,1.0,MEDIUM,4.0
BOR,0 days 00:02:11.563000,2.0,MEDIUM,5.0
BOR,0 days 00:01:19.188000,2.0,MEDIUM,6.0
BOR,0 days 00:02:07.721000,2.0,MEDIUM,7.0
BOR,0 days 00:01:57.760000,3.0,MEDIUM,8.0
BOR,0 days 00:01:28.478000,3.0,MEDIUM,9.0
BOR,,4.0,SOFT,1.0
BOR,0 days 00:01:34.220000,4.0,SOFT,2.0
BOR,0 days 00:01:49.405000,4.0,SOFT,3.0
BOR,0 days 00:01:18.323000,4.0,SOFT,4.0
BOR,0 days 00:02:10.002000,4.0,SOFT,5.0
BOR,0 days 00:02:09.269000,5.0,SOFT,6.0
BOR,0 days 00:01:18.333000,5.0,SOFT,7.0
BOR,0 days 00:01:30.986000,5.0,SOFT,8.0
BOR,,6.0,MEDIUM,10.0
BOR,0 days 00:01:22.231000,6.0,MEDIUM,11.0
BOR,0 days 00:01:22.113000,6.0,MEDIUM,12.0
BOR,0 days 00:01:21.898000,6.0,MEDIUM,13.0
BOR,0 days 00:01:22.198000,6.0,MEDIUM,14.0
BOR,0 days 00:01:22.738000,6.0,MEDIUM,15.0
BOR,0 days 00:01:22.823000,6.0,MEDIUM,16.0
BOR,0 days 00:01:23.629000,6.0,MEDIUM,17.0
BOR,0 days 00:01:22.868000,6.0,MEDIUM,18.0
BOR,0 days 00:01:23.059000,6.0,MEDIUM,19.0
BOR,0 days 00:01:23.441000,6.0,MEDIUM,20.0
BOR,0 days 00:01:59.386000,6.0,MEDIUM,21.0
BOR,0 days 00:02:07.096000,6.0,MEDIUM,22.0
HAD,,1.0,HARD,1.0
HAD,0 days 00:01:20.432000,1.0,HARD,2.0
HAD,0 days 00:02:05.268000,1.0,HARD,3.0
HAD,0 days 00:01:20.360000,1.0,HARD,4.0
HAD,0 days 00:01:57.678000,1.0,HARD,5.0
