driver,LapTime,Stint,Compound,TyreLife
VER,0 days 00:01:33.267000,1.0,MEDIUM,1.0
VER,0 days 00:01:21.071000,1.0,MEDIUM,2.0
VER,0 days 00:01:12.922000,1.0,MEDIUM,3.0
VER,,1.0,MEDIUM,4.0
VER,0 days 00:01:29.588000,2.0,MEDIUM,5.0
VER,0 days 00:01:28.844000,2.0,MEDIUM,6.0
VER,,2.0,MEDIUM,7.0
VER,0 days 00:01:39.159000,3.0,SOFT,1.0
VER,0 days 00:01:21.751000,3.0,SOFT,2.0
VER,0 days 00:01:34.326000,3.0,SOFT,3.0
VER,0 days 00:01:12.671000,3.0,SOFT,4.0
VER,0 days 00:01:55.095000,3.0,SOFT,5.0
VER,0 days 00:01:42.518000,4.0,SOFT,6.0
VER,0 days 00:01:12.151000,4.0,SOFT,7.0
VER,0 days 00:01:47.998000,4.0,SOFT,8.0
VER,0 days 00:01:12.068000,4.0,SOFT,9.0
VER,,4.0,SOFT,10.0
VER,0 days 00:01:37.088000,5.0,MEDIUM,8.0
VER,0 days 00:01:18.587000,5.0,MEDIUM,9.0
VER,0 days 00:01:20.550000,5.0,MEDIUM,10.0
VER,0 days 00:01:17.184000,5.0,MEDIUM,11.0
VER,0 days 00:02:15.762000,5.0,MEDIUM,12.0
VER,0 days 00:01:17.647000,5.0,MEDIUM,13.0
VER,0 days 00:01:16.035000,5.0,MEDIUM,14.0
VER,0 days 00:01:15.288000,5.0,MEDIUM,15.0
VER,0 days 00:01:14.414000,5.0,MEDIUM,16.0
VER,0 days 00:01:13.921000,5.0,MEDIUM,17.0
VER,0 days 00:02:05.517000,5.0,MEDIUM,18.0
VER,,5.0,MEDIUM,19.0
NOR,0 days 00:01:37.466000,1.0,MEDIUM,1.0
NOR,0 days 00:01:13.250000,1.0,MEDIUM,2.0
NOR,0 days 00:01:47.075000,1.0,MEDIUM,3.0
NOR,,1.0,MEDIUM,4.0
NOR,0 days 00:01:37.974000,2.0,MEDIUM,5.0
NOR,0 days 00:01:13.010000,2.0,MEDIUM,6.0
NOR,0 days 00:01:31.770000,2.0,MEDIUM,7.0
NOR,,2.0,MEDIUM,8.0
NOR,0 days 00:01:41.830000,3.0,MEDIUM,9.0
NOR,0 days 00:01:12.394000,3.0,MEDIUM,10.0
NOR,0 days 00:01:54.335000,3.0,MEDIUM,11.0
NOR,0 days 00:01:26.560000,4.0,SOFT,1.0
NOR,0 days 00:01:13.450000,4.0,SOFT,2.0
NOR,0 days 00:01:27.286000,4.0,SOFT,3.0
NOR,0 days 00:01:11.837000,4.0,SOFT,4.0
NOR,0 days 00:01:44.703000,4.0,SOFT,5.0
NOR,0 days 00:01:11.677000,4.0,SOFT,6.0
NOR,0 days 00:01:46.769000,4.0,SOFT,7.0
NOR,0 days 00:01:11.945000,4.0,SOFT,8.0
NOR,,4.0,SOFT,9.0
NOR,0 days 00:01:28.199000,5.0,MEDIUM,12.0
NOR,0 days 00:01:17.142000,5.0,MEDIUM,13.0
NOR,0 days 00:01:14.685000,5.0,MEDIUM,14.0
NOR,0 days 00:01:15.848000,5.0,MEDIUM,15.0
NOR,0 days 00:01:14.791000,5.0,MEDIUM,16.0
NOR,0 days 00:01:14.231000,5.0,MEDIUM,17.0
NOR,0 days 00:01:14.785000,5.0,MEDIUM,18.0
NOR,0 days 00:01:15.008000,5.0,MEDIUM,19.0
NOR,0 days 00:01:15.727000,5.0,MEDIUM,20.0
NOR,0 days 00:01:17.371000,5.0,MEDIUM,21.0
NOR,0 days 00:02:06.208000,5.0,MEDIUM,22.0
NOR,,5.0,MEDIUM,23.0
BOR,0 days 00:01:42.372000,1.0,HARD,1.0
BOR,0 days 00:01:17.155000,1.0,HARD,2.0
BOR,0 days 00:01:36.652000,1.0,HARD,3.0
BOR,0 days 00:01:14.750000,1.0,HARD,4.0
BOR,,1.0,HARD,5.0
BOR,0 days 00:01:29.380000,2.0,HARD,6.0
BOR,0 days 00:01:29.446000,2.0,HARD,7.0
BOR,0 days 00:01:13.944000,2.0,HARD,8.0
BOR,,2.0,HARD,9.0
BOR,0 days 00:01:26.610000,3.0,SOFT,1.0
BOR,0 days 00:01:12.658000,3.0,SOFT,2.0
