driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:29.896000,1.0,MEDIUM,2.0
VER,,1.0,MEDIUM,3.0
VER,0 days 00:01:29.600000,1.0,MEDIUM,4.0
VER,,1.0,MEDIUM,5.0
VER,0 days 00:02:12.232000,1.0,MEDIUM,6.0
VER,0 days 00:01:40.174000,1.0,MEDIUM,7.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:28.547000,2.0,SOFT,2.0
VER,0 days 00:02:23.563000,2.0,SOFT,3.0
VER,,3.0,MEDIUM,8.0
VER,0 days 00:01:34.917000,3.0,MEDIUM,9.0
VER,0 days 00:01:34.854000,3.0,MEDIUM,10.0
VER,0 days 00:01:34.714000,3.0,MEDIUM,11.0
VER,0 days 00:01:34.753000,3.0,MEDIUM,12.0
VER,0 days 00:01:40.192000,3.0,MEDIUM,13.0
VER,0 days 00:01:34.990000,3.0,MEDIUM,14.0
VER,0 days 00:01:35.270000,3.0,MEDIUM,15.0
VER,0 days 00:01:35.824000,3.0,MEDIUM,16.0
VER,,3.0,MEDIUM,17.0
VER,,4.0,SOFT,4.0
VER,0 days 00:02:11.733000,4.0,SOFT,5.0
VER,0 days 00:02:17.237000,4.0,SOFT,6.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:29.272000,1.0,MEDIUM,2.0
NOR,,1.0,MEDIUM,3.0
NOR,0 days 00:02:01.854000,1.0,MEDIUM,4.0
NOR,0 days 00:01:30.030000,1.0,MEDIUM,5.0
NOR,0 days 00:02:05.055000,1.0,MEDIUM,6.0
NOR,0 days 00:01:29.475000,1.0,MEDIUM,7.0
NOR,0 days 00:01:47.089000,1.0,MEDIUM,8.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:28.340000,2.0,SOFT,2.0
NOR,0 days 00:02:25.314000,2.0,SOFT,3.0
NOR,0 days 00:02:25.211000,3.0,SOFT,4.0
NOR,0 days 00:01:28.267000,3.0,SOFT,5.0
NOR,0 days 00:01:41.578000,3.0,SOFT,6.0
NOR,,4.0,MEDIUM,9.0
NOR,0 days 00:01:35.039000,4.0,MEDIUM,10.0
NOR,0 days 00:01:38.234000,4.0,MEDIUM,11.0
NOR,,4.0,MEDIUM,12.0
NOR,,5.0,MEDIUM,13.0
NOR,0 days 00:02:12.203000,5.0,MEDIUM,14.0
NOR,,5.0,MEDIUM,15.0
HAD,,1.0,MEDIUM,1.0
HAD,0 days 00:02:23.630000,1.0,MEDIUM,2.0
HAD,0 days 00:01:30.935000,1.0,MEDIUM,3.0
HAD,,1.0,MEDIUM,4.0
HAD,,2.0,MEDIUM,5.0
HAD,0 days 00:01:29.895000,2.0,MEDIUM,6.0
HAD,0 days 00:01:51.957000,2.0,MEDIUM,7.0
HAD,,3.0,SOFT,1.0
HAD,0 days 00:01:29.415000,3.0,SOFT,2.0
HAD,0 days 00:02:02.550000,3.0,SOFT,3.0
HAD,,4.0,SOFT,1.0
HAD,0 days 00:01:29.306000,4.0,SOFT,2.0
HAD,0 days 00:02:06.397000,4.0,SOFT,3.0
HAD,,5.0,SOFT,4.0
HAD,0 days 00:02:13.109000,6.0,MEDIUM,8.0
HAD,0 days 00:01:35.819000,6.0,MEDIUM,9.0
HAD,,6.0,MEDIUM,10.0
DOO,,1.0,MEDIUM,1.0
DOO,0 days 00:01:30.860000,1.0,MEDIUM,2.0
DOO,,1.0,MEDIUM,3.0
DOO,0 days 00:01:30.167000,1.0,MEDIUM,4.0
DOO,0 days 00:02:29.355000,1.0,MEDIUM,5.0
DOO,,2.0,MEDIUM,6.0
DOO,0 days 00:01:30.036000,2.0,MEDIUM,7.0
DOO,0 days 00:02:01.697000,2.0,MEDIUM,8.0
DOO,,3.0,SOFT,1.0
DOO,0 days 00:02:10.832000,3.0,SOFT,2.0
DOO,0 days 00:02:04.226000,3.0,SOFT,3.0
DOO,0 days 00:01:29.912000,3.0,SOFT,4.0
DOO,,3.0,SOFT,5.0
DOO,,4.0,MEDIUM,9.0
DOO,0 days 00:01:35.291000,4.0,MEDIUM,10.0
DOO,0 days 00:01:35.070000,4.0,MEDIUM,11.0
DOO,0 days 00:01:35.509000,4.0,MEDIUM,12.0
DOO,,4.0,MEDIUM,13.0
DOO,,5.0,MEDIUM,14.0
DOO,0 days 00:02:09.951000,5.0,MEDIUM,15.0
DOO,0 days 00:02:20.205000,5.0,MEDIUM,16.0
GAS,,1.0,MEDIUM,1.0
GAS,0 days 00:01:30.296000,1.0,MEDIUM,2.0
GAS,,1.0,MEDIUM,3.0
GAS,0 days 00:02:04.056000,1.0,MEDIUM,4.0
GAS,0 days 00:02:04.333000,1.0,MEDIUM,5.0
GAS,0 days 00:01:29.811000,1.0,MEDIUM,6.0
GAS,0 days 00:02:24.645000,1.0,MEDIUM,7.0
GAS,0 days 00:01:40.943000,1.0,MEDIUM,8.0
GAS,,2.0,SOFT,1.0
GAS,0 days 00:01:55.305000,2.0,SOFT,2.0
GAS,0 days 00:01:29.106000,2.0,SOFT,3.0
