driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:27.778000,0 days 00:01:27.529000,0 days 00:01:27.294000
PIA,81,McLaren,2.0,0 days 00:01:27.901000,0 days 00:01:27.545000,0 days 00:01:27.304000
RUS,63,Mercedes,3.0,0 days 00:01:28.282000,0 days 00:01:27.599000,0 days 00:01:27.407000
LEC,16,Ferrari,4.0,0 days 00:01:28.552000,0 days 00:01:27.866000,0 days 00:01:27.670000
ANT,12,Mercedes,5.0,0 days 00:01:28.128000,0 days 00:01:27.798000,0 days 00:01:27.866000
SAI,55,Williams,6.0,0 days 00:01:28.354000,0 days 00:01:28.024000,0 days 00:01:28.164000
HAM,44,Ferrari,7.0,0 days 00:01:28.372000,0 days 00:01:28.102000,0 days 00:01:28.201000
TSU,22,Red Bull Racing,8.0,0 days 00:01:28.226000,0 days 00:01:27.990000,0 days 00:01:28.204000
GAS,10,Alpine,9.0,0 days 00:01:28.421000,0 days 00:01:28.025000,0 days 00:01:28.367000
NOR,4,McLaren,10.0,0 days 00:01:27.805000,0 days 00:01:27.481000,
ALB,23,Williams,11.0,0 days 00:01:28.279000,0 days 00:01:28.109000,
LAW,30,Racing Bulls,12.0,0 days 00:01:28.561000,0 days 00:01:28.191000,
ALO,14,Aston Martin,13.0,0 days 00:01:28.548000,0 days 00:01:28.303000,
HAD,6,Racing Bulls,14.0,0 days 00:01:28.571000,0 days 00:01:28.418000,
BEA,87,Haas F1 Team,15.0,0 days 00:01:28.536000,0 days 00:01:28.648000,
STR,18,Aston Martin,16.0,0 days 00:01:28.645000,,
DOO,7,Alpine,17.0,0 days 00:01:28.739000,,
HUL,27,Kick Sauber,18.0,0 days 00:01:28.782000,,
OCO,31,Haas F1 Team,19.0,0 days 00:01:29.092000,,
BOR,5,Kick Sauber,20.0,0 days 00:01:29.462000,,
