driver,driver_number,team,position,q1,q2,q3
RUS,63,Mercedes,1.0,0 days 00:01:29.928000,0 days 00:01:29.562000,0 days 00:01:29.158000
VER,1,Red Bull Racing,2.0,0 days 00:01:30.028000,0 days 00:01:29.572000,0 days 00:01:29.340000
PIA,81,McLaren,3.0,0 days 00:01:30.313000,0 days 00:01:29.813000,0 days 00:01:29.524000
ANT,12,Mercedes,4.0,0 days 00:01:30.036000,0 days 00:01:29.649000,0 days 00:01:29.537000
NOR,4,McLaren,5.0,0 days 00:01:29.932000,0 days 00:01:29.809000,0 days 00:01:29.586000
HAM,44,Ferrari,6.0,0 days 00:01:29.765000,0 days 00:01:29.936000,0 days 00:01:29.688000
LEC,16,Ferrari,7.0,0 days 00:01:30.370000,0 days 00:01:29.914000,0 days 00:01:29.784000
HAD,6,Racing Bulls,8.0,0 days 00:01:30.214000,0 days 00:01:30.016000,0 days 00:01:29.846000
BEA,87,Haas F1 Team,9.0,0 days 00:01:30.420000,0 days 00:01:30.076000,0 days 00:01:29.868000
ALO,14,Aston Martin,10.0,0 days 00:01:30.745000,0 days 00:01:30.054000,0 days 00:01:29.955000
HUL,27,Kick Sauber,11.0,0 days 00:01:30.715000,0 days 00:01:30.141000,
LAW,30,Racing Bulls,12.0,0 days 00:01:30.681000,0 days 00:01:30.320000,
TSU,22,Red Bull Racing,13.0,0 days 00:01:30.574000,0 days 00:01:30.353000,
BOR,5,Kick Sauber,14.0,0 days 00:01:30.820000,,
STR,18,Aston Martin,15.0,0 days 00:01:30.949000,,
COL,43,Alpine,16.0,0 days 00:01:30.982000,,
OCO,31,Haas F1 Team,17.0,0 days 00:01:30.989000,,
GAS,10,Alpine,18.0,0 days 00:01:31.261000,,
ALB,23,Williams,19.0,,,
SAI,55,Williams,20.0,,,
