driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,HARD,1.0
VER,0 days 00:01:12.942000,1.0,HARD,2.0
VER,0 days 00:01:48.621000,1.0,HARD,3.0
VER,0 days 00:01:11.968000,1.0,HARD,4.0
VER,0 days 00:02:14.670000,1.0,HARD,5.0
VER,0 days 00:01:11.693000,1.0,HARD,6.0
VER,0 days 00:02:19.542000,1.0,HARD,7.0
VER,0 days 00:01:11.368000,1.0,HARD,8.0
VER,0 days 00:01:29.201000,1.0,HARD,9.0
VER,,2.0,HARD,10.0
VER,0 days 00:01:14.601000,2.0,HARD,11.0
VER,0 days 00:01:14.179000,2.0,HARD,12.0
VER,0 days 00:01:14.534000,2.0,HARD,13.0
VER,0 days 00:01:14.693000,2.0,HARD,14.0
VER,0 days 00:01:14.895000,2.0,HARD,15.0
VER,0 days 00:01:18.580000,2.0,HARD,16.0
VER,0 days 00:01:14.834000,2.0,HARD,17.0
VER,0 days 00:01:14.715000,2.0,HARD,18.0
VER,0 days 00:01:14.870000,2.0,HARD,19.0
VER,0 days 00:01:14.967000,2.0,HARD,20.0
VER,0 days 00:01:15.024000,2.0,HARD,21.0
VER,0 days 00:01:14.700000,2.0,HARD,22.0
VER,0 days 00:01:14.747000,2.0,HARD,23.0
VER,0 days 00:01:14.529000,2.0,HARD,24.0
VER,0 days 00:01:14.525000,2.0,HARD,25.0
VER,0 days 00:01:23.683000,2.0,HARD,26.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:22.978000,3.0,SOFT,2.0
VER,,4.0,HARD,27.0
VER,0 days 00:01:49.719000,4.0,HARD,28.0
VER,0 days 00:01:42.710000,4.0,HARD,29.0
NOR,,1.0,HARD,1.0
NOR,0 days 00:01:12.700000,1.0,HARD,2.0
NOR,0 days 00:01:51.125000,1.0,HARD,3.0
NOR,0 days 00:01:12.051000,1.0,HARD,4.0
NOR,0 days 00:02:01.434000,1.0,HARD,5.0
NOR,0 days 00:01:11.796000,1.0,HARD,6.0
NOR,0 days 00:01:18.619000,1.0,HARD,7.0
NOR,0 days 00:01:12.805000,1.0,HARD,8.0
NOR,0 days 00:01:12.705000,1.0,HARD,9.0
NOR,0 days 00:01:12.662000,1.0,HARD,10.0
NOR,0 days 00:01:16.690000,1.0,HARD,11.0
NOR,,2.0,HARD,12.0
NOR,0 days 00:01:12.536000,2.0,HARD,13.0
NOR,0 days 00:01:18.450000,2.0,HARD,14.0
NOR,0 days 00:01:13.057000,2.0,HARD,15.0
NOR,0 days 00:01:17.254000,2.0,HARD,16.0
NOR,0 days 00:01:13.526000,2.0,HARD,17.0
NOR,0 days 00:01:16.316000,2.0,HARD,18.0
NOR,0 days 00:01:13.807000,2.0,HARD,19.0
NOR,0 days 00:01:13.712000,2.0,HARD,20.0
NOR,0 days 00:01:17.976000,2.0,HARD,21.0
NOR,,3.0,MEDIUM,1.0
NOR,0 days 00:01:10.471000,3.0,MEDIUM,2.0
NOR,0 days 00:01:57.246000,3.0,MEDIUM,3.0
NOR,0 days 00:02:24.944000,4.0,MEDIUM,4.0
NOR,0 days 00:01:10.259000,4.0,MEDIUM,5.0
NOR,0 days 00:01:53.471000,4.0,MEDIUM,6.0
NOR,0 days 00:01:43.856000,4.0,MEDIUM,7.0
NOR,0 days 00:01:09.975000,4.0,MEDIUM,8.0
NOR,0 days 00:01:54.594000,4.0,MEDIUM,9.0
NOR,0 days 00:01:40.341000,4.0,MEDIUM,10.0
BOR,,1.0,HARD,1.0
BOR,0 days 00:01:21.927000,1.0,HARD,2.0
BOR,0 days 00:01:13.350000,1.0,HARD,3.0
BOR,0 days 00:01:51.855000,1.0,HARD,4.0
BOR,0 days 00:01:12.537000,1.0,HARD,5.0
BOR,0 days 00:01:56.827000,1.0,HARD,6.0
BOR,0 days 00:01:12.293000,1.0,HARD,7.0
BOR,0 days 00:02:10.155000,1.0,HARD,8.0
BOR,0 days 00:01:11.938000,1.0,HARD,9.0
BOR,0 days 00:02:15.084000,1.0,HARD,10.0
BOR,0 days 00:01:19.068000,1.0,HARD,11.0
BOR,,2.0,HARD,12.0
BOR,0 days 00:01:13.189000,2.0,HARD,13.0
BOR,0 days 00:01:30.275000,2.0,HARD,14.0
BOR,0 days 00:01:14.263000,2.0,HARD,15.0
BOR,0 days 00:01:14.433000,2.0,HARD,16.0
BOR,0 days 00:01:14.789000,2.0,HARD,17.0
BOR,0 days 00:01:14.563000,2.0,HARD,18.0
BOR,0 days 00:01:14.545000,2.0,HARD,19.0
BOR,0 days 00:01:14.236000,2.0,HARD,20.0
BOR,0 days 00:01:15.066000,2.0,HARD,21.0
BOR,0 days 00:01:19.121000,2.0,HARD,22.0
BOR,,3.0,MEDIUM,1.0
BOR,0 days 00:01:10.865000,3.0,MEDIUM,2.0
BOR,0 days 00:02:04.597000,3.0,MEDIUM,3.0
BOR,0 days 00:02:08.455000,4.0,MEDIUM,4.0
BOR,0 days 00:01:10.616000,4.0,MEDIUM,5.0
BOR,0 days 00:01:51.372000,4.0,MEDIUM,6.0
BOR,0 days 00:01:54.683000,5.0,MEDIUM,7.0
BOR,0 days 00:01:11.231000,5.0,MEDIUM,8.0
BOR,0 days 00:01:54.605000,5.0,MEDIUM,9.0
BOR,0 days 00:01:50.508000,5.0,MEDIUM,10.0
HAD,,1.0,HARD,1.0
HAD,0 days 00:01:13.468000,1.0,HARD,2.0
HAD,0 days 00:01:13.064000,1.0,HARD,3.0
HAD,0 days 00:01:59.126000,1.0,HARD,4.0
HAD,0 days 00:01:12.622000,1.0,HARD,5.0
HAD,0 days 00:01:58.673000,1.0,HARD,6.0
HAD,0 days 00:02:10.682000,2.0,HARD,7.0
HAD,0 days 00:01:28.863000,2.0,HARD,8.0
HAD,0 days 00:01:11.922000,2.0,HARD,9.0
HAD,0 days 00:01:51.444000,2.0,HARD,10.0
HAD,0 days 00:01:11.947000,2.0,HARD,11.0
HAD,0 days 00:01:31.581000,2.0,HARD,12.0
HAD,,3.0,HARD,13.0
HAD,0 days 00:01:15.288000,3.0,HARD,14.0
HAD,0 days 00:01:14.891000,3.0,HARD,15.0
HAD,0 days 00:01:14.631000,3.0,HARD,16.0
HAD,0 days 00:01:14.346000,3.0,HARD,17.0
HAD,0 days 00:01:16.089000,3.0,HARD,18.0
HAD,0 days 00:01:15.228000,3.0,HARD,19.0
HAD,0 days 00:01:19.792000,3.0,HARD,20.0
HAD,,4.0,MEDIUM,1.0
HAD,0 days 00:01:11.047000,4.0,MEDIUM,2.0
HAD,0 days 00:02:01.703000,4.0,MEDIUM,3.0
HAD,0 days 00:01:46.722000,4.0,MEDIUM,4.0
HAD,0 days 00:01:10.861000,4.0,MEDIUM,5.0
HAD,0 days 00:01:57.750000,4.0,MEDIUM,6.0
HAD,,5.0,MEDIUM,7.0
HAD,0 days 00:01:10.707000,5.0,MEDIUM,8.0
HAD,0 days 00:01:48.275000,5.0,MEDIUM,9.0
HAD,0 days 00:01:58.573000,5.0,MEDIUM,10.0
HAD,0 days 00:01:49.951000,5.0,MEDIUM,11.0
GAS,,1.0,HARD,1.0
GAS,0 days 00:01:13.125000,1.0,HARD,2.0
GAS,0 days 00:01:56.124000,1.0,HARD,3.0
GAS,0 days 00:01:12.316000,1.0,HARD,4.0
GAS,0 days 00:02:03.470000,1.0,HARD,5.0
GAS,0 days 00:01:28.911000,1.0,HARD,6.0
GAS,0 days 00:01:12.104000,1.0,HARD,7.0
GAS,0 days 00:02:03.923000,1.0,HARD,8.0
GAS,0 days 00:01:42.321000,1.0,HARD,9.0
GAS,0 days 00:01:40.195000,1.0,HARD,10.0
GAS,0 days 00:01:11.577000,1.0,HARD,11.0
GAS,0 days 00:01:33.183000,1.0,HARD,12.0
GAS,,2.0,HARD,13.0
GAS,0 days 00:01:11.930000,2.0,HARD,14.0
GAS,0 days 00:01:15.148000,2.0,HARD,15.0
GAS,0 days 00:01:14.321000,2.0,HARD,16.0
GAS,0 days 00:01:14.483000,2.0,HARD,17.0
GAS,0 days 00:01:14.333000,2.0,HARD,18.0
GAS,0 days 00:01:14.277000,2.0,HARD,19.0
GAS,0 days 00:01:14.391000,2.0,HARD,20.0
GAS,0 days 00:01:14.583000,2.0,HARD,21.0
GAS,0 days 00:01:17.948000,2.0,HARD,22.0
GAS,,3.0,MEDIUM,1.0
GAS,0 days 00:01:34.732000,3.0,MEDIUM,2.0
GAS,0 days 00:01:10.920000,3.0,MEDIUM,3.0
GAS,0 days 00:01:44.977000,3.0,MEDIUM,4.0
GAS,0 days 00:01:50.087000,3.0,MEDIUM,5.0
GAS,0 days 00:01:11.081000,3.0,MEDIUM,6.0
GAS,0 days 00:01:54.594000,3.0,MEDIUM,7.0
GAS,0 days 00:01:49.533000,3.0,MEDIUM,8.0
GAS,0 days 00:01:10.681000,3.0,MEDIUM,9.0
GAS,0 days 00:01:51.624000,3.0,MEDIUM,10.0
GAS,0 days 00:01:41.793000,3.0,MEDIUM,11.0
ANT,,1.0,HARD,1.0
ANT,0 days 00:01:20.808000,1.0,HARD,2.0
ANT,0 days 00:01:14.056000,1.0,HARD,3.0
ANT,0 days 00:01:39.010000,1.0,HARD,4.0
ANT,0 days 00:01:12.698000,1.0,HARD,5.0
ANT,0 days 00:02:00.552000,1.0,HARD,6.0
ANT,0 days 00:01:30.398000,1.0,HARD,7.0
ANT,0 days 00:01:19.267000,1.0,HARD,8.0
ANT,0 days 00:01:36.091000,1.0,HARD,9.0
ANT,0 days 00:01:32.426000,1.0,HARD,10.0
ANT,0 days 00:01:11.661000,1.0,HARD,11.0
ANT,0 days 00:01:34.411000,1.0,HARD,12.0
ANT,,2.0,HARD,13.0
ANT,0 days 00:01:14.126000,2.0,HARD,14.0
ANT,0 days 00:01:14.046000,2.0,HARD,15.0
ANT,0 days 00:01:14.033000,2.0,HARD,16.0
ANT,0 days 00:01:14.416000,2.0,HARD,17.0
ANT,0 days 00:01:14.346000,2.0,HARD,18.0
ANT,0 days 00:01:14.177000,2.0,HARD,19.0
ANT,0 days 00:01:14.385000,2.0,HARD,20.0
ANT,0 days 00:01:16.915000,2.0,HARD,21.0
ANT,0 days 00:01:14.800000,2.0,HARD,22.0
ANT,0 days 00:01:14.906000,2.0,HARD,23.0
ANT,0 days 00:01:14.904000,2.0,HARD,24.0
ANT,0 days 00:01:18.849000,2.0,HARD,25.0
ANT,,3.0,MEDIUM,1.0
ANT,0 days 00:01:11.345000,3.0,MEDIUM,2.0
ANT,0 days 00:02:02.159000,3.0,MEDIUM,3.0
ANT,0 days 00:01:57.678000,4.0,MEDIUM,4.0
ANT,0 days 00:01:38.344000,4.0,MEDIUM,5.0
ANT,0 days 00:01:11.081000,4.0,MEDIUM,6.0
ANT,0 days 00:01:56.691000,4.0,MEDIUM,7.0
ANT,0 days 00:01:55.398000,5.0,MEDIUM,8.0
ANT,0 days 00:01:10.744000,5.0,MEDIUM,9.0
ANT,0 days 00:01:51.954000,5.0,MEDIUM,10.0
ANT,0 days 00:02:19.653000,5.0,MEDIUM,11.0
ANT,0 days 00:02:00.696000,5.0,MEDIUM,12.0
ALO,,1.0,HARD,1.0
ALO,0 days 00:01:12.662000,1.0,HARD,2.0
ALO,0 days 00:01:46.887000,1.0,HARD,3.0
ALO,0 days 00:01:12.466000,1.0,HARD,4.0
ALO,0 days 00:02:07.481000,1.0,HARD,5.0
ALO,0 days 00:01:12.073000,1.0,HARD,6.0
ALO,0 days 00:01:49.595000,1.0,HARD,7.0
ALO,,2.0,HARD,8.0
ALO,0 days 00:01:12.152000,2.0,HARD,9.0
ALO,0 days 00:01:46.369000,2.0,HARD,10.0
ALO,0 days 00:01:38.664000,2.0,HARD,11.0
ALO,0 days 00:01:41.470000,2.0,HARD,12.0
ALO,0 days 00:01:12.440000,2.0,HARD,13.0
ALO,0 days 00:01:13.396000,2.0,HARD,14.0
ALO,0 days 00:01:14.014000,2.0,HARD,15.0
ALO,0 days 00:01:14.399000,2.0,HARD,16.0
ALO,0 days 00:01:22.008000,2.0,HARD,17.0
ALO,,3.0,MEDIUM,1.0
ALO,0 days 00:01:10.842000,3.0,MEDIUM,2.0
ALO,0 days 00:01:50.644000,3.0,MEDIUM,3.0
ALO,0 days 00:02:06.911000,4.0,MEDIUM,4.0
ALO,0 days 00:01:10.606000,4.0,MEDIUM,5.0
ALO,0 days 00:01:44.917000,4.0,MEDIUM,6.0
ALO,,5.0,HARD,18.0
ALO,0 days 00:01:46.174000,5.0,HARD,19.0
ALO,0 days 00:02:05.330000,5.0,HARD,20.0
LEC,,1.0,HARD,1.0
LEC,0 days 00:01:12.950000,1.0,HARD,2.0
LEC,0 days 00:02:01.995000,1.0,HARD,3.0
LEC,0 days 00:01:12.315000,1.0,HARD,4.0
LEC,0 days 00:02:10.452000,1.0,HARD,5.0
LEC,0 days 00:01:11.861000,1.0,HARD,6.0
LEC,0 days 00:02:08.634000,1.0,HARD,7.0
