driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,HARD,1.0
VER,0 days 00:01:38.797000,1.0,HARD,2.0
VER,,1.0,HARD,3.0
VER,0 days 00:01:36.192000,1.0,HARD,4.0
VER,,1.0,HARD,5.0
VER,0 days 00:01:35.426000,1.0,HARD,6.0
VER,,1.0,HARD,7.0
VER,0 days 00:01:35.680000,1.0,HARD,8.0
VER,0 days 00:02:02.616000,1.0,HARD,9.0
VER,,2.0,HARD,10.0
VER,0 days 00:01:39.824000,2.0,HARD,11.0
VER,0 days 00:01:40.058000,2.0,HARD,12.0
VER,0 days 00:01:45.657000,2.0,HARD,13.0
VER,0 days 00:01:39.710000,2.0,HARD,14.0
VER,0 days 00:01:39.431000,2.0,HARD,15.0
VER,0 days 00:01:39.236000,2.0,HARD,16.0
VER,0 days 00:01:38.883000,2.0,HARD,17.0
VER,0 days 00:01:38.747000,2.0,HARD,18.0
VER,0 days 00:01:40.546000,2.0,HARD,19.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:33.648000,3.0,SOFT,2.0
VER,,3.0,SOFT,3.0
VER,,3.0,SOFT,4.0
VER,0 days 00:02:21.261000,3.0,SOFT,5.0
VER,0 days 00:02:01.442000,3.0,SOFT,6.0
VER,0 days 00:02:16.585000,3.0,SOFT,7.0
NOR,,1.0,HARD,1.0
NOR,0 days 00:01:37.546000,1.0,HARD,2.0
NOR,,1.0,HARD,3.0
NOR,0 days 00:01:36.126000,1.0,HARD,4.0
NOR,,1.0,HARD,5.0
NOR,0 days 00:01:35.786000,1.0,HARD,6.0
NOR,0 days 00:02:00.456000,1.0,HARD,7.0
NOR,,2.0,HARD,8.0
NOR,0 days 00:02:02.609000,2.0,HARD,9.0
NOR,0 days 00:01:35.397000,2.0,HARD,10.0
NOR,0 days 00:02:28.037000,2.0,HARD,11.0
NOR,0 days 00:01:45.748000,2.0,HARD,12.0
NOR,0 days 00:01:36.823000,2.0,HARD,13.0
NOR,0 days 00:01:36.901000,2.0,HARD,14.0
NOR,0 days 00:01:37.043000,2.0,HARD,15.0
NOR,0 days 00:01:37.876000,2.0,HARD,16.0
NOR,0 days 00:01:38.009000,2.0,HARD,17.0
NOR,,3.0,SOFT,1.0
NOR,0 days 00:01:33.294000,3.0,SOFT,2.0
NOR,,3.0,SOFT,3.0
NOR,0 days 00:01:58.123000,3.0,SOFT,4.0
NOR,0 days 00:02:17.304000,3.0,SOFT,5.0
NOR,,3.0,SOFT,6.0
BOR,,1.0,HARD,1.0
BOR,0 days 00:01:39.372000,1.0,HARD,2.0
BOR,,1.0,HARD,3.0
BOR,0 days 00:02:26.515000,1.0,HARD,4.0
BOR,0 days 00:01:37.590000,1.0,HARD,5.0
BOR,,1.0,HARD,6.0
BOR,0 days 00:01:37.976000,1.0,HARD,7.0
BOR,0 days 00:02:25.413000,1.0,HARD,8.0
BOR,,2.0,HARD,9.0
BOR,0 days 00:01:37.171000,2.0,HARD,10.0
BOR,0 days 00:02:25.471000,2.0,HARD,11.0
BOR,0 days 00:01:36.696000,2.0,HARD,12.0
BOR,,2.0,HARD,13.0
BOR,0 days 00:01:36.398000,2.0,HARD,14.0
BOR,0 days 00:01:49.794000,2.0,HARD,15.0
BOR,0 days 00:01:38.631000,2.0,HARD,16.0
BOR,0 days 00:01:40.128000,2.0,HARD,17.0
BOR,,3.0,SOFT,1.0
BOR,0 days 00:01:34.478000,3.0,SOFT,2.0
BOR,,3.0,SOFT,3.0
BOR,0 days 00:02:22.323000,3.0,SOFT,4.0
BOR,0 days 00:01:34.935000,3.0,SOFT,5.0
BOR,,3.0,SOFT,6.0
BOR,,3.0,SOFT,7.0
HAD,,1.0,HARD,1.0
HAD,0 days 00:01:56.980000,1.0,HARD,2.0
HAD,0 days 00:01:37.573000,1.0,HARD,3.0
HAD,,1.0,HARD,4.0
HAD,0 days 00:01:37.150000,1.0,HARD,5.0
HAD,,1.0,HARD,6.0
HAD,0 days 00:02:16.599000,1.0,HARD,7.0
HAD,0 days 00:01:36.261000,1.0,HARD,8.0
HAD,,1.0,HARD,9.0
HAD,,2.0,HARD,10.0
HAD,0 days 00:01:41.378000,2.0,HARD,11.0
HAD,0 days 00:01:40.676000,2.0,HARD,12.0
HAD,0 days 00:01:39.803000,2.0,HARD,13.0
HAD,0 days 00:01:39.814000,2.0,HARD,14.0
