driver,LapTime,Stint,Compound,TyreLife
NOR,,1.0,HARD,1.0
NOR,0 days 00:01:25.952000,1.0,HARD,2.0
NOR,0 days 00:01:38.255000,1.0,HARD,3.0
NOR,,1.0,HARD,4.0
NOR,0 days 00:01:36.899000,2.0,HARD,5.0
NOR,0 days 00:01:22.712000,2.0,HARD,6.0
NOR,0 days 00:01:23.473000,2.0,HARD,7.0
NOR,0 days 00:01:22.690000,2.0,HARD,8.0
NOR,0 days 00:01:23.030000,2.0,HARD,9.0
NOR,0 days 00:01:56.751000,2.0,HARD,10.0
NOR,0 days 00:01:44.336000,3.0,HARD,11.0
NOR,0 days 00:01:21.940000,3.0,HARD,12.0
NOR,,3.0,HARD,13.0
NOR,0 days 00:01:46.937000,4.0,SOFT,1.0
NOR,0 days 00:01:20.794000,4.0,SOFT,2.0
NOR,0 days 00:01:56.348000,4.0,SOFT,3.0
NOR,0 days 00:01:50.040000,4.0,SOFT,4.0
NOR,0 days 00:01:20.950000,4.0,SOFT,5.0
NOR,0 days 00:01:45.890000,4.0,SOFT,6.0
NOR,0 days 00:01:24.917000,4.0,SOFT,7.0
NOR,0 days 00:01:23.385000,4.0,SOFT,8.0
NOR,0 days 00:01:22.989000,4.0,SOFT,9.0
NOR,0 days 00:01:35.888000,4.0,SOFT,10.0
NOR,0 days 00:01:32.487000,4.0,SOFT,11.0
NOR,0 days 00:01:28.124000,4.0,SOFT,12.0
NOR,0 days 00:01:23.604000,4.0,SOFT,13.0
NOR,0 days 00:01:25.274000,4.0,SOFT,14.0
NOR,,4.0,SOFT,15.0
NOR,,4.0,SOFT,16.0
VER,0 days 00:01:47.564000,1.0,MEDIUM,1.0
VER,0 days 00:01:22.210000,1.0,MEDIUM,2.0
VER,0 days 00:02:01.533000,1.0,MEDIUM,3.0
VER,0 days 00:01:21.080000,1.0,MEDIUM,4.0
VER,0 days 00:01:47.397000,1.0,MEDIUM,5.0
VER,0 days 00:01:40.261000,2.0,SOFT,1.0
VER,0 days 00:01:20.366000,2.0,SOFT,2.0
VER,,2.0,SOFT,3.0
VER,,3.0,MEDIUM,6.0
VER,0 days 00:01:24.588000,3.0,MEDIUM,7.0
