driver,team,position,status,grid_position,points,dnf_flag
RUS,Mercedes,1.0,finished,1.0,25.0,0
ANT,Mercedes,2.0,finished,2.0,18.0,0
LEC,Ferrari,3.0,finished,4.0,15.0,0
HAM,Ferrari,4.0,finished,7.0,12.0,0
NOR,McLaren,5.0,finished,6.0,10.0,0
VER,Red Bull,6.0,finished,20.0,8.0,0
BEA,Haas F1 Team,7.0,lapped,12.0,6.0,0
LIN,RB F1 Team,8.0,lapped,9.0,4.0,0
BOR,Audi,9.0,lapped,10.0,2.0,0
GAS,Alpine F1 Team,10.0,lapped,14.0,1.0,0
OCO,Haas F1 Team,11.0,lapped,13.0,0.0,0
ALB,Williams,12.0,lapped,15.0,0.0,0
LAW,RB F1 Team,13.0,lapped,8.0,0.0,0
COL,Alpine F1 Team,14.0,lapped,16.0,0.0,0
SAI,Williams,15.0,lapped,21.0,0.0,0
PER,Cadillac F1 Team,16.0,lapped,18.0,0.0,0
STR,Aston Martin,17.0,lapped,22.0,0.0,0
ALO,Aston Martin,,retired,17.0,0.0,1
BOT,Cadillac F1 Team,,retired,19.0,0.0,1
HAD,Red Bull,,retired,3.0,0.0,1
PIA,McLaren,,did not start,5.0,0.0,1
HUL,Audi,,did not start,11.0,0.0,1
