driver,LapTime,Stint,Compound,TyreLife
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:16.867000,1.0,MEDIUM,2.0
NOR,0 days 00:02:02.520000,1.0,MEDIUM,3.0
NOR,0 days 00:01:56.900000,2.0,MEDIUM,4.0
NOR,0 days 00:01:16.574000,2.0,MEDIUM,5.0
NOR,0 days 00:02:02.260000,2.0,MEDIUM,6.0
NOR,0 days 00:02:05.522000,2.0,MEDIUM,7.0
NOR,0 days 00:01:21.928000,2.0,MEDIUM,8.0
NOR,,2.0,MEDIUM,9.0
NOR,0 days 00:01:39.941000,2.0,MEDIUM,10.0
NOR,0 days 00:01:18.142000,2.0,MEDIUM,11.0
NOR,0 days 00:01:38.293000,2.0,MEDIUM,12.0
NOR,,3.0,SOFT,1.0
NOR,0 days 00:01:15.426000,3.0,SOFT,2.0
NOR,0 days 00:01:44.516000,3.0,SOFT,3.0
NOR,,4.0,SOFT,4.0
NOR,0 days 00:01:21.107000,4.0,SOFT,5.0
NOR,0 days 00:01:21.521000,4.0,SOFT,6.0
NOR,0 days 00:01:21.549000,4.0,SOFT,7.0
NOR,0 days 00:01:21.638000,4.0,SOFT,8.0
NOR,0 days 00:01:21.739000,4.0,SOFT,9.0
NOR,0 days 00:01:24.966000,4.0,SOFT,10.0
NOR,0 days 00:01:22.981000,4.0,SOFT,11.0
NOR,0 days 00:01:22.613000,4.0,SOFT,12.0
NOR,0 days 00:01:23.083000,4.0,SOFT,13.0
NOR,0 days 00:01:31.277000,4.0,SOFT,14.0
NOR,0 days 00:02:08.216000,5.0,MEDIUM,13.0
NOR,0 days 00:01:54.106000,5.0,MEDIUM,14.0
NOR,0 days 00:02:16.940000,5.0,MEDIUM,15.0
NOR,0 days 00:02:26.412000,5.0,MEDIUM,16.0
VER,,1.0,HARD,1.0
VER,0 days 00:01:16.452000,1.0,HARD,2.0
VER,0 days 00:01:48.327000,1.0,HARD,3.0
VER,,2.0,HARD,4.0
VER,0 days 00:01:17.907000,2.0,HARD,5.0
VER,0 days 00:01:33.876000,2.0,HARD,6.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:16.321000,3.0,SOFT,2.0
VER,0 days 00:01:33.315000,3.0,SOFT,3.0
VER,,4.0,HARD,7.0
VER,0 days 00:01:21.431000,4.0,HARD,8.0
VER,0 days 00:01:21.161000,4.0,HARD,9.0
VER,0 days 00:01:21.094000,4.0,HARD,10.0
VER,0 days 00:01:21.517000,4.0,HARD,11.0
VER,0 days 00:01:21.850000,4.0,HARD,12.0
VER,0 days 00:01:21.760000,4.0,HARD,13.0
VER,0 days 00:01:24.105000,4.0,HARD,14.0
VER,0 days 00:01:22.540000,4.0,HARD,15.0
VER,0 days 00:01:22.533000,4.0,HARD,16.0
VER,0 days 00:01:23.312000,4.0,HARD,17.0
VER,0 days 00:01:27.929000,4.0,HARD,18.0
VER,0 days 00:01:43.915000,5.0,SOFT,4.0
VER,0 days 00:01:22.454000,5.0,SOFT,5.0
VER,0 days 00:01:21.354000,5.0,SOFT,6.0
VER,0 days 00:01:21.388000,5.0,SOFT,7.0
VER,0 days 00:01:21.217000,5.0,SOFT,8.0
VER,0 days 00:01:21.656000,5.0,SOFT,9.0
VER,0 days 00:01:21.538000,5.0,SOFT,10.0
VER,0 days 00:01:22.059000,5.0,SOFT,11.0
VER,0 days 00:01:22.116000,5.0,SOFT,12.0
VER,0 days 00:01:22.584000,5.0,SOFT,13.0
VER,0 days 00:02:17.522000,5.0,SOFT,14.0
VER,,5.0,SOFT,15.0
BOR,,1.0,MEDIUM,1.0
BOR,0 days 00:01:17.889000,1.0,MEDIUM,2.0
BOR,0 days 00:02:13.961000,1.0,MEDIUM,3.0
BOR,0 days 00:02:09.419000,2.0,MEDIUM,4.0
BOR,0 days 00:01:17.694000,2.0,MEDIUM,5.0
BOR,0 days 00:02:02.186000,2.0,MEDIUM,6.0
BOR,0 days 00:02:18.158000,3.0,MEDIUM,7.0
BOR,0 days 00:01:17.912000,3.0,MEDIUM,8.0
BOR,0 days 00:01:46.809000,3.0,MEDIUM,9.0
