driver,LapTime,Stint,Compound,TyreLife
NOR,,1.0,MEDIUM,2.0
NOR,0 days 00:01:47.882000,1.0,MEDIUM,3.0
NOR,,1.0,MEDIUM,4.0
NOR,,1.0,MEDIUM,5.0
NOR,,2.0,MEDIUM,6.0
NOR,0 days 00:01:47.376000,2.0,MEDIUM,7.0
NOR,0 days 00:02:08.786000,2.0,MEDIUM,8.0
NOR,,3.0,SOFT,1.0
NOR,0 days 00:01:46.134000,3.0,SOFT,2.0
NOR,0 days 00:02:05.782000,3.0,SOFT,3.0
NOR,,4.0,MEDIUM,9.0
NOR,0 days 00:01:51.862000,4.0,MEDIUM,10.0
NOR,0 days 00:01:51.882000,4.0,MEDIUM,11.0
NOR,,4.0,MEDIUM,12.0
NOR,,5.0,SOFT,4.0
NOR,,5.0,SOFT,5.0
NOR,,5.0,SOFT,6.0
NOR,,5.0,SOFT,7.0
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:46.942000,1.0,MEDIUM,2.0
VER,,1.0,MEDIUM,3.0
VER,0 days 00:01:46.986000,1.0,MEDIUM,4.0
VER,,1.0,MEDIUM,5.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:46.416000,2.0,SOFT,2.0
VER,0 days 00:02:16.758000,2.0,SOFT,3.0
VER,,3.0,MEDIUM,6.0
VER,0 days 00:01:51.405000,3.0,MEDIUM,7.0
VER,0 days 00:01:52.212000,3.0,MEDIUM,8.0
VER,0 days 00:01:51.435000,3.0,MEDIUM,9.0
VER,0 days 00:01:51.523000,3.0,MEDIUM,10.0
VER,0 days 00:01:51.664000,3.0,MEDIUM,11.0
VER,0 days 00:01:52.433000,3.0,MEDIUM,12.0
VER,0 days 00:01:52.463000,3.0,MEDIUM,13.0
VER,,3.0,MEDIUM,14.0
VER,,4.0,SOFT,4.0
VER,0 days 00:02:28.472000,4.0,SOFT,5.0
VER,,4.0,SOFT,6.0
VER,,4.0,SOFT,7.0
BOR,,1.0,MEDIUM,1.0
BOR,0 days 00:01:48.335000,1.0,MEDIUM,2.0
BOR,,1.0,MEDIUM,3.0
BOR,0 days 00:02:15.490000,1.0,MEDIUM,4.0
BOR,,1.0,MEDIUM,5.0
BOR,,2.0,MEDIUM,6.0
BOR,0 days 00:01:48.347000,2.0,MEDIUM,7.0
BOR,,2.0,MEDIUM,8.0
BOR,0 days 00:01:55.794000,2.0,MEDIUM,9.0
BOR,,3.0,SOFT,1.0
BOR,0 days 00:01:47.952000,3.0,SOFT,2.0
BOR,,3.0,SOFT,3.0
BOR,0 days 00:01:54.881000,3.0,SOFT,4.0
BOR,,4.0,MEDIUM,10.0
BOR,0 days 00:02:00.493000,4.0,MEDIUM,11.0
BOR,0 days 00:02:25.092000,4.0,MEDIUM,12.0
BOR,,4.0,MEDIUM,13.0
HAD,,1.0,MEDIUM,1.0
HAD,0 days 00:01:46.922000,1.0,MEDIUM,2.0
HAD,,1.0,MEDIUM,3.0
HAD,0 days 00:01:46.988000,1.0,MEDIUM,4.0
HAD,,1.0,MEDIUM,5.0
HAD,,2.0,SOFT,1.0
HAD,0 days 00:01:46.714000,2.0,SOFT,2.0
HAD,,2.0,SOFT,3.0
HAD,,3.0,MEDIUM,6.0
HAD,0 days 00:01:51.860000,3.0,MEDIUM,7.0
HAD,0 days 00:01:52.658000,3.0,MEDIUM,8.0
HAD,0 days 00:01:52.587000,3.0,MEDIUM,9.0
HAD,0 days 00:01:52.873000,3.0,MEDIUM,10.0
HAD,0 days 00:01:52.333000,3.0,MEDIUM,11.0
HAD,0 days 00:01:52.382000,3.0,MEDIUM,12.0
HAD,,3.0,MEDIUM,13.0
HAD,,4.0,SOFT,4.0
HAD,,4.0,SOFT,5.0
HAD,,4.0,SOFT,6.0
HAD,,4.0,SOFT,7.0
GAS,,1.0,MEDIUM,1.0
GAS,0 days 00:01:49.232000,1.0,MEDIUM,2.0
GAS,,1.0,MEDIUM,3.0
GAS,0 days 00:02:23.200000,1.0,MEDIUM,4.0
GAS,,1.0,MEDIUM,5.0
GAS,,2.0,MEDIUM,6.0
GAS,0 days 00:01:48.955000,2.0,MEDIUM,7.0
