driver,LapTime,Stint,Compound,TyreLife
NOR,,1.0,HARD,1.0
NOR,0 days 00:01:22.647000,1.0,HARD,2.0
NOR,0 days 00:01:35.018000,1.0,HARD,3.0
NOR,0 days 00:01:20.708000,1.0,HARD,4.0
NOR,0 days 00:02:23.488000,1.0,HARD,5.0
NOR,,2.0,HARD,6.0
NOR,0 days 00:01:26.428000,3.0,HARD,7.0
NOR,0 days 00:01:30.603000,3.0,HARD,8.0
NOR,0 days 00:01:17.459000,3.0,HARD,9.0
NOR,0 days 00:01:29.974000,3.0,HARD,10.0
NOR,0 days 00:01:16.453000,3.0,HARD,11.0
NOR,,3.0,HARD,12.0
NOR,,4.0,HARD,13.0
NOR,0 days 00:01:24.792000,4.0,HARD,14.0
NOR,0 days 00:01:22.073000,4.0,HARD,15.0
NOR,0 days 00:01:15.784000,4.0,HARD,16.0
NOR,0 days 00:01:31.527000,4.0,HARD,17.0
NOR,0 days 00:01:15.192000,4.0,HARD,18.0
NOR,0 days 00:01:42.971000,4.0,HARD,19.0
NOR,0 days 00:01:15.192000,4.0,HARD,20.0
NOR,0 days 00:01:29.774000,4.0,HARD,21.0
NOR,0 days 00:01:27.775000,4.0,HARD,22.0
NOR,0 days 00:01:15.298000,4.0,HARD,23.0
NOR,,4.0,HARD,24.0
NOR,0 days 00:01:29.434000,5.0,SOFT,1.0
NOR,0 days 00:01:14.799000,5.0,SOFT,2.0
NOR,0 days 00:01:43.876000,5.0,SOFT,3.0
NOR,,5.0,SOFT,4.0
NOR,0 days 00:02:11.815000,6.0,SOFT,5.0
NOR,0 days 00:02:13.919000,6.0,SOFT,6.0
NOR,0 days 00:02:08.271000,6.0,SOFT,7.0
NOR,,6.0,SOFT,8.0
GAS,0 days 00:01:40.042000,1.0,HARD,1.0
GAS,0 days 00:01:32.897000,1.0,HARD,2.0
GAS,0 days 00:01:20.915000,1.0,HARD,3.0
GAS,0 days 00:01:42.684000,1.0,HARD,4.0
GAS,0 days 00:01:31.976000,1.0,HARD,5.0
GAS,0 days 00:01:49.823000,1.0,HARD,6.0
GAS,,1.0,HARD,7.0
GAS,0 days 00:01:30.825000,2.0,HARD,8.0
GAS,0 days 00:01:20.108000,2.0,HARD,9.0
GAS,0 days 00:01:17.823000,2.0,HARD,10.0
GAS,0 days 00:01:17.221000,2.0,HARD,11.0
GAS,0 days 00:01:17.055000,2.0,HARD,12.0
GAS,0 days 00:01:22.745000,2.0,HARD,13.0
GAS,0 days 00:01:17.637000,2.0,HARD,14.0
GAS,0 days 00:01:18.368000,2.0,HARD,15.0
GAS,0 days 00:01:16.809000,2.0,HARD,16.0
GAS,0 days 00:01:19.297000,2.0,HARD,17.0
GAS,0 days 00:01:51.596000,2.0,HARD,18.0
GAS,0 days 00:01:32.197000,2.0,HARD,19.0
GAS,0 days 00:01:17.857000,2.0,HARD,20.0
GAS,,2.0,HARD,21.0
GAS,0 days 00:01:35.430000,3.0,SOFT,1.0
GAS,0 days 00:01:34.375000,3.0,SOFT,2.0
GAS,0 days 00:01:40.561000,3.0,SOFT,3.0
GAS,,3.0,SOFT,4.0
GAS,0 days 00:01:36.346000,4.0,SOFT,5.0
GAS,0 days 00:02:19.670000,4.0,SOFT,6.0
GAS,0 days 00:02:29.183000,4.0,SOFT,7.0
GAS,,4.0,SOFT,8.0
PER,0 days 00:01:40.057000,1.0,SOFT,1.0
PER,0 days 00:01:23.437000,1.0,SOFT,2.0
PER,0 days 00:01:44.241000,1.0,SOFT,3.0
PER,0 days 00:01:20.587000,1.0,SOFT,4.0
PER,0 days 00:01:44.593000,1.0,SOFT,5.0
PER,0 days 00:01:47.846000,1.0,SOFT,6.0
PER,,1.0,SOFT,7.0
PER,0 days 00:01:34.189000,2.0,SOFT,8.0
PER,0 days 00:01:18.700000,2.0,SOFT,9.0
PER,,2.0,SOFT,10.0
PER,0 days 00:01:32.336000,3.0,SOFT,11.0
PER,0 days 00:01:19.153000,3.0,SOFT,12.0
PER,0 days 00:01:18.485000,3.0,SOFT,13.0
PER,0 days 00:01:18.306000,3.0,SOFT,14.0
PER,0 days 00:01:18.195000,3.0,SOFT,15.0
PER,0 days 00:01:17.986000,3.0,SOFT,16.0
PER,0 days 00:01:17.926000,3.0,SOFT,17.0
PER,0 days 00:01:18.866000,3.0,SOFT,18.0
PER,0 days 00:01:17.960000,3.0,SOFT,19.0
PER,0 days 00:01:18.438000,3.0,SOFT,20.0
PER,0 days 00:01:19.218000,3.0,SOFT,21.0
PER,0 days 00:01:18.006000,3.0,SOFT,22.0
PER,,3.0,SOFT,23.0
PER,,4.0,MEDIUM,1.0
PER,0 days 00:01:32.563000,5.0,MEDIUM,2.0
PER,,5.0,MEDIUM,3.0
PER,0 days 00:02:22.839000,5.0,MEDIUM,4.0
PER,,5.0,MEDIUM,5.0
ANT,0 days 00:02:15.180000,1.0,HARD,1.0
ANT,0 days 00:01:29.301000,1.0,HARD,2.0
ANT,0 days 00:01:17.526000,1.0,HARD,3.0
ANT,0 days 00:01:30.942000,1.0,HARD,4.0
ANT,0 days 00:01:41.379000,1.0,HARD,5.0
ANT,,1.0,HARD,6.0
ANT,0 days 00:01:46.901000,2.0,HARD,7.0
ANT,0 days 00:01:16.734000,2.0,HARD,8.0
ANT,0 days 00:01:15.994000,2.0,HARD,9.0
ANT,0 days 00:01:16.386000,2.0,HARD,10.0
ANT,0 days 00:01:15.751000,2.0,HARD,11.0
ANT,0 days 00:01:15.790000,2.0,HARD,12.0
ANT,,2.0,HARD,13.0
ANT,,3.0,HARD,14.0
ANT,0 days 00:01:28.640000,3.0,HARD,15.0
ANT,0 days 00:01:22.482000,3.0,HARD,16.0
ANT,0 days 00:01:14.670000,3.0,HARD,17.0
ANT,0 days 00:01:36.102000,3.0,HARD,18.0
ANT,0 days 00:01:37.958000,3.0,HARD,19.0
ANT,0 days 00:01:14.392000,3.0,HARD,20.0
ANT,0 days 00:01:29.384000,3.0,HARD,21.0
ANT,0 days 00:01:32.169000,3.0,HARD,22.0
ANT,0 days 00:01:14.594000,3.0,HARD,23.0
ANT,,3.0,HARD,24.0
ANT,0 days 00:01:28.210000,4.0,SOFT,1.0
ANT,0 days 00:01:13.402000,4.0,SOFT,2.0
ANT,0 days 00:01:29.360000,4.0,SOFT,3.0
ANT,0 days 00:01:32.900000,4.0,SOFT,4.0
ANT,,4.0,SOFT,5.0
ANT,0 days 00:01:36.590000,5.0,SOFT,6.0
ANT,0 days 00:02:17.892000,5.0,SOFT,7.0
ANT,0 days 00:02:13.904000,5.0,SOFT,8.0
ANT,,5.0,SOFT,9.0
ALO,0 days 00:02:08.009000,1.0,HARD,1.0
ALO,0 days 00:01:47.885000,2.0,HARD,2.0
ALO,0 days 00:01:23.057000,2.0,HARD,3.0
ALO,0 days 00:01:19.237000,2.0,HARD,4.0
ALO,0 days 00:01:38.909000,2.0,HARD,5.0
ALO,0 days 00:02:00.944000,2.0,HARD,6.0
ALO,,2.0,HARD,7.0
ALO,0 days 00:01:30.883000,3.0,SOFT,1.0
ALO,0 days 00:01:16.785000,3.0,SOFT,2.0
ALO,0 days 00:01:36.883000,3.0,SOFT,3.0
ALO,0 days 00:01:30.022000,3.0,SOFT,4.0
ALO,0 days 00:01:30.798000,3.0,SOFT,5.0
ALO,,3.0,SOFT,6.0
ALO,0 days 00:01:31.089000,4.0,SOFT,7.0
ALO,0 days 00:01:16.218000,4.0,SOFT,8.0
ALO,0 days 00:01:32.596000,4.0,SOFT,9.0
ALO,0 days 00:01:16.022000,4.0,SOFT,10.0
ALO,0 days 00:01:32.864000,4.0,SOFT,11.0
