driver,driver_number,team,position,q1,q2,q3
ANT,12,Mercedes,1.0,0 days 00:01:33.305000,0 days 00:01:32.443000,0 days 00:01:32.064000
RUS,63,Mercedes,2.0,0 days 00:01:33.262000,0 days 00:01:32.523000,0 days 00:01:32.286000
HAM,44,Ferrari,3.0,0 days 00:01:33.522000,0 days 00:01:32.567000,0 days 00:01:32.415000
LEC,16,Ferrari,4.0,0 days 00:01:33.175000,0 days 00:01:32.486000,0 days 00:01:32.428000
PIA,81,McLaren,5.0,0 days 00:01:33.590000,0 days 00:01:33.130000,0 days 00:01:32.550000
NOR,1,McLaren,6.0,0 days 00:01:33.535000,0 days 00:01:32.910000,0 days 00:01:32.608000
GAS,10,Alpine,7.0,0 days 00:01:33.788000,0 days 00:01:33.003000,0 days 00:01:32.873000
VER,3,Red Bull Racing,8.0,0 days 00:01:33.417000,0 days 00:01:33.098000,0 days 00:01:33.002000
HAD,6,Red Bull Racing,9.0,0 days 00:01:33.632000,0 days 00:01:33.352000,0 days 00:01:33.121000
BEA,87,Haas F1 Team,10.0,0 days 00:01:33.687000,0 days 00:01:33.197000,0 days 00:01:33.292000
HUL,27,Audi,11.0,0 days 00:01:34.116000,0 days 00:01:33.354000,
COL,43,Alpine,12.0,0 days 00:01:33.634000,0 days 00:01:33.357000,
OCO,31,Haas F1 Team,13.0,0 days 00:01:33.974000,0 days 00:01:33.538000,
LAW,30,Racing Bulls,14.0,0 days 00:01:34.139000,0 days 00:01:33.765000,
LIN,41,Racing Bulls,15.0,0 days 00:01:33.906000,0 days 00:01:33.784000,
BOR,5,Audi,16.0,0 days 00:01:33.549000,0 days 00:01:33.965000,
SAI,55,Williams,17.0,0 days 00:01:34.317000,,
ALB,23,Williams,18.0,0 days 00:01:34.772000,,
ALO,14,Aston Martin,19.0,0 days 00:01:35.203000,,
BOT,77,Cadillac,20.0,0 days 00:01:35.436000,,
STR,18,Aston Martin,21.0,0 days 00:01:35.995000,,
PER,11,Cadillac,22.0,0 days 00:01:36.906000,,
