driver,team,position,status,grid_position,points,dnf_flag
NOR,McLaren,1.0,finished,1.0,25.0,0
VER,Red Bull Racing,2.0,finished,4.0,18.0,0
ANT,Mercedes,3.0,finished,7.0,15.0,0
LEC,Ferrari,4.0,finished,2.0,12.0,0
HAM,Ferrari,5.0,finished,5.0,10.0,0
HAD,Red Bull Racing,6.0,finished,8.0,8.0,0
RUS,Mercedes,7.0,finished,6.0,6.0,0
LAW,Racing Bulls,8.0,lapped,11.0,4.0,0
HUL,Audi,9.0,lapped,10.0,2.0,0
LIN,Racing Bulls,10.0,lapped,9.0,1.0,0
BOR,Audi,11.0,lapped,14.0,0.0,0
GAS,Alpine,12.0,lapped,12.0,0.0,0
STR,Aston Martin,13.0,lapped,20.0,0.0,0
ALO,Aston Martin,14.0,lapped,16.0,0.0,0
COL,Alpine,15.0,lapped,13.0,0.0,0
OCO,Haas F1 Team,16.0,lapped,15.0,0.0,0
ALB,Williams,17.0,lapped,19.0,0.0,0
SAI,Williams,18.0,lapped,18.0,0.0,0
BEA,Haas F1 Team,19.0,lapped,17.0,0.0,0
PIA,McLaren,,retired,3.0,0.0,1
PER,Cadillac,,retired,22.0,0.0,1
BOT,Cadillac,,retired,21.0,0.0,1
