driver,driver_number,team,position,q1,q2,q3
ANT,12,Mercedes,1.0,0 days 00:01:30.035000,0 days 00:01:29.048000,0 days 00:01:28.778000
RUS,63,Mercedes,2.0,0 days 00:01:29.967000,0 days 00:01:29.686000,0 days 00:01:29.076000
PIA,81,McLaren,3.0,0 days 00:01:30.200000,0 days 00:01:29.451000,0 days 00:01:29.132000
LEC,16,Ferrari,4.0,0 days 00:01:29.915000,0 days 00:01:29.303000,0 days 00:01:29.405000
NOR,1,McLaren,5.0,0 days 00:01:30.401000,0 days 00:01:29.795000,0 days 00:01:29.409000
HAM,44,Ferrari,6.0,0 days 00:01:30.309000,0 days 00:01:29.589000,0 days 00:01:29.567000
GAS,10,Alpine,7.0,0 days 00:01:30.584000,0 days 00:01:29.874000,0 days 00:01:29.691000
HAD,6,Red Bull Racing,8.0,0 days 00:01:30.662000,0 days 00:01:30.104000,0 days 00:01:29.978000
BOR,5,Audi,9.0,0 days 00:01:30.359000,0 days 00:01:29.990000,0 days 00:01:30.274000
LIN,41,Racing Bulls,10.0,0 days 00:01:30.781000,0 days 00:01:30.109000,0 days 00:01:30.319000
VER,3,Red Bull Racing,11.0,0 days 00:01:30.519000,0 days 00:01:30.262000,
OCO,31,Haas F1 Team,12.0,0 days 00:01:30.915000,0 days 00:01:30.309000,
HUL,27,Audi,13.0,0 days 00:01:30.358000,0 days 00:01:30.387000,
LAW,30,Racing Bulls,14.0,0 days 00:01:30.657000,0 days 00:01:30.495000,
COL,43,Alpine,15.0,0 days 00:01:30.931000,0 days 00:01:30.627000,
SAI,55,Williams,16.0,0 days 00:01:30.927000,0 days 00:01:31.033000,
ALB,23,Williams,17.0,0 days 00:01:31.088000,,
BEA,87,Haas F1 Team,18.0,0 days 00:01:31.090000,,
PER,11,Cadillac,19.0,0 days 00:01:32.206000,,
BOT,77,Cadillac,20.0,0 days 00:01:32.330000,,
ALO,14,Aston Martin,21.0,0 days 00:01:32.646000,,
STR,18,Aston Martin,22.0,0 days 00:01:32.920000,,
