driver,team,position,status,grid_position,points,dnf_flag
ANT,Mercedes,1.0,finished,1.0,25.0,0
PIA,McLaren,2.0,finished,3.0,18.0,0
LEC,Ferrari,3.0,finished,4.0,15.0,0
RUS,Mercedes,4.0,finished,2.0,12.0,0
NOR,McLaren,5.0,finished,5.0,10.0,0
HAM,Ferrari,6.0,finished,6.0,8.0,0
GAS,Alpine,7.0,finished,7.0,6.0,0
VER,Red Bull Racing,8.0,finished,11.0,4.0,0
LAW,Racing Bulls,9.0,finished,14.0,2.0,0
OCO,Haas F1 Team,10.0,finished,12.0,1.0,0
HUL,Audi,11.0,finished,13.0,0.0,0
HAD,Red Bull Racing,12.0,finished,8.0,0.0,0
BOR,Audi,13.0,finished,9.0,0.0,0
LIN,Racing Bulls,14.0,finished,10.0,0.0,0
SAI,Williams,15.0,finished,16.0,0.0,0
COL,Alpine,16.0,finished,15.0,0.0,0
PER,Cadillac,17.0,finished,19.0,0.0,0
ALO,Aston Martin,18.0,lapped,21.0,0.0,0
BOT,Cadillac,19.0,lapped,20.0,0.0,0
ALB,Williams,20.0,lapped,17.0,0.0,0
STR,Aston Martin,,retired,22.0,0.0,1
BEA,Haas F1 Team,,retired,18.0,0.0,1
