driver,LapTime,Stint,Compound,TyreLife
NOR,,1.0,HARD,1.0
NOR,0 days 00:01:31.941000,1.0,HARD,2.0
NOR,,1.0,HARD,3.0
NOR,0 days 00:01:30.688000,1.0,HARD,4.0
NOR,,1.0,HARD,5.0
NOR,0 days 00:01:30.849000,1.0,HARD,6.0
NOR,,1.0,HARD,7.0
NOR,0 days 00:01:30.335000,1.0,HARD,8.0
NOR,0 days 00:01:55.264000,1.0,HARD,9.0
NOR,,2.0,HARD,10.0
NOR,0 days 00:01:58.827000,2.0,HARD,11.0
NOR,0 days 00:02:05.500000,2.0,HARD,12.0
NOR,0 days 00:01:30.208000,2.0,HARD,13.0
NOR,0 days 00:02:15.248000,2.0,HARD,14.0
NOR,0 days 00:01:32.427000,2.0,HARD,15.0
NOR,0 days 00:02:04.252000,2.0,HARD,16.0
NOR,,3.0,HARD,17.0
NOR,0 days 00:01:33.245000,3.0,HARD,18.0
NOR,0 days 00:01:34.260000,3.0,HARD,19.0
NOR,0 days 00:01:34.628000,3.0,HARD,20.0
NOR,0 days 00:01:34.900000,3.0,HARD,21.0
NOR,0 days 00:01:34.117000,3.0,HARD,22.0
NOR,0 days 00:01:34.125000,3.0,HARD,23.0
NOR,0 days 00:01:34.397000,3.0,HARD,24.0
NOR,0 days 00:01:34.691000,3.0,HARD,25.0
NOR,0 days 00:01:43.089000,3.0,HARD,26.0
NOR,,4.0,SOFT,1.0
NOR,0 days 00:01:34.439000,4.0,SOFT,2.0
NOR,0 days 00:02:12.720000,4.0,SOFT,3.0
NOR,0 days 00:02:05.686000,4.0,SOFT,4.0
NOR,0 days 00:02:11.048000,4.0,SOFT,5.0
NOR,0 days 00:01:30.309000,4.0,SOFT,6.0
NOR,0 days 00:02:18.942000,4.0,SOFT,7.0
NOR,,4.0,SOFT,8.0
NOR,,4.0,SOFT,9.0
VER,,1.0,HARD,1.0
VER,0 days 00:01:32.022000,1.0,HARD,2.0
VER,0 days 00:02:21.467000,1.0,HARD,3.0
VER,0 days 00:01:31.709000,1.0,HARD,4.0
VER,0 days 00:02:23.408000,1.0,HARD,5.0
VER,0 days 00:01:31.047000,1.0,HARD,6.0
VER,0 days 00:01:47.762000,1.0,HARD,7.0
VER,,2.0,MEDIUM,1.0
VER,0 days 00:01:30.465000,2.0,MEDIUM,2.0
VER,0 days 00:02:06.682000,2.0,MEDIUM,3.0
VER,0 days 00:02:11.156000,3.0,MEDIUM,4.0
VER,0 days 00:01:30.561000,3.0,MEDIUM,5.0
VER,0 days 00:01:52.234000,3.0,MEDIUM,6.0
VER,,4.0,MEDIUM,7.0
VER,0 days 00:01:33.256000,4.0,MEDIUM,8.0
VER,0 days 00:01:33.189000,4.0,MEDIUM,9.0
VER,0 days 00:01:34.415000,4.0,MEDIUM,10.0
VER,0 days 00:01:33.572000,4.0,MEDIUM,11.0
VER,0 days 00:01:33.648000,4.0,MEDIUM,12.0
VER,0 days 00:01:33.928000,4.0,MEDIUM,13.0
VER,0 days 00:01:33.905000,4.0,MEDIUM,14.0
VER,0 days 00:01:33.836000,4.0,MEDIUM,15.0
VER,0 days 00:01:33.748000,4.0,MEDIUM,16.0
