driver,team,position,status,grid_position,points,dnf_flag
ANT,Mercedes,1.0,finished,1.0,25.0,0
NOR,McLaren,2.0,finished,4.0,18.0,0
PIA,McLaren,3.0,finished,7.0,15.0,0
RUS,Mercedes,4.0,finished,5.0,12.0,0
VER,Red Bull Racing,5.0,finished,2.0,10.0,0
HAM,Ferrari,6.0,finished,6.0,8.0,0
COL,Alpine,7.0,finished,8.0,6.0,0
LEC,Ferrari,8.0,finished,3.0,4.0,0
SAI,Williams,9.0,finished,13.0,2.0,0
ALB,Williams,10.0,finished,15.0,1.0,0
BEA,Haas F1 Team,11.0,lapped,12.0,0.0,0
BOR,Audi,12.0,lapped,21.0,0.0,0
OCO,Haas F1 Team,13.0,lapped,14.0,0.0,0
LIN,Racing Bulls,14.0,lapped,16.0,0.0,0
ALO,Aston Martin,15.0,lapped,17.0,0.0,0
PER,Cadillac,16.0,lapped,20.0,0.0,0
STR,Aston Martin,17.0,lapped,18.0,0.0,0
BOT,Cadillac,18.0,lapped,19.0,0.0,0
HUL,Audi,,retired,10.0,0.0,1
LAW,Racing Bulls,,retired,11.0,0.0,1
GAS,Alpine,,retired,9.0,0.0,1
HAD,Red Bull Racing,,retired,22.0,0.0,1
