driver,team,position,status,dnf_flag
ANT,Mercedes,1.0,finished,0
HAM,Ferrari,2.0,finished,0
VER,Red Bull Racing,3.0,finished,0
LEC,Ferrari,4.0,finished,0
HAD,Red Bull Racing,5.0,lapped,0
COL,Alpine,6.0,lapped,0
LAW,Racing Bulls,7.0,lapped,0
GAS,Alpine,8.0,lapped,0
SAI,Williams,9.0,lapped,0
BEA,Haas F1 Team,10.0,lapped,0
PIA,McLaren,11.0,lapped,0
HUL,Audi,12.0,lapped,0
BOR,Audi,13.0,lapped,0
OCO,Haas F1 Team,14.0,lapped,0
STR,Aston Martin,15.0,lapped,0
BOT,Cadillac,16.0,lapped,0
PER,Cadillac,,retired,1
NOR,McLaren,,retired,1
RUS,Mercedes,,retired,1
ALO,Aston Martin,,retired,1
ALB,Williams,,retired,1
LIN,Racing Bulls,,did not start,1
