driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,points_per_race_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,reliability_contrib,constructor_position_contrib,rain_x_quali_contrib,temperature_vs_baseline_contrib,humidity_contrib,wet_track_flag_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,overtaking_difficulty_contrib,wind_speed_vs_baseline_contrib,form_x_quali_contrib,pace_consistency_contrib,track_type_contrib,temperature_contrib,wind_speed_contrib,humidity_vs_baseline_contrib,rain_probability_vs_baseline_contrib,rain_probability_contrib,teammate_gap_contrib,top_features
RUS,0.4691141923812729,1,2026,Australian Grand Prix,1.0,1.4848280053669527,3,1.0824085593431203,0.1419090308802012,,,,0,0.5,1.0,1,0.0526315789473684,0.8,0.0569688715443747,0.153603549672817,0.0,0.1162691296857401,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,-2.5083,-3.4891,0.0,-0.0456,-1.1095,0.0,0.4479,0.0,0.0194,2.5274,-21.6124,-0.2143,-0.2151,0.0248,-0.0851,0.5819,-0.0,-0.0101,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0001,"humidity_contrib (-21.61), quali_stage_contrib (-3.49), temperature_vs_baseline_contrib (2.53)"
ANT,0.3862517894846362,2,2026,Australian Grand Prix,2.0,1.2522897459954725,3,1.1402127394874346,0.1889240752852135,,,,0,0.5,1.0,1,0.1052631578947368,0.8,0.1200223936302562,0.2154136374360837,0.0,-0.1162691296857403,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,-5.0167,-3.4891,0.0,-0.0961,-0.9357,0.0,0.4479,0.0,0.0387,2.5274,-21.6124,-0.2143,-0.2266,0.033,-0.0851,0.5819,-0.0,-0.0141,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0001,"humidity_contrib (-21.61), qualifying_position_contrib (-5.02), quali_stage_contrib (-3.49)"
HAD,0.2738812298812589,3,2026,Australian Grand Prix,3.0,0.8618159452761429,3,1.2320007139998057,0.2572183444038476,,,,0,0.5,1.0,1,0.1578947368421052,0.8,0.194526428526285,0.3168931839593881,0.0,0.4309079726380714,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-7.525,-3.4891,0.0,-0.1558,-0.644,0.0,0.4479,0.0,0.0581,2.5274,-21.6124,-0.2143,-0.2448,0.0449,-0.0851,0.5819,-0.0,-0.0208,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0002,"humidity_contrib (-21.61), qualifying_position_contrib (-7.53), quali_stage_contrib (-3.49)"
VER,0.2708640839412345,4,2026,Australian Grand Prix,10.0,0.0,1,1.2435531226673302,0.2199298230657789,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6545016435091211,0.2734944182411228,0.0,-0.4309079726380714,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-1.163,0.0,-0.524,-0.0,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2471,0.0384,-0.0851,0.5819,-0.0,-0.018,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0002,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
SAI,0.2511188901622069,5,2026,Australian Grand Prix,10.0,0.0,1,1.2462967570705816,0.2141923513954861,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6559456616160956,0.2669472329335168,0.0,0.2190880492910712,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-1.163,0.0,-0.5252,-0.0,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2476,0.0374,-0.0851,0.5819,-0.0,-0.0175,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0001,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
LEC,0.1936638744979271,6,2026,Australian Grand Prix,4.0,0.8427684428020281,3,1.2680321106323909,0.2151879580190858,,,,0,0.5,1.0,1,0.2105263157894736,0.8,0.2669541285541875,0.2728652405896157,0.0,0.0599202681998154,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,-10.0333,-3.4891,0.0,-0.2137,-0.6297,0.0,0.4479,0.0,0.0775,2.5274,-21.6124,-0.2143,-0.252,0.0376,-0.0851,0.5819,-0.0,-0.0179,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0,"humidity_contrib (-21.61), qualifying_position_contrib (-10.03), quali_stage_contrib (-3.49)"
STR,0.1797687694950408,7,2026,Australian Grand Prix,10.0,0.0,1,1.4080652614367468,0.3328558561084412,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.7410869797035509,0.4686827680520845,0.0,0.6270220606116763,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-1.163,0.0,-0.5934,-0.0,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2798,0.0582,-0.0851,0.5819,-0.0,-0.0308,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0003,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
PIA,0.1561218783507397,8,2026,Australian Grand Prix,5.0,0.8007052081716952,3,1.226876503276105,0.2346827728594654,,,,0,0.5,1.0,1,0.2631578947368421,0.8,0.3228622377042381,0.2879267797449613,0.0,0.0376981819800168,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-12.5416,-3.4891,0.0,-0.2585,-0.5983,0.0,0.4479,0.0,0.0968,2.5274,-21.6124,-0.2143,-0.2438,0.041,-0.0851,0.5819,-0.0,-0.0189,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0,"humidity_contrib (-21.61), qualifying_position_contrib (-12.54), quali_stage_contrib (-3.49)"
NOR,0.1308136563584861,9,2026,Australian Grand Prix,6.0,0.7253088442116614,3,1.146542672306544,0.1535915219425757,,,,0,0.5,1.0,1,0.3157894736842105,0.8,0.3620661070441717,0.1760992340116699,0.0,-0.0376981819800169,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-15.05,-3.4891,0.0,-0.2899,-0.542,0.0,0.4479,0.0,0.1162,2.5274,-21.6124,-0.2143,-0.2278,0.0268,-0.0851,0.5819,-0.0,-0.0116,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0,"humidity_contrib (-21.61), qualifying_position_contrib (-15.05), quali_stage_contrib (-3.49)"
BOR,0.0988886462316827,10,2026,Australian Grand Prix,10.0,0.1332489756412769,2,1.2053975758006612,0.2131460070206315,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6344197767371901,0.25692568015426,0.0,0.0325394833932755,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-2.3261,0.0,-0.508,-0.0996,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2395,0.0372,-0.0851,0.5819,-0.0,-0.0169,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
