driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,points_per_race_contrib,avg_finish_last5_contrib,fp_consistency_contrib,temperature_vs_baseline_contrib,constructor_position_contrib,overtaking_difficulty_contrib,humidity_contrib,form_x_quali_contrib,reliability_contrib,rain_probability_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,wet_track_flag_contrib,track_type_contrib,wind_speed_vs_baseline_contrib,rain_x_quali_contrib,temperature_contrib,humidity_vs_baseline_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,teammate_gap_contrib,top_features
RUS,0.9186355118401488,1,2026,Canadian Grand Prix,1.0,1.2022873592579286,3,1.170328699093792,0.1675369280054928,0.8939393939393939,1,40.0,1,0.55,0.0,0,0.0,1.0,0.0531967590497178,0.1960732750028387,0.040633608815427,0.0297794941794398,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-2.5883,-3.3127,-0.0391,-0.7465,23.5152,0.4274,0.038,-1.365,0.2012,-0.1031,-4.5075,0.0069,0.1472,0.0,-0.1456,-0.0231,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0001,"points_per_race_contrib (23.52), humidity_contrib (-4.51), quali_stage_contrib (-3.31)"
ANT,0.8880956513892623,2,2026,Canadian Grand Prix,2.0,1.1427283708990488,3,1.1913106439682368,0.205548904100009,0.9393939393939394,1,40.0,1,0.55,0.0,0,0.0,1.0,0.108300967633476,0.2448725973103471,0.0853994490358126,-0.02977949417944,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,-5.1766,-3.3127,-0.0796,-0.7095,23.5152,0.4491,0.0466,-1.365,0.2012,-0.1031,-4.5075,0.0144,0.1472,0.0,-0.1482,-0.0289,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0001,"points_per_race_contrib (23.52), qualifying_position_contrib (-5.18), humidity_contrib (-4.51)"
NOR,0.4657227521455954,3,2026,Canadian Grand Prix,3.0,1.07003137040218,3,1.1433472932303563,0.1121078290321542,0.7727272727272727,3,17.75,1,0.55,0.0,0,0.0,0.8153846153846154,0.1559109945314122,0.1281781828738451,0.1053719008264462,0.0227725543725163,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-7.7649,-3.3127,-0.1146,-0.6644,10.4349,0.3694,0.0254,-1.365,0.6035,-0.1031,-4.5075,0.0178,0.12,0.0,-0.1423,-0.0151,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0,"points_per_race_contrib (10.43), qualifying_position_contrib (-7.76), humidity_contrib (-4.51)"
PIA,0.4198193275999624,4,2026,Canadian Grand Prix,4.0,1.024486261657147,3,1.1449236738097828,0.1922511492481303,0.9090909090909092,3,17.75,1,0.55,0.0,0,0.0,0.6923076923076923,0.2081679406926878,0.2201128920913222,0.1652892561983471,-0.0227725543725165,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-10.3532,-3.3127,-0.153,-0.6361,10.4349,0.4346,0.0436,-1.365,0.6035,-0.1031,-4.5075,0.0279,0.1019,0.0,-0.1425,-0.026,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0,"points_per_race_contrib (10.43), qualifying_position_contrib (-10.35), humidity_contrib (-4.51)"
HAM,0.3528741108741722,5,2026,Canadian Grand Prix,5.0,0.9482857912568228,3,1.1566596187316438,0.1394065741010995,0.8030303030303031,2,22.25,1,0.55,0.0,0,0.0,1.0,0.2628771860753736,0.1612459548484625,0.1825068870523416,0.0472968436967606,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,-12.9415,-3.3127,-0.1932,-0.5888,13.0803,0.3839,0.0316,-1.365,0.4023,-0.1031,-4.5075,0.0308,0.1472,0.0,-0.1439,-0.019,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0001,"points_per_race_contrib (13.08), qualifying_position_contrib (-12.94), humidity_contrib (-4.51)"
LEC,0.131534678736774,6,2026,Canadian Grand Prix,8.0,0.8536921038633014,3,1.1803716142717284,0.1554283340700911,0.8484848484848485,2,22.25,1,0.55,0.0,0,0.0,1.0,0.4292260415533558,0.1834631935898789,0.3085399449035813,-0.0472968436967606,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-20.7064,-3.3127,-0.3154,-0.53,13.0803,0.4056,0.0352,-1.365,0.4023,-0.1031,-4.5075,0.0521,0.1472,0.0,-0.1469,-0.0216,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0001,"qualifying_position_contrib (-20.71), points_per_race_contrib (13.08), humidity_contrib (-4.51)"
VER,0.0921904484737981,7,2026,Canadian Grand Prix,6.0,0.9141269596980512,3,1.1266345388653838,0.18065102762255,0.6818181818181819,5,4.5,1,0.55,0.0,0,0.0,0.8153846153846154,0.3072639651451046,0.2035276872010893,0.1859504132231405,0.0122621446621252,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,-15.5298,-3.3127,-0.2258,-0.5676,2.6455,0.326,0.041,-1.365,1.0059,-0.1031,-4.5075,0.0314,0.12,0.0,-0.1402,-0.024,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0,"qualifying_position_contrib (-15.53), humidity_contrib (-4.51), quali_stage_contrib (-3.31)"
HAD,0.0359532803185005,8,2026,Canadian Grand Prix,7.0,0.8896026703738007,3,1.1441273251386923,0.1551593161826627,0.5454545454545454,5,4.5,1,0.55,0.0,0,0.0,0.4615384615384615,0.3640405125441294,0.1775220133944186,0.1735537190082644,-0.0122621446621252,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-18.1181,-3.3127,-0.2675,-0.5523,2.6455,0.2608,0.0352,-1.365,1.0059,-0.1031,-4.5075,0.0293,0.0679,0.0,-0.1424,-0.0209,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0,"qualifying_position_contrib (-18.12), humidity_contrib (-4.51), quali_stage_contrib (-3.31)"
HUL,0.0258049758433568,9,2026,Canadian Grand Prix,11.0,0.0566527008253299,2,1.148929309567839,0.112693305964861,0.5,11,0.5,1,0.55,0.0,0,0.0,0.4615384615384615,0.5744646547839195,0.129476642215125,0.25,0.0810177415175973,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-28.4713,-2.2085,-0.4221,-0.0352,0.2939,0.239,0.0255,-1.365,2.2129,-0.1031,-4.5075,0.0422,0.0679,0.0,-0.143,-0.0153,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0001,"qualifying_position_contrib (-28.47), humidity_contrib (-4.51), constructor_position_contrib (2.21)"
LIN,0.0186245525257363,10,2026,Canadian Grand Prix,9.0,0.5874283912000642,3,1.1590573573060248,0.1370861613411154,0.4848484848484848,7,2.0,1,0.55,0.0,0,0.0,1.0,0.4741598279888283,0.1588907238872606,0.1983471074380165,0.2702051163046339,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-23.2947,-3.3127,-0.3484,-0.3647,1.1758,0.2318,0.0311,-1.365,1.4082,-0.1031,-4.5075,0.0335,0.1472,0.0,-0.1442,-0.0187,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0005,"qualifying_position_contrib (-23.29), humidity_contrib (-4.51), quali_stage_contrib (-3.31)"
