driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,quali_x_pace_contrib,points_per_race_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,reliability_contrib,constructor_position_contrib,humidity_contrib,temperature_vs_baseline_contrib,fp_consistency_contrib,overtaking_difficulty_contrib,fp_long_run_pace_contrib,form_x_quali_contrib,rain_x_quali_contrib,wet_track_flag_contrib,wind_speed_vs_baseline_contrib,pace_consistency_contrib,temperature_contrib,rain_probability_contrib,track_type_contrib,humidity_vs_baseline_contrib,rain_probability_vs_baseline_contrib,teammate_gap_contrib,wind_speed_contrib,top_features
ANT,0.8368572545632,1,2026,Chinese Grand Prix,1.0,1.257488141111288,3,1.130025849114494,0.1673772088386838,,1.0,43.0,0,0.5,0.75,1,0.034090909090909,1.0,0.051364811323386,0.1891405725403477,0.0,0.0862023423236075,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,-2.6138,-3.445,-0.0452,30.4451,-0.8363,0.0,0.5378,0.5363,-19.4568,-1.3857,0.0404,-0.0886,-0.1828,0.0,0.0048,-0.1373,-0.5653,-0.022,1.9135,0.0466,0.0,0.0724,0.0154,-0.0007,0.0394,"points_per_race_contrib (30.45), humidity_contrib (-19.46), quali_stage_contrib (-3.44)"
RUS,0.786702159913898,2,2026,Chinese Grand Prix,2.0,1.0850834564640732,3,1.1042539874232438,0.1219824643568785,,1.0,43.0,0,0.5,0.75,1,0.0681818181818181,1.0,0.1003867261293858,0.1346996226617968,0.0,-0.0862023423236073,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,-5.2277,-3.445,-0.0884,30.4451,-0.7216,0.0,0.5378,0.5363,-19.4568,-1.3857,0.0294,-0.0886,-0.1786,0.0,0.0097,-0.1373,-0.5653,-0.0156,1.9135,0.0466,0.0,0.0724,0.0154,0.0007,0.0394,"points_per_race_contrib (30.45), humidity_contrib (-19.46), qualifying_position_contrib (-5.23)"
HAM,0.4369815922994127,3,2026,Chinese Grand Prix,3.0,0.9849023559258268,3,1.2329290920205405,0.2008500977943447,,2.0,27.0,0,0.5,0.75,1,0.1022727272727272,1.0,0.1681266943664373,0.2476339287058182,0.0,0.0050478849108381,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,-7.8415,-3.445,-0.1481,19.1167,-0.655,0.0,0.5378,1.0726,-19.4568,-1.3857,0.0485,-0.0886,-0.1994,0.0,0.0145,-0.1373,-0.5653,-0.0288,1.9135,0.0466,0.0,0.0724,0.0154,-0.0,0.0394,"humidity_contrib (-19.46), points_per_race_contrib (19.12), qualifying_position_contrib (-7.84)"
LEC,0.3356512763447535,4,2026,Chinese Grand Prix,4.0,0.9748065861041504,3,1.2316317691718002,0.1957344719808411,,2.0,27.0,0,0.5,0.75,1,0.1363636363636363,1.0,0.2239330489403273,0.2410727940136715,0.0,-0.0050478849108381,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-10.4554,-3.445,-0.1973,19.1167,-0.6483,0.0,0.5378,1.0726,-19.4568,-1.3857,0.0472,-0.0886,-0.1992,0.0,0.0193,-0.1373,-0.5653,-0.028,1.9135,0.0466,0.0,0.0724,0.0154,0.0,0.0394,"humidity_contrib (-19.46), points_per_race_contrib (19.12), qualifying_position_contrib (-10.46)"
NOR,0.0760173136824242,5,2026,Chinese Grand Prix,6.0,0.83501900395776,3,1.1641997606236725,0.1442154695226525,,3.0,10.0,0,0.5,0.75,1,0.2045454545454545,1.0,0.3175090256246379,0.1678956150965025,0.0,-0.0225213326791425,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-15.6831,-3.445,-0.2797,7.0802,-0.5553,0.0,0.5378,1.6089,-19.4568,-1.3857,0.0348,-0.0886,-0.1883,0.0,0.029,-0.1373,-0.5653,-0.0195,1.9135,0.0466,0.0,0.0724,0.0154,0.0002,0.0394,"humidity_contrib (-19.46), qualifying_position_contrib (-15.68), points_per_race_contrib (7.08)"
GAS,0.0729455254013721,6,2026,Chinese Grand Prix,7.0,0.629220619131137,3,1.1899324938459226,0.1910361758961819,,,,0,0.5,0.75,1,0.2386363636363636,1.0,0.3786148844055208,0.2273201531989321,0.0,0.1879366382190267,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-18.2969,-3.445,-0.3335,0.0,-0.4185,0.0,0.5378,0.0,-19.4568,-1.3857,0.0461,-0.0886,-0.1925,0.0,0.0338,-0.1373,-0.5653,-0.0264,1.9135,0.0466,0.0,0.0724,0.0154,-0.0015,0.0394,"humidity_contrib (-19.46), qualifying_position_contrib (-18.30), quali_stage_contrib (-3.44)"
VER,0.0497807458482333,7,2026,Chinese Grand Prix,8.0,0.5290395185929017,3,1.202677605476799,0.1825734164359272,,,,0,0.5,0.75,1,0.2727272727272727,1.0,0.4373373110824723,0.2195769593028794,0.0,0.046207561876166,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-20.9108,-3.445,-0.3852,0.0,-0.3518,0.0,0.5378,0.0,-19.4568,-1.3857,0.0441,-0.0886,-0.1945,0.0,0.0387,-0.1373,-0.5653,-0.0255,1.9135,0.0466,0.0,0.0724,0.0154,-0.0004,0.0394,"qualifying_position_contrib (-20.91), humidity_contrib (-19.46), quali_stage_contrib (-3.44)"
PIA,0.034343847213847,8,2026,Chinese Grand Prix,5.0,0.880061669316045,3,1.1659085993440303,0.1739556957886851,,3.0,10.0,0,0.5,0.75,1,0.1704545454545454,0.0,0.2649792271236432,0.2028164416249021,0.0,0.0225213326791424,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-13.0692,-3.445,-0.2334,7.0802,-0.5853,0.0,0.0,1.6089,-19.4568,-1.3857,0.042,-0.0886,-0.1886,0.0,0.0242,-0.1373,-0.5653,-0.0236,1.9135,0.0466,0.0,0.0724,0.0154,-0.0002,0.0394,"humidity_contrib (-19.46), qualifying_position_contrib (-13.07), points_per_race_contrib (7.08)"
COL,0.0307830651661616,9,2026,Chinese Grand Prix,12.0,0.2533473426930835,2,1.1923354390440146,0.1866616968136881,,,,0,0.5,0.75,1,0.409090909090909,1.0,0.6503647849330988,0.2225633562230496,0.0,-0.1879366382190267,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-31.3661,-2.2966,-0.5729,0.0,-0.1685,0.0,0.5378,0.0,-19.4568,-1.3857,0.0451,-0.0886,-0.1929,0.0,0.058,-0.1373,-0.5653,-0.0259,1.9135,0.0466,0.0,0.0724,0.0154,0.0015,0.0394,"qualifying_position_contrib (-31.37), humidity_contrib (-19.46), quali_stage_contrib (-2.30)"
BEA,0.0165467893262008,10,2026,Chinese Grand Prix,10.0,0.3038261918014986,3,1.1864028905898198,0.196136079513007,,5.0,6.0,0,0.5,0.75,1,0.3409090909090909,1.0,0.5392740411771908,0.2326964116831862,0.0,0.0955215144666945,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-26.1385,-3.445,-0.475,4.2481,-0.2021,0.0,0.5378,2.6815,-19.4568,-1.3857,0.0473,-0.0886,-0.1919,0.0,0.0484,-0.1373,-0.5653,-0.027,1.9135,0.0466,0.0,0.0724,0.0154,-0.0008,0.0394,"qualifying_position_contrib (-26.14), humidity_contrib (-19.46), points_per_race_contrib (4.25)"
