driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,constructor_position_contrib,reliability_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,temperature_vs_baseline_contrib,overtaking_difficulty_contrib,wind_speed_vs_baseline_contrib,wet_track_flag_contrib,humidity_contrib,form_x_quali_contrib,track_type_contrib,pace_consistency_contrib,rain_probability_contrib,humidity_vs_baseline_contrib,teammate_gap_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,rain_x_quali_contrib,temperature_contrib,top_features
ANT,0.9146870495239464,1,2026,Miami Grand Prix,1.0,1.1750369921014443,3,1.0642761168962045,0.0694669014793105,0.931818181818182,1,41.0,1,0.55,0.82,1,0.0372727272727272,1.0,0.0483761871316456,0.0739319641592118,0.0423553719008264,0.1308013938909722,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,-2.7254,-3.7104,-0.0392,-0.838,0.5726,22.7667,0.3457,0.2723,-0.2363,0.0149,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0036,0.069,-0.0041,0.0374,0.6848,-0.0034,0.0119,-0.1964,0.0002,0.1033,"points_per_race_contrib (22.77), humidity_contrib (-11.75), quali_stage_contrib (-3.71)"
RUS,0.6280983110851068,2,2026,Miami Grand Prix,5.0,0.9134342043194996,3,1.1227594564866592,0.1606938570885662,0.931818181818182,1,41.0,1,0.55,0.82,1,0.1863636363636363,1.0,0.255172603746968,0.1804205476455035,0.2117768595041322,-0.1308013938909723,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-13.6268,-3.7104,-0.2067,-0.6515,0.5726,22.7667,0.3457,0.2723,-0.2493,0.0344,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0182,0.069,-0.0101,0.0374,0.6848,0.0034,0.0119,-0.1964,0.0012,0.1033,"points_per_race_contrib (22.77), qualifying_position_contrib (-13.63), humidity_contrib (-11.75)"
LEC,0.5292492081258692,3,2026,Miami Grand Prix,3.0,0.9488390928914936,3,1.215396830243992,0.2315552093023496,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.1118181818181818,1.0,0.1657359313969079,0.2814314674125598,0.1146694214876033,0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-8.1761,-3.7104,-0.1342,-0.6767,0.5167,14.2523,0.6913,0.2723,-0.2699,0.0496,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0099,0.069,-0.0158,0.0374,0.6848,-0.0015,0.0119,-0.1964,0.0007,0.1033,"points_per_race_contrib (14.25), humidity_contrib (-11.75), qualifying_position_contrib (-8.18)"
VER,0.2992142839740073,4,2026,Miami Grand Prix,2.0,1.066199742046803,3,1.170044041354085,0.2023950542214063,0.7272727272727273,8,2.6666666666666665,1,0.55,0.82,1,0.0745454545454545,0.6842105263157894,0.1063676401230986,0.2368111271912934,0.0661157024793388,0.270454009924943,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-5.4507,-3.7104,-0.0861,-0.7604,0.4469,1.4808,2.7652,0.1863,-0.2598,0.0433,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0057,0.069,-0.0133,0.0374,0.6848,-0.007,0.0119,-0.1964,0.0005,0.1033,"humidity_contrib (-11.75), qualifying_position_contrib (-5.45), quali_stage_contrib (-3.71)"
HAM,0.257510387049434,5,2026,Miami Grand Prix,6.0,0.8334453819901836,3,1.1312480338681212,0.1823027504695542,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.2236363636363636,1.0,0.3085221910549421,0.2062296280374339,0.2293388429752066,-0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-16.3522,-3.7104,-0.2499,-0.5944,0.5167,14.2523,0.6913,0.2723,-0.2512,0.039,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0197,0.069,-0.0115,0.0374,0.6848,0.0015,0.0119,-0.1964,0.0014,0.1033,"qualifying_position_contrib (-16.35), points_per_race_contrib (14.25), humidity_contrib (-11.75)"
NOR,0.1853121857995975,6,2026,Miami Grand Prix,4.0,0.9226132495048284,3,1.178322265574533,0.1932230451346923,0.7727272727272727,3,12.666666666666666,1,0.55,0.82,1,0.149090909090909,0.6842105263157894,0.2142404119226423,0.2276790163043208,0.140495867768595,0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,-10.9014,-3.7104,-0.1735,-0.658,0.4748,7.0336,1.037,0.1863,-0.2617,0.0413,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0121,0.069,-0.0127,0.0374,0.6848,-0.0027,0.0119,-0.1964,0.0009,0.1033,"humidity_contrib (-11.75), qualifying_position_contrib (-10.90), points_per_race_contrib (7.03)"
PIA,0.0279896657215421,7,2026,Miami Grand Prix,7.0,0.7147734406655439,3,1.229869140110019,0.222662119451784,0.5977272727272727,3,12.666666666666666,1,0.55,0.82,1,0.2609090909090908,0.4736842105263158,0.3913219991259151,0.27384526938524,0.1901859504132231,-0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,-19.0775,-3.7104,-0.3169,-0.5098,0.3673,7.0336,1.037,0.129,-0.2731,0.0476,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0164,0.069,-0.0153,0.0374,0.6848,0.0027,0.0119,-0.1964,0.0016,0.1033,"qualifying_position_contrib (-19.08), humidity_contrib (-11.75), points_per_race_contrib (7.03)"
HUL,0.0270611213193425,8,2026,Miami Grand Prix,10.0,0.0991217671636802,2,1.1979005710446755,0.2219020373630205,0.5,10,0.6666666666666666,1,0.55,0.82,1,0.3727272727272727,0.7894736842105263,0.5445002595657616,0.2658165772731392,0.2272727272727272,1.408983435948366,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-27.2536,-2.4736,-0.441,-0.0707,0.3073,0.3702,3.4565,0.215,-0.266,0.0475,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0196,0.069,-0.0149,0.0374,0.6848,-0.0363,0.0119,-0.1964,0.0024,0.1033,"qualifying_position_contrib (-27.25), humidity_contrib (-11.75), constructor_position_contrib (3.46)"
COL,0.0226042680900428,9,2026,Miami Grand Prix,8.0,0.5429941664829138,3,1.1027308127744808,0.1274605654377139,0.4545454545454545,5,5.0,1,0.55,0.82,1,0.2981818181818181,1.0,0.4009930228270839,0.1405546929218252,0.1652892561983471,0.0157355060319972,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-21.8029,-3.7104,-0.3248,-0.3873,0.2793,2.7764,1.7283,0.2723,-0.2449,0.0273,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0142,0.069,-0.0079,0.0374,0.6848,-0.0004,0.0119,-0.1964,0.0019,0.1033,"qualifying_position_contrib (-21.80), humidity_contrib (-11.75), quali_stage_contrib (-3.71)"
LAW,0.0197996281389298,10,2026,Miami Grand Prix,11.0,0.0597830020836871,2,1.205581681782555,0.1997099859567448,0.5454545454545454,6,2.6666666666666665,1,0.55,0.82,1,0.41,1.0,0.6027908408912775,0.2407667007385029,0.2727272727272727,0.207839808839289,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-29.9789,-2.4736,-0.4882,-0.0426,0.3352,1.4808,2.0739,0.2723,-0.2677,0.0427,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0235,0.069,-0.0135,0.0374,0.6848,-0.0054,0.0119,-0.1964,0.0026,0.1033,"qualifying_position_contrib (-29.98), humidity_contrib (-11.75), quali_stage_contrib (-2.47)"
