driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,gap_to_pole_norm_contrib,quali_x_pace_contrib,avg_finish_last5_contrib,form_x_quali_contrib,points_per_race_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,fp_consistency_contrib,rain_x_quali_contrib,reliability_contrib,temperature_vs_baseline_contrib,humidity_contrib,temperature_contrib,wind_speed_vs_baseline_contrib,humidity_vs_baseline_contrib,wind_speed_contrib,rain_probability_vs_baseline_contrib,quali_stage_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
RUS,0.6462134103391655,1,2026,Australian Grand Prix,1.0,1.4848280053669527,3,1.0824085593431203,0.1419090308802012,,,,0,0.5,1.0,1,0.0526315789473684,0.8,0.0569688715443747,0.153603549672817,0.0,0.1162691296857401,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,0.1759,0.2465,0.0091,0.0,0.0,0.0,0.0045,0.0,0.0272,0.0032,0.0029,0.0008,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33), wind_speed_contrib (0.27)"
ANT,0.3628933670023209,2,2026,Australian Grand Prix,2.0,1.2522897459954725,3,1.1402127394874346,0.1889240752852135,,,,0,0.5,1.0,1,0.1052631578947368,0.8,0.1200223936302562,0.2154136374360837,0.0,-0.1162691296857403,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,0.3518,0.2079,0.0191,0.0,0.0,0.0,-0.0045,0.0,0.0287,0.0044,0.0038,0.0017,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"humidity_contrib (1.24), qualifying_position_contrib (0.35), humidity_vs_baseline_contrib (0.33)"
HAD,0.2121624491133638,3,2026,Australian Grand Prix,3.0,0.8618159452761429,3,1.2320007139998057,0.2572183444038476,,,,0,0.5,1.0,1,0.1578947368421052,0.8,0.194526428526285,0.3168931839593881,0.0,0.4309079726380714,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,0.5277,0.1431,0.031,0.0,0.0,0.0,0.0166,0.0,0.031,0.0065,0.0052,0.0025,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"humidity_contrib (1.24), qualifying_position_contrib (0.53), humidity_vs_baseline_contrib (0.33)"
LEC,0.1684484300760775,4,2026,Australian Grand Prix,4.0,0.8427684428020281,3,1.2680321106323909,0.2151879580190858,,,,0,0.5,1.0,1,0.2105263157894736,0.8,0.2669541285541875,0.2728652405896157,0.0,0.0599202681998154,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,0.7036,0.1399,0.0426,0.0,0.0,0.0,0.0023,0.0,0.0319,0.0056,0.0044,0.0034,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"humidity_contrib (1.24), qualifying_position_contrib (0.70), humidity_vs_baseline_contrib (0.33)"
PIA,0.0968602597621981,5,2026,Australian Grand Prix,5.0,0.8007052081716952,3,1.226876503276105,0.2346827728594654,,,,0,0.5,1.0,1,0.2631578947368421,0.8,0.3228622377042381,0.2879267797449613,0.0,0.0376981819800168,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,0.8795,0.1329,0.0515,0.0,0.0,0.0,0.0014,0.0,0.0309,0.0059,0.0048,0.0042,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"humidity_contrib (1.24), qualifying_position_contrib (0.88), humidity_vs_baseline_contrib (0.33)"
BOT,0.0762360088633996,6,2026,Australian Grand Prix,19.0,-2.265942690160664,1,1.2627564070664343,0.2465581605125348,,,,0,0.5,1.0,1,1.0,0.8,1.2627564070664343,0.3113428969017177,0.0,-0.2535698766866412,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,3.342,-0.3762,0.2015,0.0,0.0,0.0,-0.0098,0.0,0.0318,0.0064,0.005,0.016,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0109,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (3.34), humidity_contrib (1.24), gap_to_pole_norm_contrib (-0.38)"
NOR,0.064818698441141,7,2026,Australian Grand Prix,6.0,0.7253088442116614,3,1.146542672306544,0.1535915219425757,,,,0,0.5,1.0,1,0.3157894736842105,0.8,0.3620661070441717,0.1760992340116699,0.0,-0.0376981819800169,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.0554,0.1204,0.0578,0.0,0.0,0.0,-0.0014,0.0,0.0288,0.0036,0.0031,0.0051,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"humidity_contrib (1.24), qualifying_position_contrib (1.06), humidity_vs_baseline_contrib (0.33)"
PER,0.0633857636558087,8,2026,Australian Grand Prix,18.0,-1.7588029367873816,1,1.225116459389786,0.0,,,,0,0.5,1.0,1,0.9473684210526316,0.8,1.160636645737692,0.0,0.0,0.2535698766866407,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,3.1661,-0.292,0.1852,0.0,0.0,0.0,0.0098,0.0,0.0308,0.0,0.0,0.0152,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0109,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (3.17), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
STR,0.0583909402346447,9,2026,Australian Grand Prix,10.0,0.0,1,1.4080652614367468,0.3328558561084412,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.7410869797035509,0.4686827680520845,0.0,0.6270220606116763,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.759,0.0,0.1182,0.0,0.0,0.0,0.0241,0.0,0.0354,0.0097,0.0068,0.0084,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0109,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (1.76), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
HAM,0.0564223656522231,10,2026,Australian Grand Prix,7.0,0.7229279064023971,3,1.1983086916095913,0.2243362987572448,,,,0,0.5,1.0,1,0.3684210526315789,0.8,0.4414821495403757,0.2688241366443324,0.0,-0.0599202681998155,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.2313,0.12,0.0704,0.0,0.0,0.0,-0.0023,0.0,0.0301,0.0055,0.0046,0.0059,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"humidity_contrib (1.24), qualifying_position_contrib (1.23), humidity_vs_baseline_contrib (0.33)"
