driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,points_per_race_contrib,avg_finish_last5_contrib,form_x_quali_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,pace_consistency_contrib,rain_x_quali_contrib,reliability_contrib,humidity_contrib,temperature_vs_baseline_contrib,rain_probability_vs_baseline_contrib,humidity_vs_baseline_contrib,temperature_contrib,wind_speed_contrib,wind_speed_vs_baseline_contrib,quali_stage_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
RUS,0.8776037761273224,1,2026,Canadian Grand Prix,1.0,1.2022873592579286,3,1.170328699093792,0.1675369280054928,0.8939393939393939,1,40.0,1,0.55,0.0,0,0.0,1.0,0.0531967590497178,0.1960732750028387,0.040633608815427,0.0297794941794398,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,0.1679,0.0087,0.1846,3.0094,0.0606,0.0027,0.0012,0.0357,0.032,0.0039,0.0046,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"points_per_race_contrib (3.01), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
ANT,0.8155188908533924,2,2026,Canadian Grand Prix,2.0,1.1427283708990488,3,1.1913106439682368,0.205548904100009,0.9393939393939394,1,40.0,1,0.55,0.0,0,0.0,1.0,0.108300967633476,0.2448725973103471,0.0853994490358126,-0.02977949417944,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,0.3358,0.0178,0.1755,3.0094,0.0637,0.0056,-0.0012,0.0357,0.0326,0.0048,0.0057,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"points_per_race_contrib (3.01), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
PIA,0.4660058365732424,3,2026,Canadian Grand Prix,4.0,1.024486261657147,3,1.1449236738097828,0.1922511492481303,0.9090909090909092,3,17.75,1,0.55,0.0,0,0.0,0.6923076923076923,0.2081679406926878,0.2201128920913222,0.1652892561983471,-0.0227725543725165,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,0.6716,0.0342,0.1573,1.3354,0.0617,0.0109,-0.0009,0.1072,0.0313,0.0045,0.0051,0.0,0.0116,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"points_per_race_contrib (1.34), qualifying_position_contrib (0.67), humidity_vs_baseline_contrib (-0.42)"
NOR,0.3840507106910418,4,2026,Canadian Grand Prix,3.0,1.07003137040218,3,1.1433472932303563,0.1121078290321542,0.7727272727272727,3,17.75,1,0.55,0.0,0,0.0,0.8153846153846154,0.1559109945314122,0.1281781828738451,0.1053719008264462,0.0227725543725163,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,0.5037,0.0256,0.1643,1.3354,0.0524,0.0069,0.0009,0.1072,0.0313,0.0026,0.003,0.0,0.0136,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"points_per_race_contrib (1.34), qualifying_position_contrib (0.50), humidity_vs_baseline_contrib (-0.42)"
HAM,0.2033814810354229,5,2026,Canadian Grand Prix,5.0,0.9482857912568228,3,1.1566596187316438,0.1394065741010995,0.8030303030303031,2,22.25,1,0.55,0.0,0,0.0,1.0,0.2628771860753736,0.1612459548484625,0.1825068870523416,0.0472968436967606,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,0.8395,0.0432,0.1456,1.674,0.0545,0.012,0.0018,0.0715,0.0317,0.0033,0.0038,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"points_per_race_contrib (1.67), qualifying_position_contrib (0.84), humidity_vs_baseline_contrib (-0.42)"
LEC,0.0757583582733154,6,2026,Canadian Grand Prix,8.0,0.8536921038633014,3,1.1803716142717284,0.1554283340700911,0.8484848484848485,2,22.25,1,0.55,0.0,0,0.0,1.0,0.4292260415533558,0.1834631935898789,0.3085399449035813,-0.0472968436967606,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,1.3432,0.0705,0.1311,1.674,0.0576,0.0203,-0.0018,0.0715,0.0323,0.0036,0.0043,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"points_per_race_contrib (1.67), qualifying_position_contrib (1.34), humidity_vs_baseline_contrib (-0.42)"
VER,0.0688280242453301,7,2026,Canadian Grand Prix,6.0,0.9141269596980512,3,1.1266345388653838,0.18065102762255,0.6818181818181819,5,4.5,1,0.55,0.0,0,0.0,0.8153846153846154,0.3072639651451046,0.2035276872010893,0.1859504132231405,0.0122621446621252,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,1.0074,0.0505,0.1404,0.3386,0.0463,0.0122,0.0005,0.1787,0.0308,0.0042,0.0047,0.0,0.0136,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (1.01), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
HAD,0.0488467725307925,8,2026,Canadian Grand Prix,7.0,0.8896026703738007,3,1.1441273251386923,0.1551593161826627,0.5454545454545454,5,4.5,1,0.55,0.0,0,0.0,0.4615384615384615,0.3640405125441294,0.1775220133944186,0.1735537190082644,-0.0122621446621252,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,1.1753,0.0598,0.1366,0.3386,0.037,0.0114,-0.0005,0.1787,0.0313,0.0036,0.0041,0.0,0.0077,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (1.18), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
COL,0.0344952197150088,9,2026,Canadian Grand Prix,10.0,0.22219165376398,3,1.1736009371038,0.0,0.3939393939393938,4,5.25,1,0.55,0.0,0,0.0,1.0,0.5334549714108182,0.0,0.1790633608815426,0.2145875315871447,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,1.679,0.0876,0.0341,0.395,0.0267,0.0118,0.0083,0.1429,0.0321,0.0,0.0,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (1.68), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
BEA,0.0342546195482628,10,2026,Canadian Grand Prix,16.0,-0.4075570613836012,2,1.1547593957358862,0.1576250470418455,0.7272727272727273,6,4.25,1,0.55,0.0,0,0.0,0.7230769230769232,0.8398250150806444,0.1820190040748821,0.5289256198347108,0.1878735735732377,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.6863,0.138,-0.0626,0.3197,0.0493,0.0347,0.0073,0.2144,0.0316,0.0037,0.0042,0.0,0.0121,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0228,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (2.69), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
GAS,0.0327554916386849,11,2026,Canadian Grand Prix,14.0,-0.2069834094103094,2,1.1864540811945017,0.1580579868761608,0.6515151515151515,4,5.25,1,0.55,0.0,0,0.0,0.5846153846153848,0.7550162334874102,0.187528543594608,0.4146005509641873,-0.2145875315871447,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.3505,0.124,-0.0318,0.395,0.0442,0.0272,-0.0083,0.1429,0.0325,0.0037,0.0044,0.0,0.0098,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0228,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (2.35), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
LIN,0.0322178433553304,12,2026,Canadian Grand Prix,9.0,0.5874283912000642,3,1.1590573573060248,0.1370861613411154,0.4848484848484848,7,2.0,1,0.55,0.0,0,0.0,1.0,0.4741598279888283,0.1588907238872606,0.1983471074380165,0.2702051163046339,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,1.5111,0.0779,0.0902,0.1505,0.0329,0.013,0.0105,0.2501,0.0317,0.0032,0.0037,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0341,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (1.51), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
OCO,0.0304210085784641,13,2026,Canadian Grand Prix,17.0,-0.7833042085300767,1,1.1290439976708622,0.0908080040870279,0.4696969696969697,6,4.25,1,0.55,0.0,0,0.0,1.0,0.8724430891093026,0.10252623195493,0.3629476584022039,-0.1878735735732377,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.8542,0.1433,-0.1203,0.3197,0.0319,0.0238,-0.0073,0.2144,0.0309,0.0021,0.0024,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0114,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (2.85), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
LAW,0.029763514383103,14,2026,Canadian Grand Prix,12.0,0.0470181585907963,2,1.1736009371038,0.0,0.5606060606060607,7,2.0,1,0.55,0.0,0,0.0,0.5846153846153848,0.6401459656929818,0.0,0.3057851239669422,-0.2702051163046339,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.0147,0.1052,0.0072,0.1505,0.038,0.0201,-0.0105,0.2501,0.0321,0.0,0.0,0.0,0.0098,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0228,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (2.01), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
PER,0.0293190782363419,15,2026,Canadian Grand Prix,20.0,-1.2948108144357686,1,1.1600281615238648,0.1495451412789243,0.2727272727272727,15,0.0,1,0.55,0.0,0,0.0,1.0,1.054571055930786,0.1734765753026171,0.2479338842975206,0.3691781410774808,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.3579,0.1733,-0.1988,0.0,0.0185,0.0163,0.0143,0.536,0.0317,0.0035,0.004,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0114,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (3.36), constructor_position_contrib (0.54), humidity_vs_baseline_contrib (-0.42)"
STR,0.0290316960065587,16,2026,Canadian Grand Prix,21.0,-1.9657253009490447,1,1.2377977809202654,0.1723193278479709,0.2272727272727272,14,0.0,1,0.55,0.0,0,0.0,0.5384615384615384,1.1815342454238895,0.2132964816198901,0.2169421487603305,-0.4374958041950179,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.5258,0.1941,-0.3018,0.0,0.0154,0.0142,-0.017,0.5002,0.0339,0.004,0.005,0.0,0.009,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0114,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (3.53), constructor_position_contrib (0.50), humidity_vs_baseline_contrib (-0.42)"
SAI,0.0290267874035293,17,2026,Canadian Grand Prix,15.0,-0.282308012334776,2,1.174942368357195,0.1858401842895995,0.4090909090909091,9,1.25,1,0.55,0.0,0,0.0,1.0,0.801097069334451,0.2183515062651596,0.2789256198347107,0.2531257005252481,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.5184,0.1316,-0.0433,0.094,0.0278,0.0183,0.0098,0.3216,0.0322,0.0043,0.0051,0.0,0.0167,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0228,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (2.52), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
HUL,0.0289909181656268,18,2026,Canadian Grand Prix,11.0,0.0566527008253299,2,1.148929309567839,0.112693305964861,0.5,11,0.5,1,0.55,0.0,0,0.0,0.4615384615384615,0.5744646547839195,0.129476642215125,0.25,0.0810177415175973,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,1.8468,0.0944,0.0087,0.0376,0.0339,0.0164,0.0031,0.393,0.0314,0.0026,0.003,0.0,0.0077,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0228,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (1.85), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
ALO,0.0288440860229898,19,2026,Canadian Grand Prix,19.0,-1.0907336925590088,1,1.1993650775475622,0.1655419146077327,0.1818181818181818,14,0.0,1,0.55,0.0,0,0.0,0.6923076923076923,1.0358152942456218,0.1985451912508752,0.1570247933884297,0.4374958041950181,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.19,0.1702,-0.1675,0.0,0.0123,0.0103,0.017,0.5002,0.0328,0.0039,0.0046,0.0,0.0116,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0114,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (3.19), constructor_position_contrib (0.50), humidity_vs_baseline_contrib (-0.42)"
BOR,0.0288007136290357,20,2026,Canadian Grand Prix,13.0,-0.1053827822098646,2,1.1527373635737337,0.151025365241727,0.5,11,0.5,1,0.55,0.0,0,0.0,0.8153846153846154,0.6811629875662972,0.1740925813615086,0.2954545454545454,-0.0810177415175973,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.1826,0.1119,-0.0162,0.0376,0.0339,0.0194,-0.0031,0.393,0.0315,0.0035,0.0041,0.0,0.0136,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0228,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (2.18), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
ALB,0.0287599563039311,21,2026,Canadian Grand Prix,18.0,-0.7885594133852722,1,1.2809087600097064,0.1930337189443748,0.2727272727272727,9,1.25,1,0.55,0.0,0,0.0,0.8153846153846154,1.04801625818976,0.2472585815731013,0.2231404958677686,-0.2531257005252481,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.0221,0.1722,-0.1211,0.094,0.0185,0.0147,-0.0098,0.3216,0.0351,0.0045,0.0058,0.0,0.0136,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0114,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (3.02), humidity_vs_baseline_contrib (-0.42), humidity_contrib (0.40)"
BOT,0.0287413235754813,22,2026,Canadian Grand Prix,22.0,-2.0331670965907302,1,1.2302916815589502,0.2187693730054333,0.2727272727272727,15,0.0,1,0.55,0.0,0,0.0,0.8769230769230769,1.2302916815589502,0.2691501397884518,0.2727272727272727,-0.3691781410774808,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.6937,0.2021,-0.3122,0.0,0.0185,0.0179,-0.0143,0.536,0.0337,0.0051,0.0063,0.0,0.0147,0.4028,0.0911,-0.0047,-0.4183,0.3433,0.1668,-0.0335,0.0114,0.0048,0.0,0.0021,0.0,"qualifying_position_contrib (3.69), constructor_position_contrib (0.54), humidity_vs_baseline_contrib (-0.42)"
