driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,form_x_quali_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,pace_consistency_contrib,rain_x_quali_contrib,reliability_contrib,humidity_contrib,temperature_vs_baseline_contrib,temperature_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,wind_speed_vs_baseline_contrib,quali_stage_contrib,humidity_vs_baseline_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
ANT,0.8956026562226111,1,2026,Chinese Grand Prix,1.0,1.257488141111288,3,1.130025849114494,0.1673772088386838,,1.0,43.0,0,0.5,0.75,1,0.034090909090909,1.0,0.051364811323386,0.1891405725403477,0.0,0.0862023423236075,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,0.1748,0.0085,0.2031,0.0,2.8511,0.0,0.0035,0.0308,0.0286,0.0036,0.0041,0.0007,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"points_per_race_contrib (2.85), humidity_contrib (0.98), temperature_contrib (0.38)"
RUS,0.8441565773204829,2,2026,Chinese Grand Prix,2.0,1.0850834564640732,3,1.1042539874232438,0.1219824643568785,,1.0,43.0,0,0.5,0.75,1,0.0681818181818181,1.0,0.1003867261293858,0.1346996226617968,0.0,-0.0862023423236073,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,0.3496,0.0167,0.1753,0.0,2.8511,0.0,-0.0035,0.0308,0.028,0.0027,0.0029,0.0014,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"points_per_race_contrib (2.85), humidity_contrib (0.98), temperature_contrib (0.38)"
HAM,0.5913507399061738,3,2026,Chinese Grand Prix,3.0,0.9849023559258268,3,1.2329290920205405,0.2008500977943447,,2.0,27.0,0,0.5,0.75,1,0.1022727272727272,1.0,0.1681266943664373,0.2476339287058182,0.0,0.0050478849108381,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,0.5244,0.028,0.1591,0.0,1.7902,0.0,0.0002,0.0616,0.0312,0.0044,0.0053,0.002,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"points_per_race_contrib (1.79), humidity_contrib (0.98), qualifying_position_contrib (0.52)"
LEC,0.4271526293742909,4,2026,Chinese Grand Prix,4.0,0.9748065861041504,3,1.2316317691718002,0.1957344719808411,,2.0,27.0,0,0.5,0.75,1,0.1363636363636363,1.0,0.2239330489403273,0.2410727940136715,0.0,-0.0050478849108381,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,0.6992,0.0372,0.1575,0.0,1.7902,0.0,-0.0002,0.0616,0.0312,0.0043,0.0052,0.0027,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"points_per_race_contrib (1.79), humidity_contrib (0.98), qualifying_position_contrib (0.70)"
PIA,0.1024531306374536,5,2026,Chinese Grand Prix,5.0,0.880061669316045,3,1.1659085993440303,0.1739556957886851,,3.0,10.0,0,0.5,0.75,1,0.1704545454545454,0.0,0.2649792271236432,0.2028164416249021,0.0,0.0225213326791424,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,0.874,0.0441,0.1422,0.0,0.6631,0.0,0.0009,0.0923,0.0295,0.0038,0.0044,0.0034,0.0,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"humidity_contrib (0.98), qualifying_position_contrib (0.87), points_per_race_contrib (0.66)"
NOR,0.0554568712334749,6,2026,Chinese Grand Prix,6.0,0.83501900395776,3,1.1641997606236725,0.1442154695226525,,3.0,10.0,0,0.5,0.75,1,0.2045454545454545,1.0,0.3175090256246379,0.1678956150965025,0.0,-0.0225213326791425,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.0488,0.0528,0.1349,0.0,0.6631,0.0,-0.0009,0.0923,0.0295,0.0031,0.0036,0.0041,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (1.05), humidity_contrib (0.98), points_per_race_contrib (0.66)"
GAS,0.0339346284947071,7,2026,Chinese Grand Prix,7.0,0.629220619131137,3,1.1899324938459226,0.1910361758961819,,,,0,0.5,0.75,1,0.2386363636363636,1.0,0.3786148844055208,0.2273201531989321,0.0,0.1879366382190267,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.2236,0.063,0.1016,0.0,0.0,0.0,0.0077,0.0,0.0302,0.0042,0.0049,0.0047,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (1.22), humidity_contrib (0.98), temperature_contrib (0.38)"
PER,0.0336432823446148,8,2026,Chinese Grand Prix,22.0,-2.502797818626481,1,1.3052633524700894,0.2135501697975099,,,,0,0.5,0.75,1,0.75,1.0,1.3052633524700894,0.2787392105504547,0.0,-0.5707992937644053,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.8454,0.217,-0.4043,0.0,0.0,0.0,-0.0235,0.0,0.0331,0.0046,0.006,0.0149,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0114,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (3.85), humidity_contrib (0.98), gap_to_pole_norm_contrib (-0.40)"
HAD,0.0311546247086564,9,2026,Chinese Grand Prix,9.0,0.4366243948405695,3,1.2112971511080224,0.2113281603431437,,,,0,0.5,0.75,1,0.3068181818181818,0.0,0.4955306527260092,0.2559811985725493,0.0,-0.046207561876166,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.5731,0.0824,0.0705,0.0,0.0,0.0,-0.0019,0.0,0.0307,0.0046,0.0055,0.0061,0.0,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (1.57), humidity_contrib (0.98), temperature_contrib (0.38)"
BOT,0.0308786329793652,10,2026,Chinese Grand Prix,20.0,-1.3611992310976702,1,1.2187222890579552,0.1860972754526483,,,,0,0.5,0.75,1,0.6818181818181818,0.0,1.1079293536890502,0.2268008975271004,0.0,0.5707992937644055,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.4959,0.1842,-0.2199,0.0,0.0,0.0,0.0235,0.0,0.0309,0.004,0.0049,0.0135,0.0,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0114,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (3.50), humidity_contrib (0.98), temperature_contrib (0.38)"
