driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,quali_x_pace_contrib,qualifying_position_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,form_x_quali_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,fp_consistency_contrib,rain_x_quali_contrib,reliability_contrib,humidity_contrib,temperature_vs_baseline_contrib,humidity_vs_baseline_contrib,temperature_contrib,wind_speed_vs_baseline_contrib,wind_speed_contrib,quali_stage_contrib,rain_probability_vs_baseline_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
ANT,0.8745435477186193,1,2026,Japanese Grand Prix,1.0,1.4673203843809974,3,1.1212321308406208,0.1975777852311034,0.9090909090909092,1,43.0,0,0.5,0.05,0,0.0022727272727272,1.0,0.0509650968563918,0.2215305611414406,0.0413223140495867,0.1268895747375278,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,1,0.011,0.1539,0.2156,0.0585,2.7546,0.0024,0.0049,0.0339,0.0278,0.0048,0.0041,0.0,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"points_per_race_contrib (2.75), humidity_contrib (1.13), temperature_contrib (0.29)"
RUS,0.8635468111139272,2,2026,Japanese Grand Prix,2.0,1.213541234905942,3,1.0526688104667454,0.0132212289916919,0.9545454545454546,1,43.0,0,0.5,0.05,0,0.0045454545454545,1.0,0.0956971645878859,0.0139175753955928,0.0867768595041322,-0.1268895747375276,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.0206,0.3077,0.1783,0.0615,2.7546,0.0051,-0.0049,0.0339,0.0261,0.0003,0.0003,0.0001,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"points_per_race_contrib (2.75), humidity_contrib (1.13), qualifying_position_contrib (0.31)"
LEC,0.535052025096327,3,2026,Japanese Grand Prix,4.0,0.9333622410223896,3,1.1728840020823386,0.2046498762883784,0.8636363636363636,2,27.0,0,0.5,0.05,0,0.009090909090909,1.0,0.2132516367422433,0.2400305659267687,0.1570247933884297,0.0689802386157024,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,1,0.0459,0.6155,0.1371,0.0556,1.7296,0.0092,0.0027,0.0678,0.029,0.0053,0.0043,0.0002,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"points_per_race_contrib (1.73), humidity_contrib (1.13), qualifying_position_contrib (0.62)"
PIA,0.2666560713093398,4,2026,Japanese Grand Prix,3.0,1.1658511933938391,3,1.116118949648277,0.1441104197118297,0.5909090909090909,4,5.0,0,0.5,0.05,0,0.0068181818181818,0.0,0.1521980385884014,0.1608443702821397,0.0805785123966942,0.1179476919540158,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,1,0.0328,0.4616,0.1713,0.038,0.3203,0.0047,0.0046,0.1356,0.0276,0.0035,0.003,0.0001,0.0,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"humidity_contrib (1.13), qualifying_position_contrib (0.46), points_per_race_contrib (0.32)"
HAM,0.1147840996034274,5,2026,Japanese Grand Prix,6.0,0.7954017637909847,3,1.177010735406305,0.1941263676244065,0.8181818181818182,2,27.0,0,0.5,0.05,0,0.0136363636363636,1.0,0.3210029278380831,0.2284888187193575,0.2231404958677686,-0.0689802386157023,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.0691,0.9232,0.1169,0.0527,1.7296,0.013,-0.0027,0.0678,0.0291,0.005,0.004,0.0003,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"points_per_race_contrib (1.73), humidity_contrib (1.13), qualifying_position_contrib (0.92)"
NOR,0.1088916561079959,6,2026,Japanese Grand Prix,5.0,0.9299558094858072,3,1.211462995630499,0.1864885224797313,0.7727272727272727,4,5.0,0,0.5,0.05,0,0.0113636363636363,0.4,0.2753324990069316,0.225923944094001,0.1756198347107438,-0.117947691954016,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.0593,0.7693,0.1366,0.0498,0.3203,0.0102,-0.0046,0.1356,0.03,0.0049,0.0039,0.0002,0.0065,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"humidity_contrib (1.13), qualifying_position_contrib (0.77), points_per_race_contrib (0.32)"
BEA,0.0342223619792976,7,2026,Japanese Grand Prix,18.0,-0.5015970437611229,1,1.140470998638215,0.1725399710999851,0.6818181818181818,3,8.0,0,0.5,0.05,0,0.0409090909090909,1.0,0.9331126352494488,0.1967768331454088,0.5578512396694215,-0.3325528787584362,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.201,2.7696,-0.0737,0.0439,0.5125,0.0325,-0.0129,0.1017,0.0282,0.0043,0.0036,0.0008,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0114,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (2.77), humidity_contrib (1.13), points_per_race_contrib (0.51)"
OCO,0.0324845442278613,8,2026,Japanese Grand Prix,12.0,0.1635087137557496,2,1.1455680702489823,0.1685858562204607,0.5,3,8.0,0,0.5,0.05,0,0.0272727272727272,1.0,0.6248553110448994,0.1931265739817456,0.2727272727272727,0.3325528787584362,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1346,1.8464,0.024,0.0322,0.5125,0.0159,0.0129,0.1017,0.0284,0.0042,0.0035,0.0005,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0228,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (1.85), humidity_contrib (1.13), points_per_race_contrib (0.51)"
VER,0.0322928195209075,9,2026,Japanese Grand Prix,11.0,0.2035342843105393,2,1.111009222385244,0.1339510113533164,0.7272727272727273,8,2.0,0,0.5,0.05,0,0.025,0.4,0.5555046111926221,0.148820808961365,0.3636363636363636,-0.1209283195485239,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1196,1.6925,0.0299,0.0468,0.1281,0.0212,-0.0047,0.2711,0.0275,0.0033,0.0028,0.0005,0.0065,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0228,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (1.69), humidity_contrib (1.13), temperature_contrib (0.29)"
GAS,0.0316207027845409,10,2026,Japanese Grand Prix,7.0,0.6898023861570566,3,1.1751775162072022,0.1873766005541275,0.5454545454545454,5,4.5,0,0.5,0.05,0,0.0159090909090909,1.0,0.3739201187932007,0.2202007680345487,0.1735537190082644,0.3985524897796307,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.0805,1.0771,0.1014,0.0351,0.2883,0.0101,0.0154,0.1694,0.0291,0.0048,0.0039,0.0003,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"humidity_contrib (1.13), qualifying_position_contrib (1.08), temperature_contrib (0.29)"
