driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,form_x_quali_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,fp_consistency_contrib,rain_x_quali_contrib,reliability_contrib,temperature_vs_baseline_contrib,temperature_contrib,humidity_contrib,wind_speed_contrib,humidity_vs_baseline_contrib,wind_speed_vs_baseline_contrib,quali_stage_contrib,rain_probability_vs_baseline_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
ANT,0.882959185265659,1,2026,Miami Grand Prix,1.0,1.1750369921014443,3,1.0642761168962045,0.0694669014793105,0.931818181818182,1,41.0,1,0.55,0.82,1,0.0372727272727272,1.0,0.0483761871316456,0.0739319641592118,0.0423553719008264,0.1308013938909722,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,0.1872,0.0087,0.1811,0.0628,2.6229,0.0026,0.0049,0.0335,0.0256,0.0017,0.0015,0.0006,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"points_per_race_contrib (2.62), humidity_contrib (1.05), temperature_contrib (0.34)"
LEC,0.6450341689128917,2,2026,Miami Grand Prix,3.0,0.9488390928914936,3,1.215396830243992,0.2315552093023496,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.1118181818181818,1.0,0.1657359313969079,0.2814314674125598,0.1146694214876033,0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,0.5617,0.0299,0.1463,0.0567,1.642,0.0072,0.0022,0.067,0.0293,0.0065,0.005,0.0018,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"points_per_race_contrib (1.64), humidity_contrib (1.05), qualifying_position_contrib (0.56)"
VER,0.4897006382388804,3,2026,Miami Grand Prix,2.0,1.066199742046803,3,1.170044041354085,0.2023950542214063,0.7272727272727273,8,2.6666666666666665,1,0.55,0.82,1,0.0745454545454545,0.6842105263157894,0.1063676401230986,0.2368111271912934,0.0661157024793388,0.270454009924943,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,0.3745,0.0192,0.1643,0.0491,0.1706,0.0041,0.0102,0.2681,0.0282,0.0055,0.0044,0.0012,0.0098,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"humidity_contrib (1.05), qualifying_position_contrib (0.37), temperature_contrib (0.34)"
RUS,0.3600759199564241,4,2026,Miami Grand Prix,5.0,0.9134342043194996,3,1.1227594564866592,0.1606938570885662,0.931818181818182,1,41.0,1,0.55,0.82,1,0.1863636363636363,1.0,0.255172603746968,0.1804205476455035,0.2117768595041322,-0.1308013938909723,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,0.9362,0.046,0.1408,0.0628,2.6229,0.0132,-0.0049,0.0335,0.0271,0.0042,0.0035,0.003,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"points_per_race_contrib (2.62), humidity_contrib (1.05), qualifying_position_contrib (0.94)"
NOR,0.2749118464506794,5,2026,Miami Grand Prix,4.0,0.9226132495048284,3,1.178322265574533,0.1932230451346923,0.7727272727272727,3,12.666666666666666,1,0.55,0.82,1,0.149090909090909,0.6842105263157894,0.2142404119226423,0.2276790163043208,0.140495867768595,0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,0.749,0.0386,0.1422,0.0521,0.8103,0.0088,0.0039,0.1005,0.0284,0.0053,0.0042,0.0024,0.0098,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"humidity_contrib (1.05), points_per_race_contrib (0.81), qualifying_position_contrib (0.75)"
HAM,0.1306466509646195,6,2026,Miami Grand Prix,6.0,0.8334453819901836,3,1.1312480338681212,0.1823027504695542,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.2236363636363636,1.0,0.3085221910549421,0.2062296280374339,0.2293388429752066,-0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,1.1235,0.0556,0.1285,0.0567,1.642,0.0143,-0.0022,0.067,0.0273,0.0048,0.0039,0.0036,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"points_per_race_contrib (1.64), qualifying_position_contrib (1.12), humidity_contrib (1.05)"
BOR,0.0375572620609528,7,2026,Miami Grand Prix,21.0,-2.718845104733052,1,1.2621319001231663,0.2110570680621486,0.5909090909090909,10,0.6666666666666666,1,0.55,0.82,1,0.7827272727272727,0.6842105263157894,1.2047622682993862,0.2663818583477041,0.5640495867768596,-1.4089834359483662,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,3.9322,0.2171,-0.4191,0.0399,0.0426,0.0352,-0.0532,0.3351,0.0304,0.0061,0.0046,0.0128,0.0098,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0103,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (3.93), humidity_contrib (1.05), gap_to_pole_norm_contrib (-0.42)"
PIA,0.036864932571189,8,2026,Miami Grand Prix,7.0,0.7147734406655439,3,1.229869140110019,0.222662119451784,0.5977272727272727,3,12.666666666666666,1,0.55,0.82,1,0.2609090909090908,0.4736842105263158,0.3913219991259151,0.27384526938524,0.1901859504132231,-0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,1.3107,0.0705,0.1102,0.0403,0.8103,0.0119,-0.0039,0.1005,0.0296,0.0063,0.0048,0.0043,0.0068,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (1.31), humidity_contrib (1.05), points_per_race_contrib (0.81)"
BEA,0.0328263160622696,9,2026,Miami Grand Prix,12.0,0.0151990683263647,2,1.1267837736371,0.1777577246694072,0.7272727272727273,4,5.666666666666667,1,0.55,0.82,1,0.4472727272727272,0.5263157894736843,0.6146093310747818,0.2002945197961393,0.396694214876033,0.067203723678323,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,2.2469,0.1108,0.0023,0.0491,0.3625,0.0248,0.0025,0.1341,0.0272,0.0046,0.0038,0.0073,0.0075,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0206,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (2.25), humidity_contrib (1.05), points_per_race_contrib (0.36)"
HAD,0.031706151790703,10,2026,Miami Grand Prix,22.0,0.5252917221969169,3,1.1747419102004253,0.207423352112157,0.6363636363636364,8,2.6666666666666665,1,0.55,0.82,1,0.82,0.7894736842105263,1.1747419102004253,0.2436689048804107,0.6363636363636364,-0.270454009924943,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,4.1194,0.2117,0.081,0.0429,0.1706,0.0398,-0.0102,0.2681,0.0283,0.0056,0.0045,0.0134,0.0113,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (4.12), humidity_contrib (1.05), temperature_contrib (0.34)"
HUL,0.0311703899521736,11,2026,Miami Grand Prix,10.0,0.0991217671636802,2,1.1979005710446755,0.2219020373630205,0.5,10,0.6666666666666666,1,0.55,0.82,1,0.3727272727272727,0.7894736842105263,0.5445002595657616,0.2658165772731392,0.2272727272727272,1.408983435948366,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,1.8725,0.0981,0.0153,0.0337,0.0426,0.0142,0.0532,0.3351,0.0289,0.0061,0.0048,0.0061,0.0113,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0206,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (1.87), humidity_contrib (1.05), temperature_contrib (0.34)"
STR,0.0308171233437606,12,2026,Miami Grand Prix,18.0,-1.0318677288860836,1,1.3260234446999646,0.2280527110096379,0.2272727272727272,14,0.0,1,0.55,0.82,1,0.6709090909090909,0.2105263157894737,1.0849282729363348,0.3024032414261657,0.1859504132231405,-0.0216363207939962,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,3.3704,0.1955,-0.1591,0.0153,0.0,0.0116,-0.0008,0.4692,0.032,0.007,0.0049,0.0109,0.003,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0103,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (3.37), humidity_contrib (1.05), constructor_position_contrib (0.47)"
OCO,0.029723899734007,13,2026,Miami Grand Prix,14.0,-0.1192083790302813,2,1.2008188381455895,0.2282727026314792,0.4318181818181818,4,5.666666666666667,1,0.55,0.82,1,0.5218181818181817,1.0,0.7641574424562843,0.2741141615542866,0.274793388429752,-0.067203723678323,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,2.6214,0.1377,-0.0184,0.0291,0.3625,0.0172,-0.0025,0.1341,0.0289,0.0063,0.0049,0.0085,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0206,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (2.62), humidity_contrib (1.05), points_per_race_contrib (0.36)"
ALO,0.0296295897069768,14,2026,Miami Grand Prix,17.0,-0.9885950872980912,1,1.2544770591629846,0.1973199944497389,0.5977272727272727,14,0.0,1,0.55,0.82,1,0.6336363636363636,0.4736842105263158,0.9693686366259426,0.2475334063513649,0.4618801652892561,0.0216363207939962,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,3.1832,0.1747,-0.1524,0.0403,0.0,0.0289,0.0008,0.4692,0.0302,0.0057,0.0043,0.0103,0.0068,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0103,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (3.18), humidity_contrib (1.05), constructor_position_contrib (0.47)"
ALB,0.0291283991410127,15,2026,Miami Grand Prix,15.0,-0.2332907977622519,2,1.2505284962490204,0.227724355566094,0.4545454545454545,11,0.6666666666666666,1,0.55,0.82,1,0.559090909090909,0.6842105263157894,0.852633065624332,0.2847757959253448,0.3099173553719008,-0.1239171100019735,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,2.8087,0.1536,-0.036,0.0307,0.0426,0.0194,-0.0047,0.3686,0.0301,0.0066,0.0049,0.0091,0.0098,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0206,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (2.81), humidity_contrib (1.05), constructor_position_contrib (0.37)"
GAS,0.0290918855452667,16,2026,Miami Grand Prix,9.0,0.5115231544189193,3,1.2058879184861715,0.193162068480188,0.6363636363636364,5,5.0,1,0.55,0.82,1,0.3354545454545454,1.0,0.493317784835252,0.2329318046900573,0.2603305785123967,-0.0157355060319972,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,1.6852,0.0889,0.0788,0.0429,0.3199,0.0163,-0.0006,0.1676,0.0291,0.0054,0.0042,0.0055,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (1.69), humidity_contrib (1.05), temperature_contrib (0.34)"
COL,0.0289936881734458,17,2026,Miami Grand Prix,8.0,0.5429941664829138,3,1.1027308127744808,0.1274605654377139,0.4545454545454545,5,5.0,1,0.55,0.82,1,0.2981818181818181,1.0,0.4009930228270839,0.1405546929218252,0.1652892561983471,0.0157355060319972,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,1.498,0.0723,0.0837,0.0307,0.3199,0.0103,0.0006,0.1676,0.0266,0.0032,0.0027,0.0049,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0309,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (1.50), humidity_contrib (1.05), temperature_contrib (0.34)"
SAI,0.0288481252605778,18,2026,Miami Grand Prix,13.0,0.0145434222416951,2,1.201293978472638,0.2164075422696887,0.4545454545454546,11,0.6666666666666666,1,0.55,0.82,1,0.4845454545454545,1.0,0.7098555327338316,0.2599690774246399,0.2685950413223141,0.1239171100019735,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,2.4342,0.1279,0.0022,0.0307,0.0426,0.0168,0.0047,0.3686,0.029,0.006,0.0047,0.0079,0.0143,-0.0703,0.3411,1.0459,0.17,0.2118,-0.0648,0.0206,0.0046,0.0049,0.0062,0.0019,0.0017,"qualifying_position_contrib (2.43), humidity_contrib (1.05), constructor_position_contrib (0.37)"
