driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,form_x_quali_contrib,temperature_contrib,temperature_vs_baseline_contrib,humidity_contrib,reliability_contrib,constructor_position_contrib,humidity_vs_baseline_contrib,pace_consistency_contrib,teammate_gap_contrib,wind_speed_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,rain_probability_vs_baseline_contrib,overtaking_difficulty_contrib,wind_speed_vs_baseline_contrib,rain_x_quali_contrib,rain_probability_contrib,track_type_contrib,quali_stage_contrib,wet_track_flag_contrib,top_features
RUS,0.8268382622063188,1,2026,Australian Grand Prix,1.0,1.4848280053669527,3,1.0824085593431203,0.1419090308802012,,,,0,0.5,1.0,1,0.0526315789473684,0.8,0.0569688715443747,0.153603549672817,0.0,0.1162691296857401,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,0.4054,0.0056,0.0785,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0032,0.0024,0.4964,0.0215,0.0027,0.014,0.0091,0.1052,0.0009,0.0156,0.0,0.0363,0.0,"humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59), wind_speed_contrib (0.50)"
HAD,0.3461206464991562,2,2026,Australian Grand Prix,3.0,0.8618159452761429,3,1.2320007139998057,0.2572183444038476,,,,0,0.5,1.0,1,0.1578947368421052,0.8,0.194526428526285,0.3168931839593881,0.0,0.4309079726380714,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.2163,0.0191,0.0456,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0066,0.0089,0.4964,0.0244,0.005,0.014,0.0091,0.1052,0.0026,0.0156,0.0,0.0363,0.0,"humidity_contrib (2.00), qualifying_position_contrib (1.22), humidity_vs_baseline_contrib (0.59)"
LEC,0.2673614397926009,3,2026,Australian Grand Prix,4.0,0.8427684428020281,3,1.2680321106323909,0.2151879580190858,,,,0,0.5,1.0,1,0.2105263157894736,0.8,0.2669541285541875,0.2728652405896157,0.0,0.0599202681998154,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,1.6217,0.0262,0.0446,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0057,0.0012,0.4964,0.0252,0.0042,0.014,0.0091,0.1052,0.0035,0.0156,0.0,0.0363,0.0,"humidity_contrib (2.00), qualifying_position_contrib (1.62), humidity_vs_baseline_contrib (0.59)"
ANT,0.2655263154461353,4,2026,Australian Grand Prix,2.0,1.2522897459954725,3,1.1402127394874346,0.1889240752852135,,,,0,0.5,1.0,1,0.1052631578947368,0.8,0.1200223936302562,0.2154136374360837,0.0,-0.1162691296857403,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,0.8108,0.0118,0.0662,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0045,-0.0024,0.4964,0.0226,0.0037,0.014,0.0091,0.1052,0.0017,0.0156,0.0,0.0363,0.0,"humidity_contrib (2.00), qualifying_position_contrib (0.81), humidity_vs_baseline_contrib (0.59)"
PIA,0.0963852730633661,5,2026,Australian Grand Prix,5.0,0.8007052081716952,3,1.226876503276105,0.2346827728594654,,,,0,0.5,1.0,1,0.2631578947368421,0.8,0.3228622377042381,0.2879267797449613,0.0,0.0376981819800168,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.0271,0.0317,0.0423,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.006,0.0008,0.4964,0.0243,0.0045,0.014,0.0091,0.1052,0.0043,0.0156,0.0,0.0363,0.0,"qualifying_position_contrib (2.03), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
HAM,0.0674890184039063,6,2026,Australian Grand Prix,7.0,0.7229279064023971,3,1.1983086916095913,0.2243362987572448,,,,0,0.5,1.0,1,0.3684210526315789,0.8,0.4414821495403757,0.2688241366443324,0.0,-0.0599202681998155,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.838,0.0433,0.0382,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0056,-0.0012,0.4964,0.0238,0.0043,0.014,0.0091,0.1052,0.0061,0.0156,0.0,0.0363,0.0,"qualifying_position_contrib (2.84), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
NOR,0.0588358244192446,7,2026,Australian Grand Prix,6.0,0.7253088442116614,3,1.146542672306544,0.1535915219425757,,,,0,0.5,1.0,1,0.3157894736842105,0.8,0.3620661070441717,0.1760992340116699,0.0,-0.0376981819800169,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.4325,0.0355,0.0384,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0037,-0.0008,0.4964,0.0227,0.003,0.014,0.0091,0.1052,0.0052,0.0156,0.0,0.0363,0.0,"qualifying_position_contrib (2.43), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
PER,0.0579636158828073,8,2026,Australian Grand Prix,18.0,-1.7588029367873816,1,1.225116459389786,0.0,,,,0,0.5,1.0,1,0.9473684210526316,0.8,1.160636645737692,0.0,0.0,0.2535698766866407,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,7.2976,0.1139,-0.093,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0,0.0052,0.4964,0.0243,0.0,0.014,0.0091,0.1052,0.0156,0.0156,0.0,0.0121,0.0,"qualifying_position_contrib (7.30), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
LAW,0.0518774291564976,9,2026,Australian Grand Prix,8.0,0.3134066032089416,3,1.1931668325454097,0.2087496320349598,,,,0,0.5,1.0,1,0.4210526315789473,0.8,0.5023860347559619,0.2490731372501727,0.0,0.4972191791680179,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,3.2434,0.0493,0.0166,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0052,0.0103,0.4964,0.0237,0.004,0.014,0.0091,0.1052,0.0069,0.0156,0.0,0.0363,0.0,"qualifying_position_contrib (3.24), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
BOR,0.0515604840562556,10,2026,Australian Grand Prix,10.0,0.1332489756412769,2,1.2053975758006612,0.2131460070206315,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6344197767371901,0.25692568015426,0.0,0.0325394833932755,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,4.0542,0.0623,0.007,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0053,0.0007,0.4964,0.0239,0.0041,0.014,0.0091,0.1052,0.0087,0.0156,0.0,0.0242,0.0,"qualifying_position_contrib (4.05), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
BEA,0.0514743550726292,11,2026,Australian Grand Prix,12.0,0.0618208413633466,2,1.227611237924208,0.2487576024255398,,,,0,0.5,1.0,1,0.631578947368421,0.8,0.7753334134258155,0.3053776282566748,0.0,0.0714281342779246,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,4.8651,0.0761,0.0033,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0063,0.0015,0.4964,0.0244,0.0048,0.014,0.0091,0.1052,0.0104,0.0156,0.0,0.0242,0.0,"qualifying_position_contrib (4.87), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
LIN,0.0502696657698137,12,2026,Australian Grand Prix,9.0,-0.6810317551270941,3,1.199462078934585,0.212613283098106,,,,0,0.5,1.0,1,0.4736842105263157,0.8,0.5681662479163821,0.2550215705539617,0.0,-0.4972191791680179,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,3.6488,0.0558,-0.036,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0053,-0.0103,0.4964,0.0238,0.0041,0.014,0.0091,0.1052,0.0078,0.0156,0.0,0.0363,0.0,"qualifying_position_contrib (3.65), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
HUL,0.0499511194246775,13,2026,Australian Grand Prix,11.0,0.0681700088547257,2,1.1786657607135338,0.1904209396025122,,,,0,0.5,1.0,1,0.5789473684210527,0.8,0.6823854404130986,0.2244426416323809,0.0,-0.0325394833932755,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,4.4596,0.067,0.0036,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0047,-0.0007,0.4964,0.0234,0.0037,0.014,0.0091,0.1052,0.0095,0.0156,0.0,0.0242,0.0,"qualifying_position_contrib (4.46), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
GAS,0.0496871766261169,14,2026,Australian Grand Prix,14.0,-0.0889718865567208,2,1.2316081944098864,0.2336401570044891,,,,0,0.5,1.0,1,0.7368421052631579,0.8,0.9075007748283374,0.2877531319099412,0.0,0.3051568625540314,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,5.6759,0.0891,-0.0047,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.006,0.0063,0.4964,0.0244,0.0045,0.014,0.0091,0.1052,0.0121,0.0156,0.0,0.0242,0.0,"qualifying_position_contrib (5.68), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
SAI,0.0492071293794385,15,2026,Australian Grand Prix,10.0,0.0,1,1.2462967570705816,0.2141923513954861,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6559456616160956,0.2669472329335168,0.0,0.2190880492910712,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,4.0542,0.0644,0.0,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0055,0.0045,0.4964,0.0247,0.0041,0.014,0.0091,0.1052,0.0087,0.0156,0.0,0.0121,0.0,"qualifying_position_contrib (4.05), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
BOT,0.0488989989402769,16,2026,Australian Grand Prix,19.0,-2.265942690160664,1,1.2627564070664343,0.2465581605125348,,,,0,0.5,1.0,1,1.0,0.8,1.2627564070664343,0.3113428969017177,0.0,-0.2535698766866412,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,7.703,0.1239,-0.1198,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0065,-0.0052,0.4964,0.0251,0.0048,0.014,0.0091,0.1052,0.0165,0.0156,0.0,0.0121,0.0,"qualifying_position_contrib (7.70), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
COL,0.0482317720052123,17,2026,Australian Grand Prix,16.0,-0.6992856116647836,2,1.271669293080092,0.2869336338004283,,,,0,0.5,1.0,1,0.8421052631578947,0.8,1.0708794046990249,0.3648846912558926,0.0,-0.3051568625540314,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,6.4868,0.1051,-0.037,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0076,-0.0063,0.4964,0.0252,0.0055,0.014,0.0091,0.1052,0.0139,0.0156,0.0,0.0242,0.0,"qualifying_position_contrib (6.49), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
OCO,0.0477433853264485,18,2026,Australian Grand Prix,13.0,-0.0810354271925025,2,1.2906203346603633,0.2867520623316199,,,,0,0.5,1.0,1,0.6842105263157895,0.8,0.8830560184518276,0.3700880426509846,0.0,-0.0714281342779246,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,5.2705,0.0867,-0.0043,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0077,-0.0015,0.4964,0.0256,0.0055,0.014,0.0091,0.1052,0.0113,0.0156,0.0,0.0242,0.0,"qualifying_position_contrib (5.27), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
STR,0.0476156203437271,19,2026,Australian Grand Prix,10.0,0.0,1,1.4080652614367468,0.3328558561084412,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.7410869797035509,0.4686827680520845,0.0,0.6270220606116763,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,4.0542,0.0727,0.0,0.0,0.0,0.0,0.3277,-0.2227,2.001,0.0181,0.0,0.5923,0.0097,0.0129,0.4964,0.0279,0.0064,0.014,0.0091,0.1052,0.0087,0.0156,0.0,0.0121,0.0,"qualifying_position_contrib (4.05), humidity_contrib (2.00), humidity_vs_baseline_contrib (0.59)"
