driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,points_per_race_contrib,avg_finish_last5_contrib,form_x_quali_contrib,temperature_vs_baseline_contrib,teammate_gap_contrib,reliability_contrib,constructor_position_contrib,fp_long_run_pace_contrib,track_type_contrib,rain_x_quali_contrib,pace_consistency_contrib,temperature_contrib,rain_probability_contrib,fp_consistency_contrib,humidity_contrib,humidity_vs_baseline_contrib,overtaking_difficulty_contrib,quali_stage_contrib,wind_speed_contrib,rain_probability_vs_baseline_contrib,wind_speed_vs_baseline_contrib,wet_track_flag_contrib,top_features
RUS,0.8926938241012774,1,2026,Canadian Grand Prix,1.0,1.2022873592579286,3,1.170328699093792,0.1675369280054928,0.8939393939393939,1,40.0,1,0.55,0.0,0,0.0,1.0,0.0531967590497178,0.1960732750028387,0.040633608815427,0.0297794941794398,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,0.3614,0.0053,0.0691,1.4557,0.0283,0.0011,0.1573,0.0007,0.024,0.0229,0.0259,0.0219,0.0,0.0043,0.6321,0.0,0.0036,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"points_per_race_contrib (1.46), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
ANT,0.8739239563045779,2,2026,Canadian Grand Prix,2.0,1.1427283708990488,3,1.1913106439682368,0.205548904100009,0.9393939393939394,1,40.0,1,0.55,0.0,0,0.0,1.0,0.108300967633476,0.2448725973103471,0.0853994490358126,-0.02977949417944,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,0.7228,0.0108,0.0656,1.4557,0.0298,0.0024,0.1573,-0.0007,0.024,0.0229,0.0264,0.0219,0.0,0.0054,0.6321,0.0,0.0044,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"points_per_race_contrib (1.46), humidity_vs_baseline_contrib (-0.73), qualifying_position_contrib (0.72)"
NOR,0.3255812281761721,3,2026,Canadian Grand Prix,3.0,1.07003137040218,3,1.1433472932303563,0.1121078290321542,0.7727272727272727,3,17.75,1,0.55,0.0,0,0.0,0.8153846153846154,0.1559109945314122,0.1281781828738451,0.1053719008264462,0.0227725543725163,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,1.0843,0.0156,0.0615,0.646,0.0245,0.0029,0.1573,0.0006,0.0195,0.0687,0.0253,0.0219,0.0,0.0028,0.6321,0.0,0.0024,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (1.08), humidity_vs_baseline_contrib (-0.73), points_per_race_contrib (0.65)"
HAM,0.3105514293748831,4,2026,Canadian Grand Prix,5.0,0.9482857912568228,3,1.1566596187316438,0.1394065741010995,0.8030303030303031,2,22.25,1,0.55,0.0,0,0.0,1.0,0.2628771860753736,0.1612459548484625,0.1825068870523416,0.0472968436967606,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,1.8071,0.0263,0.0545,0.8097,0.0255,0.005,0.1573,0.0011,0.024,0.0458,0.0256,0.0219,0.0,0.0035,0.6321,0.0,0.003,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (1.81), points_per_race_contrib (0.81), humidity_vs_baseline_contrib (-0.73)"
PIA,0.2237381052298555,5,2026,Canadian Grand Prix,4.0,1.024486261657147,3,1.1449236738097828,0.1922511492481303,0.9090909090909092,3,17.75,1,0.55,0.0,0,0.0,0.6923076923076923,0.2081679406926878,0.2201128920913222,0.1652892561983471,-0.0227725543725165,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,1.4457,0.0208,0.0588,0.646,0.0288,0.0046,0.1573,-0.0006,0.0166,0.0687,0.0253,0.0219,0.0,0.0048,0.6321,0.0,0.0041,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (1.45), humidity_vs_baseline_contrib (-0.73), points_per_race_contrib (0.65)"
LEC,0.1695092656796135,6,2026,Canadian Grand Prix,8.0,0.8536921038633014,3,1.1803716142717284,0.1554283340700911,0.8484848484848485,2,22.25,1,0.55,0.0,0,0.0,1.0,0.4292260415533558,0.1834631935898789,0.3085399449035813,-0.0472968436967606,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.8914,0.0429,0.049,0.8097,0.0269,0.0085,0.1573,-0.0011,0.024,0.0458,0.0261,0.0219,0.0,0.004,0.6321,0.0,0.0033,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (2.89), points_per_race_contrib (0.81), humidity_vs_baseline_contrib (-0.73)"
HAD,0.0490728414900409,7,2026,Canadian Grand Prix,7.0,0.8896026703738007,3,1.1441273251386923,0.1551593161826627,0.5454545454545454,5,4.5,1,0.55,0.0,0,0.0,0.4615384615384615,0.3640405125441294,0.1775220133944186,0.1735537190082644,-0.0122621446621252,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,2.53,0.0364,0.0511,0.1638,0.0173,0.0048,0.1573,-0.0003,0.0111,0.1146,0.0253,0.0219,0.0,0.0039,0.6321,0.0,0.0033,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (2.53), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
VER,0.0486333841961578,8,2026,Canadian Grand Prix,6.0,0.9141269596980512,3,1.1266345388653838,0.18065102762255,0.6818181818181819,5,4.5,1,0.55,0.0,0,0.0,0.8153846153846154,0.3072639651451046,0.2035276872010893,0.1859504132231405,0.0122621446621252,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,1,2.1685,0.0307,0.0525,0.1638,0.0216,0.0051,0.1573,0.0003,0.0195,0.1146,0.0249,0.0219,0.0,0.0044,0.6321,0.0,0.0038,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (2.17), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
GAS,0.0468967288002685,9,2026,Canadian Grand Prix,14.0,-0.2069834094103094,2,1.1864540811945017,0.1580579868761608,0.6515151515151515,4,5.25,1,0.55,0.0,0,0.0,0.5846153846153848,0.7550162334874102,0.187528543594608,0.4146005509641873,-0.2145875315871447,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,5.0599,0.0755,-0.0119,0.1911,0.0207,0.0114,0.1573,-0.0052,0.014,0.0916,0.0263,0.0219,0.0,0.0041,0.6321,0.0,0.0034,0.5541,-0.7349,0.0113,0.0395,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (5.06), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
COL,0.044751018754258,10,2026,Canadian Grand Prix,10.0,0.22219165376398,3,1.1736009371038,0.0,0.3939393939393938,4,5.25,1,0.55,0.0,0,0.0,1.0,0.5334549714108182,0.0,0.1790633608815426,0.2145875315871447,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.6142,0.0534,0.0128,0.1911,0.0125,0.0049,0.1573,0.0052,0.024,0.0916,0.026,0.0219,0.0,0.0,0.6321,0.0,0.0,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (3.61), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
