driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,wet_track_flag_contrib,constructor_position_contrib,points_per_race_contrib,track_type_contrib,form_x_quali_contrib,humidity_contrib,temperature_vs_baseline_contrib,reliability_contrib,teammate_gap_contrib,rain_x_quali_contrib,wind_speed_contrib,pace_consistency_contrib,rain_probability_vs_baseline_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,temperature_contrib,quali_stage_contrib,wind_speed_vs_baseline_contrib,humidity_vs_baseline_contrib,overtaking_difficulty_contrib,rain_probability_contrib,top_features
ANT,0.8768721173432926,1,2026,Chinese Grand Prix,1.0,1.257488141111288,3,1.130025849114494,0.1673772088386838,,1.0,43.0,0,0.5,0.75,1,0.034090909090909,1.0,0.051364811323386,0.1891405725403477,0.0,0.0862023423236075,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,0.3275,0.0051,0.1103,0.0,0.0309,0.0292,1.2141,0.0,0.0,1.5915,0.1152,0.0216,0.0019,0.0007,0.2047,0.004,0.0091,0.0228,0.0032,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"humidity_contrib (1.59), points_per_race_contrib (1.21), temperature_contrib (0.55)"
RUS,0.8660746640463604,2,2026,Chinese Grand Prix,2.0,1.0850834564640732,3,1.1042539874232438,0.1219824643568785,,1.0,43.0,0,0.5,0.75,1,0.0681818181818181,1.0,0.1003867261293858,0.1346996226617968,0.0,-0.0862023423236073,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,0.655,0.01,0.0952,0.0,0.0309,0.0292,1.2141,0.0,0.0,1.5915,0.1152,0.0216,-0.0019,0.0015,0.2047,0.0028,0.0091,0.0223,0.0023,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"humidity_contrib (1.59), points_per_race_contrib (1.21), qualifying_position_contrib (0.66)"
HAM,0.6631420063191812,3,2026,Chinese Grand Prix,3.0,0.9849023559258268,3,1.2329290920205405,0.2008500977943447,,2.0,27.0,0,0.5,0.75,1,0.1022727272727272,1.0,0.1681266943664373,0.2476339287058182,0.0,0.0050478849108381,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,1,0.9825,0.0167,0.0864,0.0,0.0309,0.0583,0.7623,0.0,0.0,1.5915,0.1152,0.0216,0.0001,0.0022,0.2047,0.0052,0.0091,0.0249,0.0039,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"humidity_contrib (1.59), qualifying_position_contrib (0.98), points_per_race_contrib (0.76)"
LEC,0.4740730947516571,4,2026,Chinese Grand Prix,4.0,0.9748065861041504,3,1.2316317691718002,0.1957344719808411,,2.0,27.0,0,0.5,0.75,1,0.1363636363636363,1.0,0.2239330489403273,0.2410727940136715,0.0,-0.0050478849108381,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.31,0.0223,0.0855,0.0,0.0309,0.0583,0.7623,0.0,0.0,1.5915,0.1152,0.0216,-0.0001,0.0029,0.2047,0.0051,0.0091,0.0249,0.0038,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"humidity_contrib (1.59), qualifying_position_contrib (1.31), points_per_race_contrib (0.76)"
PIA,0.1524640915517849,5,2026,Chinese Grand Prix,5.0,0.880061669316045,3,1.1659085993440303,0.1739556957886851,,3.0,10.0,0,0.5,0.75,1,0.1704545454545454,0.0,0.2649792271236432,0.2028164416249021,0.0,0.0225213326791424,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.6375,0.0264,0.0772,0.0,0.0309,0.0875,0.2824,0.0,0.0,1.5915,0.1152,0.0,0.0005,0.0037,0.2047,0.0042,0.0091,0.0235,0.0033,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (1.64), humidity_contrib (1.59), temperature_contrib (0.55)"
NOR,0.1077948239124291,6,2026,Chinese Grand Prix,6.0,0.83501900395776,3,1.1641997606236725,0.1442154695226525,,3.0,10.0,0,0.5,0.75,1,0.2045454545454545,1.0,0.3175090256246379,0.1678956150965025,0.0,-0.0225213326791425,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.9651,0.0316,0.0733,0.0,0.0309,0.0875,0.2824,0.0,0.0,1.5915,0.1152,0.0216,-0.0005,0.0044,0.2047,0.0035,0.0091,0.0235,0.0028,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (1.97), humidity_contrib (1.59), temperature_contrib (0.55)"
GAS,0.0549613589628373,7,2026,Chinese Grand Prix,7.0,0.629220619131137,3,1.1899324938459226,0.1910361758961819,,,,0,0.5,0.75,1,0.2386363636363636,1.0,0.3786148844055208,0.2273201531989321,0.0,0.1879366382190267,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.2926,0.0377,0.0552,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0216,0.0041,0.0051,0.2047,0.0048,0.0091,0.024,0.0037,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (2.29), humidity_contrib (1.59), temperature_contrib (0.55)"
VER,0.0465750093520697,8,2026,Chinese Grand Prix,8.0,0.5290395185929017,3,1.202677605476799,0.1825734164359272,,,,0,0.5,0.75,1,0.2727272727272727,1.0,0.4373373110824723,0.2195769593028794,0.0,0.046207561876166,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.6201,0.0435,0.0464,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0216,0.001,0.0059,0.2047,0.0046,0.0091,0.0243,0.0035,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (2.62), humidity_contrib (1.59), temperature_contrib (0.55)"
COL,0.0456282994243599,9,2026,Chinese Grand Prix,12.0,0.2533473426930835,2,1.1923354390440146,0.1866616968136881,,,,0,0.5,0.75,1,0.409090909090909,1.0,0.6503647849330988,0.2225633562230496,0.0,-0.1879366382190267,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.9301,0.0648,0.0222,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0216,-0.0041,0.0088,0.2047,0.0047,0.0091,0.0241,0.0036,0.5499,0.0365,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (3.93), humidity_contrib (1.59), temperature_contrib (0.55)"
PER,0.0455342707313273,10,2026,Chinese Grand Prix,22.0,-2.502797818626481,1,1.3052633524700894,0.2135501697975099,,,,0,0.5,0.75,1,0.75,1.0,1.3052633524700894,0.2787392105504547,0.0,-0.5707992937644053,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,7.2052,0.13,-0.2196,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0216,-0.0123,0.0161,0.2047,0.0058,0.0091,0.0263,0.0041,0.5499,0.0183,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (7.21), humidity_contrib (1.59), temperature_contrib (0.55)"
