driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,temperature_vs_baseline_contrib,form_x_quali_contrib,reliability_contrib,temperature_contrib,humidity_contrib,teammate_gap_contrib,overtaking_difficulty_contrib,fp_consistency_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,humidity_vs_baseline_contrib,wind_speed_vs_baseline_contrib,rain_x_quali_contrib,track_type_contrib,rain_probability_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,quali_stage_contrib,constructor_position_contrib,wet_track_flag_contrib,top_features
ANT,0.8788911872264061,1,2026,Miami Grand Prix,1.0,1.1750369921014443,3,1.0642761168962045,0.0694669014793105,0.931818181818182,1,41.0,1,0.55,0.82,1,0.0372727272727272,1.0,0.0483761871316456,0.0739319641592118,0.0423553719008264,0.1308013938909722,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,0.4165,0.0056,0.0469,0.0296,1.2914,-0.1289,0.001,0.0222,0.5621,1.9035,0.0027,0.011,0.0014,0.0208,0.0014,0.3499,-0.1043,0.0007,0.0173,0.0134,0.0075,0.2272,0.0455,0.0148,0.0,"humidity_contrib (1.90), points_per_race_contrib (1.29), temperature_contrib (0.56)"
LEC,0.6516876997488824,2,2026,Miami Grand Prix,3.0,0.9488390928914936,3,1.215396830243992,0.2315552093023496,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.1118181818181818,1.0,0.1657359313969079,0.2814314674125598,0.1146694214876033,0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,1.2494,0.0192,0.0378,0.0267,0.8085,-0.1289,0.0027,0.0222,0.5621,1.9035,0.0012,0.011,0.0046,0.0238,0.0055,0.3499,-0.1043,0.002,0.0173,0.0134,0.0075,0.2272,0.0455,0.0296,0.0,"humidity_contrib (1.90), qualifying_position_contrib (1.25), points_per_race_contrib (0.81)"
RUS,0.3744599392431613,3,2026,Miami Grand Prix,5.0,0.9134342043194996,3,1.1227594564866592,0.1606938570885662,0.931818181818182,1,41.0,1,0.55,0.82,1,0.1863636363636363,1.0,0.255172603746968,0.1804205476455035,0.2117768595041322,-0.1308013938909723,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,2.0823,0.0295,0.0364,0.0296,1.2914,-0.1289,0.005,0.0222,0.5621,1.9035,-0.0027,0.011,0.0032,0.022,0.0035,0.3499,-0.1043,0.0034,0.0173,0.0134,0.0075,0.2272,0.0455,0.0148,0.0,"qualifying_position_contrib (2.08), humidity_contrib (1.90), points_per_race_contrib (1.29)"
VER,0.2882162322053337,4,2026,Miami Grand Prix,2.0,1.066199742046803,3,1.170044041354085,0.2023950542214063,0.7272727272727273,8,2.6666666666666665,1,0.55,0.82,1,0.0745454545454545,0.6842105263157894,0.1063676401230986,0.2368111271912934,0.0661157024793388,0.270454009924943,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,0.8329,0.0123,0.0425,0.0231,0.084,-0.1289,0.0016,0.0152,0.5621,1.9035,0.0055,0.011,0.004,0.0229,0.0046,0.3499,-0.1043,0.0014,0.0173,0.0134,0.0075,0.2272,0.0455,0.1183,0.0,"humidity_contrib (1.90), qualifying_position_contrib (0.83), temperature_contrib (0.56)"
NOR,0.1311024399463503,5,2026,Miami Grand Prix,4.0,0.9226132495048284,3,1.178322265574533,0.1932230451346923,0.7727272727272727,3,12.666666666666666,1,0.55,0.82,1,0.149090909090909,0.6842105263157894,0.2142404119226423,0.2276790163043208,0.140495867768595,0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,1.6658,0.0248,0.0368,0.0245,0.399,-0.1289,0.0033,0.0152,0.5621,1.9035,0.0021,0.011,0.0039,0.0231,0.0044,0.3499,-0.1043,0.0027,0.0173,0.0134,0.0075,0.2272,0.0455,0.0444,0.0,"humidity_contrib (1.90), qualifying_position_contrib (1.67), temperature_contrib (0.56)"
HAM,0.0897358385465274,6,2026,Miami Grand Prix,6.0,0.8334453819901836,3,1.1312480338681212,0.1823027504695542,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.2236363636363636,1.0,0.3085221910549421,0.2062296280374339,0.2293388429752066,-0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,2.4987,0.0357,0.0332,0.0267,0.8085,-0.1289,0.0054,0.0222,0.5621,1.9035,-0.0012,0.011,0.0036,0.0221,0.004,0.3499,-0.1043,0.0041,0.0173,0.0134,0.0075,0.2272,0.0455,0.0296,0.0,"qualifying_position_contrib (2.50), humidity_contrib (1.90), points_per_race_contrib (0.81)"
PIA,0.0447383544197088,7,2026,Miami Grand Prix,7.0,0.7147734406655439,3,1.229869140110019,0.222662119451784,0.5977272727272727,3,12.666666666666666,1,0.55,0.82,1,0.2609090909090908,0.4736842105263158,0.3913219991259151,0.27384526938524,0.1901859504132231,-0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,2.9152,0.0453,0.0285,0.019,0.399,-0.1289,0.0045,0.0105,0.5621,1.9035,-0.0021,0.011,0.0044,0.0241,0.0053,0.3499,-0.1043,0.0047,0.0173,0.0134,0.0075,0.2272,0.0455,0.0444,0.0,"qualifying_position_contrib (2.92), humidity_contrib (1.90), temperature_contrib (0.56)"
BEA,0.0434177075533142,8,2026,Miami Grand Prix,12.0,0.0151990683263647,2,1.1267837736371,0.1777577246694072,0.7272727272727273,4,5.666666666666667,1,0.55,0.82,1,0.4472727272727272,0.5263157894736843,0.6146093310747818,0.2002945197961393,0.396694214876033,0.067203723678323,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,4.9975,0.0712,0.0006,0.0231,0.1785,-0.1289,0.0094,0.0117,0.5621,1.9035,0.0014,0.011,0.0035,0.022,0.0039,0.3499,-0.1043,0.0081,0.0173,0.0134,0.0075,0.2272,0.0303,0.0592,0.0,"qualifying_position_contrib (5.00), humidity_contrib (1.90), temperature_contrib (0.56)"
BOR,0.0430567437470426,9,2026,Miami Grand Prix,21.0,-2.718845104733052,1,1.2621319001231663,0.2110570680621486,0.5909090909090909,10,0.6666666666666666,1,0.55,0.82,1,0.7827272727272727,0.6842105263157894,1.2047622682993862,0.2663818583477041,0.5640495867768596,-1.4089834359483662,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,8.7455,0.1395,-0.1085,0.0188,0.021,-0.1289,0.0133,0.0152,0.5621,1.9035,-0.0288,0.011,0.0042,0.0247,0.0052,0.3499,-0.1043,0.0142,0.0173,0.0134,0.0075,0.2272,0.0152,0.1479,0.0,"qualifying_position_contrib (8.75), humidity_contrib (1.90), temperature_contrib (0.56)"
OCO,0.0429948194306339,10,2026,Miami Grand Prix,14.0,-0.1192083790302813,2,1.2008188381455895,0.2282727026314792,0.4318181818181818,4,5.666666666666667,1,0.55,0.82,1,0.5218181818181817,1.0,0.7641574424562843,0.2741141615542866,0.274793388429752,-0.067203723678323,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,5.8304,0.0885,-0.0048,0.0137,0.1785,-0.1289,0.0065,0.0222,0.5621,1.9035,-0.0014,0.011,0.0045,0.0235,0.0054,0.3499,-0.1043,0.0095,0.0173,0.0134,0.0075,0.2272,0.0303,0.0592,0.0,"qualifying_position_contrib (5.83), humidity_contrib (1.90), temperature_contrib (0.56)"
