driver,team,position,status,dnf_flag,race,race_order,dnf_rate,reliability
ALB,,,,0.0,Abu Dhabi Grand Prix,21,0.26654731959191735,0.7334526804080826
ALO,,,,0.0,Abu Dhabi Grand Prix,21,0.09878523713341432,0.9012147628665856
BOT,,,,0.0,Abu Dhabi Grand Prix,21,0.2954410332786373,0.7045589667213628
DEV,,,,0.0,Abu Dhabi Grand Prix,21,0.049633778543731195,0.9503662214562688
GAS,,,,0.0,Abu Dhabi Grand Prix,21,0.009861706913375715,0.9901382930866243
HAM,,,,0.0,Abu Dhabi Grand Prix,21,0.1646420618890239,0.8353579381109761
HUL,,,,0.0,Abu Dhabi Grand Prix,21,0.33596980604276083,0.6640301939572392
LAW,,,,0.0,Abu Dhabi Grand Prix,21,0.0,1.0
LEC,,,,0.0,Abu Dhabi Grand Prix,21,0.3213778753943036,0.6786221246056964
MAG,,,,0.0,Abu Dhabi Grand Prix,21,0.22710819341365163,0.7728918065863484
NOR,,,,0.0,Abu Dhabi Grand Prix,21,0.3334001753252732,0.6665998246747268
OCO,,,,0.0,Abu Dhabi Grand Prix,21,0.15753004018700337,0.8424699598129967
PER,,,,0.0,Abu Dhabi Grand Prix,21,0.04390454983707305,0.956095450162927
PIA,,,,0.0,Abu Dhabi Grand Prix,21,0.10755800379284484,0.8924419962071551
RIC,,,,0.0,Abu Dhabi Grand Prix,21,0.0,1.0
RUS,,,,0.0,Abu Dhabi Grand Prix,21,0.2534751623093532,0.7465248376906468
SAI,,,,0.0,Abu Dhabi Grand Prix,21,0.07452932842713016,0.9254706715728699
SAR,,,,0.0,Abu Dhabi Grand Prix,21,0.2656595782749401,0.73434042172506
STR,,,,0.0,Abu Dhabi Grand Prix,21,0.04481631638337866,0.9551836836166213
TSU,,,,0.0,Abu Dhabi Grand Prix,21,0.38218300847757664,0.6178169915224234
VER,,,,0.0,Abu Dhabi Grand Prix,21,0.0,1.0
ZHO,,,,0.0,Abu Dhabi Grand Prix,21,0.22260517113437808,0.777394828865622
