driver,team,position,status,dnf_flag,race,race_order,dnf_rate,reliability
ALB,Williams,12.0,finished,0.0,Bahrain Grand Prix,0,,
ALB,Williams,9.0,finished,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
ALB,Williams,5.0,finished,0.0,Australian Grand Prix,2,0.0,1.0
ALB,Williams,9.0,finished,0.0,Japanese Grand Prix,3,0.0,1.0
ALB,Williams,7.0,finished,0.0,Chinese Grand Prix,4,0.0,1.0
ALB,Williams,5.0,,0.0,Miami Grand Prix,5,0.0,1.0
ALB,Williams,5.0,finished,0.0,Emilia Romagna Grand Prix,6,0.0,1.0
ALB,Williams,9.0,lapped,0.0,Monaco Grand Prix,7,0.0,1.0
ALB,Williams,,retired,1.0,Canadian Grand Prix,8,0.0,1.0
ALB,Williams,,retired,1.0,Spanish Grand Prix,9,0.3422356684575661,0.657764331542434
ALB,Williams,,retired,1.0,Austrian Grand Prix,10,0.5653597587246876,0.4346402412753124
ALB,Williams,8.0,finished,0.0,British Grand Prix,11,0.7119343914014357,0.28806560859856434
ALB,Williams,15.0,lapped,0.0,Hungarian Grand Prix,12,0.47277967933705645,0.5272203206629436
ALB,Williams,6.0,finished,0.0,Belgian Grand Prix,13,0.3143725203025476,0.6856274796974524
ALB,Williams,5.0,finished,0.0,Dutch Grand Prix,14,0.2092214866618345,0.7907785133381655
ALB,Williams,7.0,finished,0.0,Italian Grand Prix,15,0.13932136311333668,0.8606786368866634
ALB,Williams,13.0,finished,0.0,Azerbaijan Grand Prix,16,0.09281009818598537,0.9071899018140146
ALB,Williams,14.0,lapped,0.0,Singapore Grand Prix,17,0.06184196740057647,0.9381580325994235
ALB,Williams,14.0,finished,0.0,United States Grand Prix,18,0.04121402058374851,0.9587859794162514
ALB,Williams,12.0,lapped,0.0,Mexico City Grand Prix,19,0.02746981380717266,0.9725301861928274
ALB,Williams,11.0,finished,0.0,Brazilian Grand Prix,20,0.018310454722999567,0.9816895452770005
ALB,Williams,,retired,1.0,Las Vegas Grand Prix,21,0.012205745908066036,0.987794254091934
ALB,Williams,11.0,finished,0.0,Qatar Grand Prix,22,0.34151451175374187,0.6584854882462581
ALB,,,,0.0,Abu Dhabi Grand Prix,23,0.22766619673917687,0.7723338032608231
ALO,Aston Martin,15.0,finished,0.0,Bahrain Grand Prix,0,,
ALO,Aston Martin,11.0,finished,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
ALO,Aston Martin,,retired,1.0,Australian Grand Prix,2,0.0,1.0
ALO,Aston Martin,11.0,finished,0.0,Japanese Grand Prix,3,0.47368421052631565,0.5263157894736843
ALO,Aston Martin,,retired,1.0,Chinese Grand Prix,4,0.2769230769230769,0.7230769230769232
ALO,Aston Martin,15.0,,0.0,Miami Grand Prix,5,0.5545023696682464,0.4454976303317536
ALO,Aston Martin,11.0,finished,0.0,Emilia Romagna Grand Prix,6,0.35187969924812035,0.6481203007518797
ALO,Aston Martin,,retired,1.0,Monaco Grand Prix,7,0.22729480330257412,0.7727051966974259
ALO,Aston Martin,7.0,finished,0.0,Canadian Grand Prix,8,0.49532117367168915,0.5046788263283108
ALO,Aston Martin,9.0,finished,0.0,Spanish Grand Prix,9,0.3258046006989725,0.6741953993010275
ALO,Aston Martin,7.0,lapped,0.0,Austrian Grand Prix,10,0.2152865144334339,0.7847134855665661
ALO,Aston Martin,9.0,finished,0.0,British Grand Prix,11,0.1426849953454903,0.8573150046545097
