phase,model,accuracy,f1,auc,log_loss,brier,mrr,top3_accuracy,top3_precision,top3_recall
early,logistic,0.9625,0.875,0.9828431372549019,0.17103560789306793,0.05038435763725699,0.5881944444444445,0.875,0.875,0.875
early,qualifying_baseline,0.925,0.75,0.8529411764705882,0.3546843246135956,0.0736,0.55,0.75,0.75,0.75
early,random_forest,0.925,0.75,0.9754901960784313,0.16429707122798057,0.04594084648574986,0.5722222222222222,0.75,0.75,0.75
early,xgboost,0.9375,0.7916666666666666,0.9754901960784313,0.18958353030483852,0.05201171244504947,0.5548611111111111,0.7916666666666666,0.7916666666666666,0.7916666666666666
late,logistic,0.8875000000000001,0.625,0.9093137254901961,0.260030930163863,0.07878177549356609,0.4717111592111592,0.625,0.625,0.625
late,qualifying_baseline,0.9125000000000001,0.7083333333333333,0.8284313725490196,0.41212332274027796,0.08585,0.525437675070028,0.7083333333333333,0.7083333333333333,0.7083333333333333
late,random_forest,0.9,0.6666666666666666,0.926470588235294,0.24485733452916225,0.07178898250052196,0.5119708994708995,0.6666666666666666,0.6666666666666666,0.6666666666666666
late,xgboost,0.9,0.6666666666666666,0.9044117647058824,0.25428112525439694,0.07307349579360811,0.49593253968253964,0.6666666666666666,0.6666666666666666,0.6666666666666666
mid,logistic,0.925,0.75,0.9338235294117647,0.20147345800530186,0.05921796613202418,0.5348214285714286,0.75,0.75,0.75
mid,qualifying_baseline,0.9375,0.7916666666666666,0.8774509803921569,0.2972453264869132,0.061349999999999995,0.518562030075188,0.7916666666666666,0.7916666666666666,0.7916666666666666
mid,random_forest,0.925,0.75,0.9411764705882353,0.2071495674045712,0.060382565964632366,0.5408234126984127,0.75,0.75,0.75
mid,xgboost,0.9,0.6666666666666666,0.9142156862745098,0.23322631532565977,0.06672036235914343,0.5054398148148148,0.6666666666666666,0.6666666666666666,0.6666666666666666
