accuracy,f1,auc,log_loss,brier,mrr,top3_accuracy,top3_recall,top3_precision,season,race,phase,model
0.9,0.6666666666666666,0.9607843137254901,0.28664850749731247,0.10012244001338784,0.5277777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Australian Grand Prix,early,logistic
0.9,0.6666666666666666,0.9607843137254902,0.20930920576190268,0.06859987264224057,0.5277777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Australian Grand Prix,early,random_forest
1.0,1.0,1.0,0.1845394858701102,0.05049768219469987,0.611111111111111,1.0,1.0,1.0,2025,Australian Grand Prix,early,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5277777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Australian Grand Prix,early,qualifying_baseline
1.0,1.0,1.0,0.1518055102679734,0.042340966344618015,0.611111111111111,1.0,1.0,1.0,2025,Chinese Grand Prix,early,logistic
1.0,1.0,1.0,0.10837220743545055,0.02186277516130135,0.611111111111111,1.0,1.0,1.0,2025,Chinese Grand Prix,early,random_forest
1.0,1.0,1.0,0.16973427941652802,0.04358535786900671,0.611111111111111,1.0,1.0,1.0,2025,Chinese Grand Prix,early,xgboost
1.0,1.0,1.0,0.010050335853501452,0.00010000000000000011,0.611111111111111,1.0,1.0,1.0,2025,Chinese Grand Prix,early,qualifying_baseline
1.0,1.0,1.0,0.12708623364749633,0.03368099943510185,0.611111111111111,1.0,1.0,1.0,2025,Japanese Grand Prix,early,logistic
1.0,1.0,1.0,0.1565463896731888,0.029124433834085577,0.611111111111111,1.0,1.0,1.0,2025,Japanese Grand Prix,early,random_forest
0.9,0.6666666666666666,0.9607843137254902,0.19787567584322624,0.05618699160836628,0.5277777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Japanese Grand Prix,early,xgboost
1.0,1.0,1.0,0.010050335853501452,0.00010000000000000011,0.611111111111111,1.0,1.0,1.0,2025,Japanese Grand Prix,early,qualifying_baseline
1.0,1.0,1.0,0.14745506567678848,0.03591956358059968,0.611111111111111,1.0,1.0,1.0,2025,Bahrain Grand Prix,early,logistic
0.9,0.6666666666666666,0.9607843137254901,0.17138325371689309,0.050142921534107356,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Bahrain Grand Prix,early,random_forest
0.9,0.6666666666666666,0.9803921568627451,0.17902603015545468,0.047175468446864856,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Bahrain Grand Prix,early,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Bahrain Grand Prix,early,qualifying_baseline
0.9,0.6666666666666666,0.9411764705882353,0.22338027866423574,0.06919777035798187,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Saudi Arabian Grand Prix,early,logistic
0.9,0.6666666666666666,0.9803921568627451,0.17252357011289945,0.04960480564674721,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Saudi Arabian Grand Prix,early,random_forest
0.9,0.6666666666666666,0.9607843137254901,0.20458088995654816,0.055653527720102104,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Saudi Arabian Grand Prix,early,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Saudi Arabian Grand Prix,early,qualifying_baseline
0.9,0.6666666666666666,0.9607843137254901,0.182763187142291,0.06082185975689382,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Miami Grand Prix,early,logistic
0.8,0.3333333333333333,0.9215686274509803,0.24401118155821408,0.083053656594435,0.48333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Miami Grand Prix,early,random_forest
0.9,0.6666666666666666,0.9215686274509803,0.25574401740082797,0.08136727541549019,0.3444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Miami Grand Prix,early,xgboost
0.8,0.3333333333333333,0.6078431372549019,0.9290743058804196,0.19610000000000002,0.31666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Miami Grand Prix,early,qualifying_baseline
1.0,1.0,1.0,0.1315301320224717,0.03439255902856607,0.611111111111111,1.0,1.0,1.0,2025,Emilia Romagna Grand Prix,early,logistic
0.9,0.6666666666666666,0.9803921568627451,0.13478077074979594,0.037945390678597354,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Emilia Romagna Grand Prix,early,random_forest
1.0,1.0,1.0,0.13715620557350383,0.029419520257837773,0.611111111111111,1.0,1.0,1.0,2025,Emilia Romagna Grand Prix,early,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Emilia Romagna Grand Prix,early,qualifying_baseline
1.0,1.0,1.0,0.11761594822597421,0.026598702580906786,0.611111111111111,1.0,1.0,1.0,2025,Monaco Grand Prix,early,logistic
1.0,1.0,1.0,0.11744999081550003,0.027192915794484452,0.611111111111111,1.0,1.0,1.0,2025,Monaco Grand Prix,early,random_forest
